Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:48,529] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 05:13:53,097] Trial 95 finished with value: 0.9518561551162366 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6659749194382507, 'batch_size': 40, 'attention_heads': 5, 'hidden_dimension': 145, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3192967402249076, 'global_pooling': 'max', 'learning_rate': 0.0008687692785222349, 'weight_decay': 7.572448780582574e-06, 'beta_0': 0.8427054006322143, 'beta_1': 0.982280386859565, 'epsilon': 3.5945150320181063e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:45:54,296] Trial 165 finished with value: 0.942478221893807 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6643325247194041, 'batch_size': 94, 'attention_heads': 10, 'hidden_dimension': 118, 'number_of_hidden_layers': 0, 'dropout_rate': 0.36091587908267014, 'global_pooling': 'max', 'learning_rate': 0.008025102878918553, 'weight_decay': 9.909684106633983e-06, 'beta_0': 0.8626590315357222, 'beta_1': 0.9855977357750174, 'epsilon': 7.178920980497886e-07, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 14:53:16,383] Trial 166 finished with value: 0.9464250232901289 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7825178965550414, 'batch_size': 112, 'attention_heads': 6, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4187727339585667, 'global_pooling': 'max', 'learning_rate': 0.00024687659018820087, 'weight_decay': 8.207604302186202e-06, 'beta_0': 0.8585681524531824, 'beta_1': 0.9846297982060546, 'epsilon': 1.3612615554109664e-06, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 16, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 15:02:39,968] Trial 167 finished with value: 0.9451989786253486 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6570192079707968, 'batch_size': 106, 'attention_heads': 7, 'hidden_dimension': 85, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3560029097941033, 'global_pooling': 'max', 'learning_rate': 0.00011225484884518606, 'weight_decay': 5.978564515116566e-06, 'beta_0': 0.870811306070032, 'beta_1': 0.9898035423784783, 'epsilon': 3.354814408506207e-06, 'balanced_loss': False, 'epochs': 135, 'early_stopping_patience': 21, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 15:11:39,650] Trial 168 finished with value: 0.9501290491000292 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6826325744507599, 'batch_size': 86, 'attention_heads': 13, 'hidden_dimension': 99, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45686056054569074, 'global_pooling': 'max', 'learning_rate': 0.0003451376128743907, 'weight_decay': 1.1527570414513473e-05, 'beta_0': 0.8678390773913659, 'beta_1': 0.9931161736820477, 'epsilon': 2.468685004979464e-06, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 15:20:39,028] Trial 169 finished with value: 0.9431510476423495 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6718038411943144, 'batch_size': 145, 'attention_heads': 5, 'hidden_dimension': 149, 'number_of_hidden_layers': 0, 'dropout_rate': 0.386400850692391, 'global_pooling': 'max', 'learning_rate': 0.00014007008133193623, 'weight_decay': 2.2809317590001924e-06, 'beta_0': 0.8565657888634932, 'beta_1': 0.9833056320316697, 'epsilon': 2.5529759519402728e-08, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 15, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 15:32:45,827] Trial 170 finished with value: 0.9392439739765424 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6517895174656672, 'batch_size': 73, 'attention_heads': 14, 'hidden_dimension': 107, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3066846229888401, 'global_pooling': 'max', 'learning_rate': 0.0001692199370446781, 'weight_decay': 1.2485381498422699e-06, 'beta_0': 0.8732409066863587, 'beta_1': 0.9840171088408433, 'epsilon': 1.0729648086430945e-06, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 15:40:08,468] Trial 171 finished with value: 0.9416528637591932 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.66425339779388, 'batch_size': 158, 'attention_heads': 4, 'hidden_dimension': 90, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3219538097212044, 'global_pooling': 'max', 'learning_rate': 0.00022490594040932852, 'weight_decay': 1.5682580686545191e-06, 'beta_0': 0.8923482531115656, 'beta_1': 0.9891615531152708, 'epsilon': 3.5258816399508723e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 15:48:26,594] Trial 172 finished with value: 0.9519694549911097 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6599653485395578, 'batch_size': 77, 'attention_heads': 8, 'hidden_dimension': 96, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3777564487284396, 'global_pooling': 'max', 'learning_rate': 0.00015843906763965496, 'weight_decay': 1.711050535715708e-05, 'beta_0': 0.8467534480423404, 'beta_1': 0.9837432773180784, 'epsilon': 4.8507740148103425e-05, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 15:56:18,008] Trial 173 finished with value: 0.9475851309325369 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6501081305044767, 'batch_size': 78, 'attention_heads': 8, 'hidden_dimension': 95, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3800638022431144, 'global_pooling': 'max', 'learning_rate': 0.00020456082923099488, 'weight_decay': 2.144783658113861e-05, 'beta_0': 0.8501540207128458, 'beta_1': 0.9836958894735203, 'epsilon': 1.999398378425637e-05, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 16:07:06,255] Trial 174 finished with value: 0.9426436420247992 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6700244514351359, 'batch_size': 84, 'attention_heads': 9, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.300115252700005, 'global_pooling': 'max', 'learning_rate': 8.38699269765371e-05, 'weight_decay': 1.4527263853322134e-05, 'beta_0': 0.8461123960692295, 'beta_1': 0.9983557154007862, 'epsilon': 5.538343270427989e-05, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 16:17:00,198] Trial 175 finished with value: 0.9463500442517054 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6598387274376591, 'batch_size': 64, 'attention_heads': 9, 'hidden_dimension': 135, 'number_of_hidden_layers': 0, 'dropout_rate': 0.39222892669189663, 'global_pooling': 'max', 'learning_rate': 0.00012542681187348168, 'weight_decay': 1.8544890384919976e-05, 'beta_0': 0.8514701823349139, 'beta_1': 0.9841525347611091, 'epsilon': 7.271718788587537e-07, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 14, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 16:23:19,260] Trial 176 finished with value: 0.9478958848837589 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6788941872308166, 'batch_size': 69, 'attention_heads': 7, 'hidden_dimension': 79, 'number_of_hidden_layers': 0, 'dropout_rate': 0.37623025115013514, 'global_pooling': 'max', 'learning_rate': 0.0037774529211912836, 'weight_decay': 1.2633848668469387e-05, 'beta_0': 0.8641515837118899, 'beta_1': 0.9826911780905918, 'epsilon': 1.4573204263928447e-05, 'balanced_loss': True, 'epochs': 133, 'early_stopping_patience': 16, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 16:30:20,481] Trial 177 finished with value: 0.9453593409510539 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6907760523591964, 'batch_size': 76, 'attention_heads': 8, 'hidden_dimension': 88, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3474419634003007, 'global_pooling': 'max', 'learning_rate': 0.0002959286427716778, 'weight_decay': 1.6015882880220448e-05, 'beta_0': 0.861253924657312, 'beta_1': 0.990728336763015, 'epsilon': 2.9042786539074215e-05, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 16:38:28,771] Trial 178 finished with value: 0.942441603353332 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6613174514292616, 'batch_size': 150, 'attention_heads': 7, 'hidden_dimension': 114, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4302319798811618, 'global_pooling': 'max', 'learning_rate': 0.0004128066968211722, 'weight_decay': 8.914545467829843e-06, 'beta_0': 0.8445606659326755, 'beta_1': 0.9846530598457092, 'epsilon': 1.5560674202141338e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 16:45:44,971] Trial 179 finished with value: 0.9482235129545674 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7280104871745764, 'batch_size': 140, 'attention_heads': 6, 'hidden_dimension': 98, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44301304019471915, 'global_pooling': 'max', 'learning_rate': 0.00025002387946249023, 'weight_decay': 4.05140146432501e-05, 'beta_0': 0.8974619986604366, 'beta_1': 0.9832175558657008, 'epsilon': 5.535024759090308e-07, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-03 16:53:30,468] Trial 180 finished with value: 0.9472329332108478 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6760326445067566, 'batch_size': 96, 'attention_heads': 8, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3660560151577865, 'global_pooling': 'max', 'learning_rate': 0.0005565489122324227, 'weight_decay': 1.8766938415343837e-06, 'beta_0': 0.8536449185637032, 'beta_1': 0.9914320559464145, 'epsilon': 4.636052421009938e-08, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 61 with value: 0.9599624971991361.
CUDA out of memory. Tried to allocate 4.07 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.60 GiB is free. Including non-PyTorch memory, this process has 40.96 GiB memory in use. Of the allocated memory 39.62 GiB is allocated by PyTorch, and 189.96 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 16:58:45,023] Trial 181 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6557854769453599, 'batch_size': 129, 'attention_heads': 16, 'hidden_dimension': 184, 'number_of_hidden_layers': 3, 'dropout_rate': 0.491710235048349, 'global_pooling': 'mean', 'learning_rate': 0.00015912744455927504, 'weight_decay': 5.081189850992076e-06, 'beta_0': 0.8903546961991661, 'beta_1': 0.9866835015506, 'epsilon': 9.86395429728593e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 24, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 61 with value: 0.9599624971991361.
slurmstepd: error: *** JOB 14051918 ON gpu040 CANCELLED AT 2024-12-03T17:06:36 DUE TO TIME LIMIT ***
