Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-10 05:17:06,438] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-large-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-10 05:25:19,086] Trial 105 finished with value: 0.9544417963614046 and parameters: {'left_stride': 256, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8467162819449895, 'batch_size': 152, 'attention_heads': 4, 'hidden_dimension': 227, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4968858376589947, 'global_pooling': 'mean', 'learning_rate': 0.0007231094063471381, 'weight_decay': 0.0002956989619289392, 'beta_0': 0.8667705243041987, 'beta_1': 0.9864667645945536, 'epsilon': 2.3246016743975342e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 14, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 15:48:04,617] Trial 173 finished with value: 0.9527109575673702 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8315438301398136, 'batch_size': 171, 'attention_heads': 4, 'hidden_dimension': 234, 'number_of_hidden_layers': 0, 'dropout_rate': 0.504058221463055, 'global_pooling': 'mean', 'learning_rate': 0.0003643136216686877, 'weight_decay': 0.00029136609839439044, 'beta_0': 0.8641379873956885, 'beta_1': 0.9800528704003483, 'epsilon': 1.3302795727106582e-08, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 15:57:16,891] Trial 174 finished with value: 0.9602113314495204 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8165953777290249, 'batch_size': 157, 'attention_heads': 4, 'hidden_dimension': 241, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5263699325597343, 'global_pooling': 'mean', 'learning_rate': 0.0006022666552224558, 'weight_decay': 0.00020186977453764523, 'beta_0': 0.8671688595973008, 'beta_1': 0.9898299144252625, 'epsilon': 1.814020726722567e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 16:05:44,225] Trial 175 finished with value: 0.9603589960953127 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.840558898415585, 'batch_size': 158, 'attention_heads': 4, 'hidden_dimension': 244, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5281042792207344, 'global_pooling': 'mean', 'learning_rate': 0.0009357381613977251, 'weight_decay': 0.00027449713132698673, 'beta_0': 0.8668756498441037, 'beta_1': 0.9908561273468346, 'epsilon': 1.8040225776161995e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 99 with value: 0.9644826268751922.
[I 2024-12-10 16:14:19,870] Trial 176 finished with value: 0.9700233141517449 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8370448241480389, 'batch_size': 156, 'attention_heads': 4, 'hidden_dimension': 248, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5275372224006784, 'global_pooling': 'mean', 'learning_rate': 0.0009363826985493532, 'weight_decay': 0.00018615347792921337, 'beta_0': 0.8656829853380198, 'beta_1': 0.9915091088054683, 'epsilon': 1.739774497830005e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 16:24:04,188] Trial 177 finished with value: 0.9473601545746404 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.8389140336337162, 'batch_size': 156, 'attention_heads': 4, 'hidden_dimension': 245, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5268621287902102, 'global_pooling': 'mean', 'learning_rate': 0.0009236522458239244, 'weight_decay': 0.00019148306816607456, 'beta_0': 0.8664370233611929, 'beta_1': 0.9904493460579377, 'epsilon': 1.6034103999648124e-08, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 16:32:53,152] Trial 178 finished with value: 0.9628097545715724 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.825965130704577, 'batch_size': 153, 'attention_heads': 4, 'hidden_dimension': 250, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5248215512676604, 'global_pooling': 'mean', 'learning_rate': 0.0007426188123891376, 'weight_decay': 0.00023665733854369336, 'beta_0': 0.8637816541620527, 'beta_1': 0.9909619015541408, 'epsilon': 1.8870239000036422e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 16:41:34,820] Trial 179 finished with value: 0.9602918448665738 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8161529717424845, 'batch_size': 160, 'attention_heads': 4, 'hidden_dimension': 242, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5216997803310034, 'global_pooling': 'mean', 'learning_rate': 0.0008688755690637979, 'weight_decay': 0.00024760421731657696, 'beta_0': 0.8633857632706573, 'beta_1': 0.9918071244908648, 'epsilon': 1.7890359765978775e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 16:50:23,330] Trial 180 finished with value: 0.954921409853656 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8103588036406018, 'batch_size': 159, 'attention_heads': 4, 'hidden_dimension': 251, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5213351591266083, 'global_pooling': 'mean', 'learning_rate': 0.0010543882413041267, 'weight_decay': 0.00022385286565948824, 'beta_0': 0.8632144158907928, 'beta_1': 0.9913606674999328, 'epsilon': 1.7874022042402194e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 16:59:03,694] Trial 181 finished with value: 0.9592914223149381 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8182621312503632, 'batch_size': 153, 'attention_heads': 4, 'hidden_dimension': 232, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5367702925343739, 'global_pooling': 'mean', 'learning_rate': 0.0007583910675258988, 'weight_decay': 0.00020282887168778375, 'beta_0': 0.8652146990240375, 'beta_1': 0.9916994177832475, 'epsilon': 1.9619830162630267e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 17:08:03,769] Trial 182 finished with value: 0.9643811943796894 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8177189628155762, 'batch_size': 154, 'attention_heads': 4, 'hidden_dimension': 229, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5368453727301182, 'global_pooling': 'mean', 'learning_rate': 0.0007391744008210363, 'weight_decay': 0.00020677454027455595, 'beta_0': 0.8644458497179395, 'beta_1': 0.9917392012618037, 'epsilon': 1.6437354678080742e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 17:17:05,585] Trial 183 finished with value: 0.9561657955196539 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.814254664415451, 'batch_size': 154, 'attention_heads': 4, 'hidden_dimension': 231, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5355989493700336, 'global_pooling': 'mean', 'learning_rate': 0.000826216963427706, 'weight_decay': 0.00019655271333008208, 'beta_0': 0.8649508930982279, 'beta_1': 0.9923485519652604, 'epsilon': 1.6644225903709737e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 17:25:47,174] Trial 184 finished with value: 0.9552328242826156 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8187765640454293, 'batch_size': 151, 'attention_heads': 4, 'hidden_dimension': 235, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5394615538741186, 'global_pooling': 'mean', 'learning_rate': 0.0007574163842183527, 'weight_decay': 0.00017088722189790808, 'beta_0': 0.8631961164735781, 'beta_1': 0.9916755609664101, 'epsilon': 1.861924506051728e-08, 'balanced_loss': False, 'epochs': 196, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 17:34:11,448] Trial 185 finished with value: 0.9621579759874938 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8328257598579302, 'batch_size': 146, 'attention_heads': 4, 'hidden_dimension': 227, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5276904675567724, 'global_pooling': 'mean', 'learning_rate': 0.0009648505403757263, 'weight_decay': 0.0002395842578590629, 'beta_0': 0.8578306683902734, 'beta_1': 0.990950527603286, 'epsilon': 1.2742611446876285e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 17:42:34,876] Trial 186 finished with value: 0.9523986325259335 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8333118187508921, 'batch_size': 146, 'attention_heads': 4, 'hidden_dimension': 226, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5276750978833227, 'global_pooling': 'mean', 'learning_rate': 0.0010162741154384689, 'weight_decay': 0.00024295613359005052, 'beta_0': 0.8570993624793711, 'beta_1': 0.990841389232061, 'epsilon': 1.3264194310985054e-08, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 17:51:03,020] Trial 187 finished with value: 0.9503643806585139 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8269545829327255, 'batch_size': 138, 'attention_heads': 4, 'hidden_dimension': 241, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5283289793739163, 'global_pooling': 'mean', 'learning_rate': 0.0011644535684195072, 'weight_decay': 0.00025797055813280684, 'beta_0': 0.8589030853913937, 'beta_1': 0.9910250953477248, 'epsilon': 2.2844302447466727e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 17:59:23,311] Trial 188 finished with value: 0.9540293073984016 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8366573823157338, 'batch_size': 145, 'attention_heads': 4, 'hidden_dimension': 218, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5182220852218609, 'global_pooling': 'mean', 'learning_rate': 0.0009064655260179633, 'weight_decay': 0.00023041052035363473, 'beta_0': 0.8537222175692764, 'beta_1': 0.991444507693784, 'epsilon': 1.2655740144982736e-08, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 18:07:45,519] Trial 189 finished with value: 0.9640332092902854 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.825653772835727, 'batch_size': 163, 'attention_heads': 4, 'hidden_dimension': 228, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5242917728941447, 'global_pooling': 'mean', 'learning_rate': 0.0006978099732755123, 'weight_decay': 0.00026559528292045994, 'beta_0': 0.8627606210773158, 'beta_1': 0.9927373966603713, 'epsilon': 1.72964858258092e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 18:16:43,343] Trial 190 finished with value: 0.9597904489852342 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.803877381210639, 'batch_size': 141, 'attention_heads': 4, 'hidden_dimension': 223, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5321658925782606, 'global_pooling': 'mean', 'learning_rate': 0.0006747661424026323, 'weight_decay': 0.00017144476318848128, 'beta_0': 0.8618897915619669, 'beta_1': 0.9926800411027971, 'epsilon': 1.781121826592641e-08, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 18:25:20,036] Trial 191 finished with value: 0.9523973762678242 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8307282225879246, 'batch_size': 149, 'attention_heads': 4, 'hidden_dimension': 228, 'number_of_hidden_layers': 0, 'dropout_rate': 0.524425361274533, 'global_pooling': 'mean', 'learning_rate': 0.0006148979105623403, 'weight_decay': 0.00019969725748059084, 'beta_0': 0.8626117349911269, 'beta_1': 0.9909948074165781, 'epsilon': 2.4548415611437757e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 18:34:15,565] Trial 192 finished with value: 0.9597701286931482 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8239469317706988, 'batch_size': 161, 'attention_heads': 4, 'hidden_dimension': 236, 'number_of_hidden_layers': 0, 'dropout_rate': 0.521617794163618, 'global_pooling': 'mean', 'learning_rate': 0.0008428317940107346, 'weight_decay': 0.0002629342226435621, 'beta_0': 0.8695430041906547, 'beta_1': 0.993143321320979, 'epsilon': 1.507105544075195e-08, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 18:42:36,906] Trial 193 finished with value: 0.9574104212747878 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8446745573559284, 'batch_size': 163, 'attention_heads': 4, 'hidden_dimension': 250, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5301290195119696, 'global_pooling': 'mean', 'learning_rate': 0.0007175086463259316, 'weight_decay': 0.00022091015917472163, 'beta_0': 0.867151430419039, 'beta_1': 0.9921079074131302, 'epsilon': 2.254344339474028e-08, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 18:51:59,870] Trial 194 finished with value: 0.9675793853364614 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8131082899727763, 'batch_size': 156, 'attention_heads': 4, 'hidden_dimension': 213, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5239416859577328, 'global_pooling': 'mean', 'learning_rate': 0.0005580553239974879, 'weight_decay': 0.0002744517408132957, 'beta_0': 0.8645787457408655, 'beta_1': 0.991912105265782, 'epsilon': 1.8714844181353095e-08, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 19:00:19,544] Trial 195 finished with value: 0.9541418857445118 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8127071493012105, 'batch_size': 158, 'attention_heads': 4, 'hidden_dimension': 215, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5407307159172432, 'global_pooling': 'mean', 'learning_rate': 0.0011132925041981727, 'weight_decay': 0.00026126791062096994, 'beta_0': 0.8643497721564202, 'beta_1': 0.9921721620072742, 'epsilon': 2.8907609348254676e-08, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 19:08:52,783] Trial 196 finished with value: 0.9598657541275719 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8215895128333446, 'batch_size': 153, 'attention_heads': 5, 'hidden_dimension': 211, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5253525367785171, 'global_pooling': 'mean', 'learning_rate': 0.0005637304102812117, 'weight_decay': 2.717659758480503e-05, 'beta_0': 0.8615929716058554, 'beta_1': 0.991841086926964, 'epsilon': 1.894791399544277e-08, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 19:17:02,236] Trial 197 finished with value: 0.9566732102801903 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.829368939782095, 'batch_size': 144, 'attention_heads': 4, 'hidden_dimension': 220, 'number_of_hidden_layers': 0, 'dropout_rate': 0.521337212291623, 'global_pooling': 'mean', 'learning_rate': 0.0009484788453937066, 'weight_decay': 0.00017666918314564512, 'beta_0': 0.8595676835270109, 'beta_1': 0.9928089968255202, 'epsilon': 1.6282447595761166e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 19:26:19,793] Trial 198 finished with value: 0.9591761993428223 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8073031541764771, 'batch_size': 156, 'attention_heads': 5, 'hidden_dimension': 229, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5337140999882557, 'global_pooling': 'mean', 'learning_rate': 0.000700239340622023, 'weight_decay': 0.00021194024247810919, 'beta_0': 0.8655955900485968, 'beta_1': 0.9907345558438039, 'epsilon': 2.111806691522802e-08, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 19:34:45,555] Trial 199 finished with value: 0.9518237115991903 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8151195526190231, 'batch_size': 148, 'attention_heads': 4, 'hidden_dimension': 222, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5179918018994566, 'global_pooling': 'mean', 'learning_rate': 0.0005789063492956297, 'weight_decay': 0.00023813921959599065, 'beta_0': 0.8634286595996339, 'beta_1': 0.9913389629210276, 'epsilon': 2.4467950541564235e-08, 'balanced_loss': False, 'epochs': 190, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 19:45:26,126] Trial 200 finished with value: 0.9292497342346868 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7973902441404537, 'batch_size': 136, 'attention_heads': 4, 'hidden_dimension': 212, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5285855322235294, 'global_pooling': 'sum', 'learning_rate': 0.0009088361276318143, 'weight_decay': 0.0003282389323541982, 'beta_0': 0.8677825649306506, 'beta_1': 0.9916866197242398, 'epsilon': 1.8375166545542155e-08, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 19:54:08,404] Trial 201 finished with value: 0.9458404114491955 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8364942939212356, 'batch_size': 142, 'attention_heads': 5, 'hidden_dimension': 238, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5370573042212698, 'global_pooling': 'mean', 'learning_rate': 0.0015799282008971216, 'weight_decay': 0.00015561910969042684, 'beta_0': 0.8662469148756522, 'beta_1': 0.990522925451098, 'epsilon': 2.854875180978672e-08, 'balanced_loss': True, 'epochs': 190, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 20:02:49,374] Trial 202 finished with value: 0.9629706750603026 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8210958855773536, 'batch_size': 152, 'attention_heads': 5, 'hidden_dimension': 210, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5242425135997978, 'global_pooling': 'mean', 'learning_rate': 0.0005376748096802787, 'weight_decay': 2.501267439509049e-05, 'beta_0': 0.8609334499587051, 'beta_1': 0.9919060787553403, 'epsilon': 1.9389905090413352e-08, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 20:12:27,326] Trial 203 finished with value: 0.9680285518954118 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8240856903529871, 'batch_size': 152, 'attention_heads': 5, 'hidden_dimension': 208, 'number_of_hidden_layers': 0, 'dropout_rate': 0.524441081682887, 'global_pooling': 'mean', 'learning_rate': 0.0005402930717691418, 'weight_decay': 2.3485737872933903e-05, 'beta_0': 0.8601746770917332, 'beta_1': 0.9922341475284124, 'epsilon': 1.4881934175547465e-08, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
CUDA out of memory. Tried to allocate 3.36 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.97 GiB is free. Including non-PyTorch memory, this process has 41.59 GiB memory in use. Of the allocated memory 37.76 GiB is allocated by PyTorch, and 2.68 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-10 20:19:44,517] Trial 204 finished with value: -1.0 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8231988925822968, 'batch_size': 150, 'attention_heads': 13, 'hidden_dimension': 210, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5247588306843608, 'global_pooling': 'mean', 'learning_rate': 0.0006879240491477915, 'weight_decay': 3.161856812557568e-05, 'beta_0': 0.8574789099737281, 'beta_1': 0.9938150401374382, 'epsilon': 1.653319194006563e-08, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 20:28:21,563] Trial 205 finished with value: 0.951174510936614 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8160814726245366, 'batch_size': 154, 'attention_heads': 5, 'hidden_dimension': 217, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5318488831774699, 'global_pooling': 'mean', 'learning_rate': 0.0011742343116010142, 'weight_decay': 2.3788547337421083e-05, 'beta_0': 0.8600835376971088, 'beta_1': 0.9926001139050484, 'epsilon': 1.4304876589417874e-08, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 10, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 20:37:19,793] Trial 206 finished with value: 0.9562807260068344 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8265296300378643, 'batch_size': 145, 'attention_heads': 5, 'hidden_dimension': 207, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5175960266242563, 'global_pooling': 'mean', 'learning_rate': 0.0005617451135502281, 'weight_decay': 1.946425275432953e-05, 'beta_0': 0.8613412553014091, 'beta_1': 0.9923426499002835, 'epsilon': 1.2303541493630491e-08, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 12, 'plateau_patience': 15, 'plateau_divider': 7}. Best is trial 176 with value: 0.9700233141517449.
[I 2024-12-10 20:46:20,701] Trial 207 finished with value: 0.957376643007902 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8068229001260252, 'batch_size': 158, 'attention_heads': 5, 'hidden_dimension': 215, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4338505853634288, 'global_pooling': 'mean', 'learning_rate': 0.0007854429209051929, 'weight_decay': 1.7967521365640763e-05, 'beta_0': 0.8540078539531957, 'beta_1': 0.9919749986928125, 'epsilon': 2.1556016520131778e-08, 'balanced_loss': False, 'epochs': 199, 'early_stopping_patience': 11, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 176 with value: 0.9700233141517449.
