Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 17:07:25,672] Using an existing study with name 'R8-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (655 > 512). Running this sequence through the model will result in indexing errors
[I 2024-12-03 17:15:29,236] Trial 183 finished with value: 0.9476184042144092 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6656745475620955, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 101, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3622081103395467, 'global_pooling': 'max', 'learning_rate': 0.00019159786779450772, 'weight_decay': 2.4380003254969343e-05, 'beta_0': 0.8400042315724068, 'beta_1': 0.983492276959586, 'epsilon': 1.9138926143385058e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 61 with value: 0.9599624971991361.
[I 2024-12-04 00:38:55,264] Trial 254 finished with value: 0.9482292565596947 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.68263565774958, 'batch_size': 212, 'attention_heads': 5, 'hidden_dimension': 84, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3112753801221173, 'global_pooling': 'max', 'learning_rate': 0.0002995991999642546, 'weight_decay': 9.436770449297613e-06, 'beta_0': 0.822274469757887, 'beta_1': 0.9812677215898906, 'epsilon': 1.1212236595044775e-08, 'balanced_loss': False, 'epochs': 153, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:45:13,413] Trial 255 finished with value: 0.9513381930343474 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6730924729035968, 'batch_size': 64, 'attention_heads': 5, 'hidden_dimension': 77, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3407583520259346, 'global_pooling': 'max', 'learning_rate': 0.0007180978675130832, 'weight_decay': 2.118383914044532e-06, 'beta_0': 0.8262095124335851, 'beta_1': 0.9835994607915354, 'epsilon': 2.625733510502156e-05, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 17, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:51:31,921] Trial 256 finished with value: 0.9552831773402717 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6571049002953027, 'batch_size': 69, 'attention_heads': 6, 'hidden_dimension': 67, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3002131729785454, 'global_pooling': 'max', 'learning_rate': 0.0009702133815174607, 'weight_decay': 3.614356062653183e-06, 'beta_0': 0.833072976391806, 'beta_1': 0.9827763801191797, 'epsilon': 5.7528262718310284e-05, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 00:57:49,827] Trial 257 finished with value: 0.9524744084559004 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6621164810071648, 'batch_size': 62, 'attention_heads': 6, 'hidden_dimension': 58, 'number_of_hidden_layers': 0, 'dropout_rate': 0.304929084989575, 'global_pooling': 'max', 'learning_rate': 0.0012061307498657246, 'weight_decay': 3.167227756194929e-06, 'beta_0': 0.8353685099112966, 'beta_1': 0.982704131950905, 'epsilon': 5.6718804013569496e-05, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 01:04:02,019] Trial 258 finished with value: 0.948844641109549 and parameters: {'left_stride': 32, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6912088935692766, 'batch_size': 74, 'attention_heads': 6, 'hidden_dimension': 67, 'number_of_hidden_layers': 0, 'dropout_rate': 0.301218398505444, 'global_pooling': 'max', 'learning_rate': 0.0008987943617164818, 'weight_decay': 3.873585883705097e-06, 'beta_0': 0.8067551822480479, 'beta_1': 0.9831336670815791, 'epsilon': 4.477080238687129e-05, 'balanced_loss': False, 'epochs': 148, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 01:11:48,413] Trial 259 finished with value: 0.929500218448628 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6713860729499709, 'batch_size': 218, 'attention_heads': 6, 'hidden_dimension': 63, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3078262637008591, 'global_pooling': 'max', 'learning_rate': 0.00025878357699523204, 'weight_decay': 2.672162767257305e-06, 'beta_0': 0.833129706459923, 'beta_1': 0.9827125598661979, 'epsilon': 6.705729035808692e-05, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 01:17:55,060] Trial 260 finished with value: 0.9435272900037864 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6577082833571909, 'batch_size': 67, 'attention_heads': 6, 'hidden_dimension': 71, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3147955046145132, 'global_pooling': 'mean', 'learning_rate': 0.0017405101642335706, 'weight_decay': 3.3352295806058848e-06, 'beta_0': 0.830915307274914, 'beta_1': 0.9822054231214342, 'epsilon': 5.888207489598743e-05, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 01:27:28,604] Trial 261 finished with value: 0.9431170459951818 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6787081824669348, 'batch_size': 82, 'attention_heads': 4, 'hidden_dimension': 67, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30136636228172287, 'global_pooling': 'max', 'learning_rate': 0.000982973291763636, 'weight_decay': 4.613322926771641e-06, 'beta_0': 0.8166569226965916, 'beta_1': 0.983246023440872, 'epsilon': 7.562274721710053e-05, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.
[I 2024-12-04 01:33:41,815] Trial 262 finished with value: 0.9509614770506989 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6661874054649292, 'batch_size': 58, 'attention_heads': 6, 'hidden_dimension': 51, 'number_of_hidden_layers': 0, 'dropout_rate': 0.35521852270103654, 'global_pooling': 'max', 'learning_rate': 0.00038098334071863857, 'weight_decay': 3.847927877913682e-06, 'beta_0': 0.8362723490757944, 'beta_1': 0.9824649498257093, 'epsilon': 8.756301426579101e-05, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 239 with value: 0.9608329457971938.

[TRIAL] 239 [VALIDATION PERFORMANCE] 0.9608329457971938 [TRAINING LOSS] 0.009794803708791733 [VALIDATION LOSS] 0.08754676729440689 

number                                     239
value                                 0.960833
params_threshold                      0.666984
params_attention_heads                       4
params_balanced_loss                     False
params_embedding_pooling_operation        mean
params_attention_pooling_operation        mean
params_batch_size                          224
params_dropout_rate                   0.343777
params_early_stopping_patience              19
params_epochs                              156
params_global_pooling                      max
params_hidden_dimension                     89
params_learning_rate                  0.000693
params_number_of_hidden_layers               0
params_plateau_divider                      10
params_plateau_patience                     16
params_weight_decay                   0.000006
params_beta_0                         0.817485
params_beta_1                         0.982257
params_epsilon                        0.000046
user_attrs_epoch                          39.0
user_attrs_training_loss              0.009795
user_attrs_validation_loss            0.087547
params_left_stride                          32
params_right_stride                        128
Name: 239, dtype: object
37 Val: 0.9508192088812462 Test: 0.9330429329813794
38 Val: 0.9597177634553091 Test: 0.9441666793645884
39 Val: 0.9427008060715703 Test: 0.9318020991428675
40 Val: 0.9425349432371357 Test: 0.9441033232619984
41 Val: 0.9485344453865069 Test: 0.9428079432766363
42 Val: 0.9568697258155643 Test: 0.9399932091808587
43 Val: 0.9529666633069054 Test: 0.9379936789413429
44 Val: 0.9534617969544319 Test: 0.9386204558336717
45 Val: 0.9548086791375082 Test: 0.9346023788906498
46 Val: 0.9509189543384289 Test: 0.9465246031393384
Validation performance: 94.25 & 95.13 ± 0.56 & 95.97
Testing performance: 93.18 & 93.94 ± 0.51 & 94.65

[TRIAL] 61 [VALIDATION PERFORMANCE] 0.9599624971991361 [TRAINING LOSS] 0.012530733828801507 [VALIDATION LOSS] 0.08830258583960433 

number                                      61
value                                 0.959962
params_threshold                       0.65024
params_attention_heads                       7
params_balanced_loss                     False
params_embedding_pooling_operation        mean
params_attention_pooling_operation        mean
params_batch_size                           93
params_dropout_rate                   0.360222
params_early_stopping_patience              17
params_epochs                              134
params_global_pooling                      max
params_hidden_dimension                    120
params_learning_rate                  0.000306
params_number_of_hidden_layers               0
params_plateau_divider                       8
params_plateau_patience                     19
params_weight_decay                   0.000007
params_beta_0                         0.857278
params_beta_1                         0.983842
params_epsilon                        0.000001
user_attrs_epoch                          26.0
user_attrs_training_loss              0.012531
user_attrs_validation_loss            0.088303
params_left_stride                          64
params_right_stride                          0
Name: 61, dtype: object
37 Val: 0.9465587495928842 Test: 0.9339345212204467
38 Val: 0.9492590994752657 Test: 0.9434125471790393
39 Val: 0.9508459001833458 Test: 0.9385900598385968
40 Val: 0.9525653500815249 Test: 0.936210106369402
41 Val: 0.9575902330245567 Test: 0.9395688268857121
42 Val: 0.9568330268492016 Test: 0.9493785901566558
43 Val: 0.9482246210302436 Test: 0.9346237773496695
44 Val: 0.9545038132714703 Test: 0.9251933987684037
45 Val: 0.9461609683700878 Test: 0.9392795160344174
46 Val: 0.9453337875808039 Test: 0.9361301513441758
Validation performance: 94.53 & 95.08 ± 0.44 & 95.76
Testing performance: 92.52 & 93.76 ± 0.63 & 94.94

[TRIAL] 234 [VALIDATION PERFORMANCE] 0.9596004665277111 [TRAINING LOSS] 0.0120353979162044 [VALIDATION LOSS] 0.10295011699199677 

number                                     234
value                                   0.9596
params_threshold                      0.650007
params_attention_heads                       4
params_balanced_loss                     False
params_embedding_pooling_operation        mean
params_attention_pooling_operation        mean
params_batch_size                          252
params_dropout_rate                   0.313958
params_early_stopping_patience              17
params_epochs                              155
params_global_pooling                      max
params_hidden_dimension                     79
params_learning_rate                  0.001376
params_number_of_hidden_layers               0
params_plateau_divider                      10
params_plateau_patience                     16
params_weight_decay                   0.000006
params_beta_0                         0.832061
params_beta_1                         0.983041
params_epsilon                        0.000085
user_attrs_epoch                          25.0
user_attrs_training_loss              0.012035
user_attrs_validation_loss             0.10295
params_left_stride                          32
params_right_stride                        128
Name: 234, dtype: object
37 Val: 0.9453119665961041 Test: 0.9335264609406506
38 Val: 0.9411211869041258 Test: 0.9381515646702621
39 Val: 0.936563633282746 Test: 0.9501171629141487
40 Val: 0.9528760323544778 Test: 0.945678005806623
41 Val: 0.9563954382372889 Test: 0.938214252701808
42 Val: 0.9599123935603303 Test: 0.9381824856874483
43 Val: 0.9507981369278246 Test: 0.9409828970899077
44 Val: 0.9538533922079531 Test: 0.9427896747993598
45 Val: 0.9418352988211282 Test: 0.9410214979696303
46 Val: 0.9499246548892174 Test: 0.9508049494947913
Validation performance: 93.66 & 94.89 ± 0.74 & 95.99
Testing performance: 93.35 & 94.19 ± 0.55 & 95.08

[TRIAL] 246 [VALIDATION PERFORMANCE] 0.9592153900517125 [TRAINING LOSS] 0.010796085465699434 [VALIDATION LOSS] 0.07579284857880945 

number                                     246
value                                 0.959215
params_threshold                        0.6674
params_attention_heads                       6
params_balanced_loss                     False
params_embedding_pooling_operation        mean
params_attention_pooling_operation        mean
params_batch_size                          211
params_dropout_rate                   0.348616
params_early_stopping_patience              18
params_epochs                              159
params_global_pooling                      max
params_hidden_dimension                     76
params_learning_rate                  0.000448
params_number_of_hidden_layers               0
params_plateau_divider                      10
params_plateau_patience                     17
params_weight_decay                   0.000009
params_beta_0                         0.813293
params_beta_1                         0.982834
params_epsilon                        0.000074
user_attrs_epoch                          49.0
user_attrs_training_loss              0.010796
user_attrs_validation_loss            0.075793
params_left_stride                          32
params_right_stride                        128
Name: 246, dtype: object
slurmstepd: error: *** JOB 14054781 ON gpu002 CANCELLED AT 2024-12-04T05:07:19 DUE TO TIME LIMIT ***
