dataset,index,split,text
Ohsumed,796,test,"Complications of laparoscopic cholecystectomy.  The emergence of laparoscopic cholecystectomy as a viable alternative to traditional cholecystectomy has been greeted with enthusiasm by the surgical community.  This new technique is not without complications, both potential and real.  The complications associated with diagnostic laparoscopy are well documented, as are those associated with traditional cholecystectomy.  All of these may also be seen with laparoscopic cholecystectomy.  The incidence of their occurrence, however, may vary.  It remains too early to evaluate the complication rates from this new procedure, as reports of large series are just beginning to emerge.  Early reports are encouraging but caution that bile duct injury, hemorrhage, and even death may occur.  Early enthusiasm for this new method must be tempered with care in its practice if complication rates are to be maintained at an acceptable level and the procedure is to earn a permanent place in the armamentarium of the surgeon."
R8,144,test,hawaiian electric he to buy hawaiian insurance hawaiian electric industries said it has entered a letter of intent to buy the hawaiian insurance companies the transaction is subject to a definitive agreement and government and board approvals the hawaiian insurance companies ad assets at the end of of mln dlrs and earned premiums of mln dlrs hawaiian electric said it plans to operate the comapny which has employees with current management reuter
SST-2,846,test,Too lazy to take advantage of its semi-humorous premise .
SST-2,668,validation,"It just may inspire a few younger moviegoers to read Stevenson 's book , which is a treasure in and of itself ."
SST-2,405,test,It 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic Oliver Parker intends to mangle next time .
SST-2,700,validation,Oh come on .
Ohsumed,987,test,"Local control of auricular, periauricular, and external canal cutaneous malignancies with Mohs surgery.  Three hundred ninety-seven patients with 407 cutaneous malignancies of the auricle, periauricular region, and cartilaginous external ear canal were reviewed.  Tumors were most commonly located in the preauricular and postauricular regions, followed by the helix, concha, antihelix, and ear canal.  All lesions were excised with Mohs microscopic control of margins.  For lesions requiring lateral temporal bone resection, an adaptation of fresh-tissue microscopic control was used to analyze deep and anterior margins suspected of harboring residual tumor.  Two-year minimum follow-up of 229 patients with periauricular and auricular tumors (N = 231 tumors) and 14 patients with cartilaginous ear canal tumors (N = 14 tumors) revealed recurrence rates of 6.9% and 14.3%, respectively.  Recurrences were most common in cases of large tumors (greater than 2.5 cm), basal cell carcinomas with morphea elements, and multiply recurrent lesions.  We conclude that Mohs surgery is comparatively effective, though not uniformly curative, and can be adapted to supplement excision of large tumors in these regions."
Ohsumed,2658,test,"A mathematical model of the volume, pH, and ion content regulation in reticulocytes. Application to the pathophysiology of sickle cell dehydration.  We developed a mathematical model of the reticulocyte, seeking to explain how a cell with similar volume but much higher ionic traffic than the mature red cell (RBC) regulates its volume, pH, and ion content in physiological and abnormal conditions.  Analysis of the fluxbalance required by reticulocytes to conserve volume and composition predicted the existence of previously unsuspected Na(+)-dependent Cl- entry mechanisms.  Unlike mature RBCs, reticulocytes did not tend to return to their original state after brief perturbations.  The model predicted hysteresis and drift in cell pH, volume, and ion contents after transient alterations in membrane permeability or medium composition; irreversible cell dehydration could thus occur by brief K+ permeabilization, transient medium acidification, or the replacement of external Na+ with an impermeant cation.  Both the hysteresis and drift after perturbations were shown to depend on the pHi dependence of the K:Cl cotransport, a major reticulocyte transporter.  This behavior suggested a novel mechanism for the generation of irreversibly sickled cells directly from reticulocytes, rather than in a stepwise, progressive manner from discocytes.  Experimental tests of the model's predictions and the hypothesis are described in the following paper."
SST-2,184,test,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates ."
Ohsumed,3682,test,"Intensive insulin therapy for treatment of type I diabetes.  Intensive insulin therapy is best defined as a comprehensive system of diabetes management with the patient and management team as partners.  The system is directed at improvement of glycemia and patient well-being.  Glycemic targets should be individually defined.  Frequent self-monitoring of blood glucose, probably at least four times per day, is essential for meticulous control.  The benefits include improved psychosocial functioning and the potential of lessening the risks of chronic complications of diabetes.  The risks relate to problems associated with hypoglycemia, which are increased if meticulous glycemic control is sought.  One of the important elements of intensive therapy is a multiple-component insulin program designed to provide effective insulinemia coinciding with each major meal and continuous basal insulinemia throughout the 24-h day.  This may be achieved with continuous subcutaneous insulin infusion (CSII) or multiple injections with various insulin regimens, although CSII may offer real advantages in terms of the pharmacokinetics of insulin delivery.  Other pharmacokinetic issues to be considered involve selection of injection sites, timing of premeal insulin, and mixing insulins.  Many studies have shown that, albeit with effort, excellent glycemic control can be achieved by various intensive insulin-therapy regimens.  The implementation of a program of intensive therapy involves patient self-management in terms of altering insulin dosages, food intake, and/or activity in an attempt to achieve the target level of glycemia selected.  In motivated patients willing to embark on such a course of therapy, intensive insulin therapy can be worthwhile.  It should be considered for all patients with type I (insulin-dependent) diabetes mellitus."
R8,1614,test,industrial equity has pct of triton oil a group of firms led by hong kong based industrial equity pacific ltd said it acquired shares of triton oil corp common stock or pct of the company s common stock outstanding industrial equity pacific which is controlled by brierley investments ltd bryw we and which has applied with u s antitrust regulators to buy up to pct of triton s common stock said the current pct stake was acquired for investment purposes the company said it informed triton of its present good faith intention to buy more than mln dlrs worth of triton stock it said it also told triton it may depending on market conditions acquire pct or more and possibly pct of the voting securities of triton it said it received clearance to buy up to pct of the stock on september industrial equity pacific reported it bought shares of triton common stock on october at dlrs a share reuter
R8,723,test,gibraltar gfc to buy thrift for mln dlrs gibraltar financial corp said its gibraltar savings unit has agreed in principle to buy first federal savings and loan of ridgecrest for about mln dlrs cash the company said the actual price will be determined at the close based on net book value at may it said first federal is located in kearn county northeast of los angeles and has assets of mln dlrs it said the transaction is subject to a definitive agreement shareholder and regulatory approval reuter
SST-2,914,test,"We are left with a superficial snapshot that , however engaging , is insufficiently enlightening and inviting ."
SST-2,241,test,If I Spy were funny ( enough ) or exciting ( enough ) then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public .
Ohsumed,1382,test,"A possible role for vitamins C and E in cataract prevention.  Biochemical evidence suggests that oxidative stress caused by accumulation of free radicals is involved in the pathogenesis of senile cataracts.  If so, appropriate amounts of the antioxidant vitamins C and E might be expected to prevent or retard the process.  Such activity has been observed in several in vitro and in vivo studies of experimentally-induced cataracts.  A recent epidemiologic study found that cataract patients tended to have lower serum levels of vitamins C, E, or carotenoids than did control subjects.  The present investigation, which compared the self-reported consumption of supplementary vitamins by 175 cataract patients with that of 175 individually matched, cataract-free subjects, revealed that the latter group used significantly more supplementary vitamins C and E (P = 0.01 and 0.004, respectively).  Because the results suggested a reduction in the risk of cataracts of at least 50%, a randomized, controlled trial of vitamin supplementation in cataract prevention may be warranted."
Ohsumed,2510,test,"The clinical efficacy of triple-injection wrist arthrography.  Triple-injection wrist arthrography has been demonstrated to increase the likelihood that all the ligamentous perforations in an injured wrist will be diagnosed.  However, compared with imaging after single injection of contrast material into the radiocarpal joint, triple-injection arthrography not only increases patient expense but also significantly increases the time required of both patients and arthrographers to obtain the diagnosis.  With the goal of decreasing the number of triple injections, the author reviewed 50 consecutive triple-injection wrist arthrograms.  Using a technique based on high-volume injection of contrast material to achieve complete distention of the joint, the author achieved a false-negative rate for demonstration of complete perforations with radiocarpal injection alone of only 2% (10% if partial perforations were included).  In none of these cases was patient treatment altered by the additional information provided by the second and third injections.  This false-negative rate is significantly lower than that reported previously and raises the question of whether there are circumstances in which the easier and less time-consuming single radiocarpal injection might be appropriate."
Ohsumed,522,validation,"Epidural analgesia for a parturient with herpes gestationis.  A 23-yr-old parturient with herpes gestationis spontaneously delivered a normal healthy infant under epidural analgesia.  She received five injections of bupivacaine 0.5 per cent over a ten-hour period.  There was no infection at the lumbar region, even though her body was covered with vesicles and bullae including the face and neck.  Eight months after delivery the patient still has a vesicular eruption which occurs mainly during her menses."
R8,340,validation,soros group tells sec it may buy up to pct of fairchild industries
SST-2,457,validation,A solid examination of the male midlife crisis .
SST-2,33,validation,The film makes a fatal mistake : It asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .
R8,1822,test,marcade group inc mar buys europe craft marcade group said it had agreed to buy europe craft imports inc for a combination of cash and common stock the company said europe craft designs imports and distributes menswear and sportswear under the member s only brand name the company said europe craft had sales of mln dlrs last year marcade said this latest deal is part of an ongoing acquisition phase reuter
R8,1066,test,japan concerned at ec trade threats minister japan is disappointed at the recent threats of trade retaliation from the european community ec just as the trade situation between the two is improving japanese trade and industry minister hajime tamura said i am deeply concerned that the ec has moved to take a harsher line toward japan despite this tangible improvement he said in a speech prepared for delivery at the opening of a new centre designed to improve understanding between the two sides last week foreign ministers of the ec nations agreed to impose tariffs on a range of unspecified japanese electrical goods unless tokyo opened its markets more to ec exports tamura referred to a pct rise in japanese imports of ec manufactured goods in the year ended march i feel this is a strong step on the road to balance through expansion while i do not deny the existence of the trade deficit between japan and the ec i believe it should be rectified not by reducing trade through import restrictions or export restraints but by expanding the overall trade tamura said reuter
IMDb-top_1000,242,test,"Even a decade after ""Frontline"" aired on the ABC, near as I can tell, ""current affairs"" programmes are still using the same tricks over and over. Time after time, ""Today Tonight"" and ""A Current Affair"" are seen to be hiding behind the facade of journalistic professionalism, and yet they feed us nothing but tired stories about weight-loss and dodgy tradesmen, shameless network promotions and pointless celebrity puff-pieces. Having often been subjected to that entertainment-less void between 'The Simpsons' at 6:00 PM and 'Sale of the Century' (or 'Temptation') at 7:00 PM, I was all too aware of the little tricks that these shows would use to attract ratings.<br /><br />Fortunately, four rising comedians  Rob Sitch, Jane Kennedy, Santo Cilauro and Tom Gleisner  were also all too aware of all this, and they crafted their frustrations into one of the most wickedly-hilarious media satires you'll ever see on television. The four entertainers had already met with comedic success, their previous most memorable television stint being on 'The Late Show,' the brilliant Saturday night variety show which ran for two seasons from 1992-1993, and also featured fellow comedians Mick Molloy, Tony Martin, Jason Stephens and Judith Lucy.<br /><br />""Frontline"" boasts an ensemble of colourful characters, each with their own distinct and quirky personality. The current-affairs show is headed by nicely-groomed Mike Moore (Rob Sitch), an ambitious, pretentious, dim-witted narcissist. Mike works under the delusion that the show is serving a vital role for society  he is always adamant that they ""maintain their journalistic integrity""  and his executive producers have excelled into getting him to believe just that. Mike is basically a puppet to bring the news to the people; occasionally he gets the inkling that he is being led along by the nose, but usually this thought is stamped out via appeals to his vanity or promises of a promotion.<br /><br />Brooke Vandenberg (Jane Kennedy) is the senior female reporter on the show. She is constantly concerned about her looks and public profile, and, if the rumours are to be believed, she has had a romantic liaison with just about every male celebrity in existence. Another equally amoral reporter, Marty Di Stasio, is portrayed by Tiriel Mora, who memorably played inept solicitor Dennis Denuto in the Australian comedy classic, 'The Castle.' Emma Ward (Alison Whyte) is the Line Producer on the show, and the single shining beacon of morality on the ""Frontline"" set. Then there's the highly-amusing weatherman, Geoffrey Salter (Santo Cilauro), Mike's best friend and confidant. Geoff makes a living out of always agreeing with Mike's opinion, and of laughing uproariously at his jokes before admitting that he doesn't get them.<br /><br />For each of the shows three seasons, we are treated to a different EP, Executive Producer. Brian Thompson (Bruno Lawrence), who unfortunately passed away in 1995, runs the programme during Season 1. He has a decent set of morals, and is always civil to his employees, and yet is more-than-willing to cast these aside in favour of high ratings. Sam Murphy (Kevin J. Wilson) arrives on set in Season 2, a hard-nosed, smooth-talking producer who knows exactly how to string Mike along; the last episode of the second season, when Mike finally gets the better of him, is a classic moment. Graeme ""Prowsey"" Prowse (Steve Bisley), EP for the third season, is crude, unpleasant and unashamedly sexist. It's, therefore, remarkable that you eventually come to like him.<br /><br />With its cast of distinctive, exaggerated characters, ""Frontline"" has a lot of fun satirising current-affairs programmes and their dubious methods for winning ratings. Many of the episodes were shot quickly and cheaply, often implementing many plot ideas from recent real-life situations, but this never really detracts from the show's topicality ten years on. Celebrity cameos come in abundance, with some of the most memorable appearances including Pauline Hanson, Don Burke and Jon English. Watch out for Harry Shearer's hilarious appearance in the Season 2 episode ""Changing the Face of Current Affairs,"" playing Larry Hadges, an American hired by the network to reform the show.<br /><br />Particularly in the third season, I noticed that ""Frontline"" boasted an extremely gritty form of black humour, uncharacteristic for such a light-hearted comedy show. Genuinely funny moments are born from Brooke being surreptitiously bribed into having an abortion, murder by a crazed gunman and Mike treacherously betraying his best friend's hopes and dreams, only to be told that he is a good friend. The series' final minute  minus an added-scene during the credits, which was probably added just in case a fourth season was to be produced  was probably the greatest, blackest ending to a comedy series that I've yet seen.<br /><br />Below is listed a very tentative list of my top five favourite ""Frontline"" episodes, but, make no mistake, every single half-hour is absolutely hilarious and hard-hitting satire.<br /><br />1) ""The Siege"" (Season 1)<br /><br />2) ""Give 'em Enough Rope"" (Season 2)<br /><br />3) ""Addicted to Fame"" (Season 3)<br /><br />4) ""Basic Instincts"" (Season 2)<br /><br />5) ""Add Sex and Stir"" (Season 1)"
R8,529,test,roto rooter inc roto st qtr net shr cts vs cts net vs revs mln vs reuter
R8,890,test,s and w berisford wants to stay independent s and w berisford plc brfd l which has attracted takeover bids is making every possible effort to remain independent deputy chairman henry lewis said after the company announced interim results we ve taken specific steps to strengthen ourselves for this purpose he added referring to management changes and a corporate strategy of concentrating on four business sectors berisford aims to produced balanced earnings growth from a combination of commodities property financial services and food its industrial division with assets of about mln stg including debt is being reviewed and parts may be sold reuter
Ohsumed,2289,test,"Osteoid osteoma of the scapula. A case report and review of the literature.  The scapula is a rare location for osteoid osteoma, which in most cases does not involve the flat bones.  The en bloc excision in this uncommon location can be problematic since the surgical exposure is difficult, and shoulder joint function can be affected if the lesion is subchondral.  In an 18-year-old man, an osteoid osteoma was located in the subchondral area of the glenoid.  A guided needle biopsy of the nidus resulted in complete healing.  This mode of treatment, with proper follow-up examination, is acceptable for a benign lesion situated in a problematic location."
Ohsumed,5,test,"Fibrin formation on vessel walls in hyperplastic and malignant prostate tissue.  To explore mechanisms of coagulation activation in adenocarcinoma of the prostate, the occurrence and distribution of components of coagulation and fibrinolysis pathways in situ were studied by means of immunohistochemical techniques applied to frozen sections of fresh malignant and benign hyperplastic prostatic tissue obtained at transurethral resection.  Fibrinogen was distributed throughout the perivascular and tumor connective tissue in both malignant and benign disease but was not present in adjacent areas of normal prostate.  Antibodies specific for fibrin and D-dimer crosslink sites stained vascular endothelium focally in both malignant and benign tissues.  Both neoplastic cells and benign hyperplastic glandular epithelial cells stained weakly and in a patchy distribution for tissue factor and focally for low-molecular-weight urokinase-type plasminogen activator.  Focal staining of vascular endothelium was also observed for tissue plasminogen activator and plasmin-antiplasmin complex neoantigen.  By contrast, no tissue staining was observed for factor VII, factor X, factor XIII ""a"" subunit, high-molecular-weight urokinase-type plasminogen activator, plasminogen activator inhibitors 1 to 3, protein C, and protein S.  Thus, the similarity in findings between benign hyperplastic and neoplastic prostate tissue, the lack of either an intact tumor cell-associated coagulation pathway or fibrin formation, and the presence of fibrin on vascular endothelium are consistent with the concept that coagulation activation in prostatic cancer may not be due to a direct effect of the tumor cells on the clotting mechanism.  Rather, such activation may be induced by a soluble tumor product that activates procoagulant activity on certain host (for example, vascular endothelial) cells.  These findings, together with the lack of effect of warfarin anticoagulation on the clinical course of patients with prostatic cancer, contrast with findings in certain other tumor types and suggest that coagulation activation may not contribute to progression of adenocarcinoma of the prostate."
R8,1397,test,investment firm raises tvx tvxg o stake wedge group inc a houston investment firm said it raised its stake in tvx broadcast group inc to shares or pct of the total outstanding common stock from shares or pct in a filing with the securities and exchange commission wedge said it bought tvx common shares at prices ranging from to dlrs a share reuter
Ohsumed,551,validation,"Estrogen replacement and coronary artery disease. Effect on survival in postmenopausal women.  The relationship among postmenopausal estrogen use, coronary stenosis, and survival was examined retrospectively in 2268 women undergoing coronary angiography.  The patients were selected for study if their age was 55 years or older at the time of angiography or if they had previously undergone bilateral oophorectomy.  Postmenopausal estrogen use in 1178 patients with coronary artery disease (greater than 70% stenosis) and 644 patients with mild to moderate coronary artery disease (5% to 69% stenosis) was compared with 446 control subjects (0% stenosis) using life-table analysis.  Over 10 years of follow-up, there was no significant difference in survival among patients initially free of coronary lesions on arteriography who had either never used (377) or ever used (69) estrogens.  Among patients with mild to moderate coronary stenosis, 10-year survival of those who had never used estrogens was 85.0% and it was 95.6% among 99 ""ever users."" Survival was 60.0% among those with more than 70% coronary stenosis who had never used estrogen and it was 97.0% among 70 ever users.  The ""never users"" group were older (65 vs 59 years), had a lower proportion of cigarette smokers (40% vs 57.1%), a higher proportion of subjects with diabetes (21.7% vs 12.9%) and hyperlipidemia (58% vs 44%), and approximately equal numbers of hypertensives (56.0% vs 54.3%).  Cox's proportional hazards model was used to estimate survival as a function of multiple covariables.  Estrogen use was found to have a significant, independent effect on survival in women.  We conclude that estrogen replacement after menopause prolongs survival when coronary artery disease is present, but it has less effect in the absence of coronary artery disease."
Ohsumed,359,test,"Comparison of the effects of guanadrel sulfate and propranolol on blood pressure, functional capacity, serum lipoproteins and glucose in systemic hypertension.  In a controlled, double-blind, crossover study, the effects of guanadrel sulfate and propranolol on blood pressure (BP) and selected cardiopulmonary and metabolic variables were compared in 15 physically active and moderately hypertensive subjects.  Guanadrel sulfate reduced systolic and diastolic BP at rest by -16 and -15 mm Hg, and at maximal exercise by -33 and -13 mm Hg, respectively (p less than 0.005), without affecting submaximal oxygen consumption (VO2), maximal VO2, ventilatory threshold, forced vital capacity, forced expiratory volume in 1 second, or fatigue, as assessed by perceived exertion.  In contrast, propranolol significantly decreased diastolic BP at rest (-16 mm Hg) and systolic BP at maximal exercise (-44 mm Hg); however, it significantly decreased submaximal VO2 (-3.9 ml.kg-1.min-1), maximal VO2 (-3.9 ml.kg-1.min-1), ventilatory threshold (-0.3 liters.min-1), minute ventilation at submaximal exercise (-7.3 liters.min-1), forced expiratory volume in 1 second (-0.27 liters), and concomitantly increased the rating of perceived exertion at maximal exercise (1.9 U).  Guanadrel sulfate was also associated with significant decreases in mean fasting plasma glucose and total serum cholesterol, whereas propranolol resulted in an increase in serum triglycerides (p less than 0.05).  In contrast to propranolol, guanadrel sulfate appears to decrease BP without evoking negative metabolic consequences or impairing exercise tolerance."
R8,533,test,u s oil prices strong ahead of opec meeting u s crude oil prices are at their highest level in more than a year ahead of next week s opec meeting even though most industry analysts do not expect any policy changes from the session they said prices which have steadily climbed since the organization s accord in december have risen on technical factors within the market and concerns about supplies because of the iran iraq war which could disrupt deliveries from the gulf the u s benchmark crude west texas intermediate is trading around dlrs in the july contract on new york mercantile exchange s energy futures and in the spot market that is its highest level since january opec conference president rilwanu lukman who is nigeria s oil minister said friday he expects the meeting in vienna to be brief and calm and that opec s current price and production agreement may only need a slight review although most industry experts expect just a reaffirmation of the december agreement oil prices continue to climb due to a desire to hedge positions in case of any surprises analysts expect the higher prices to continue until soon after the opec meeting at that point barring any increased tension in the gulf or changes in opec s policies prices should begin easing opec will probably not do anything it hasn t already agreed to in december because oil prices are firm said john hill a vice president at merrill lynch futures opec agreed in december to maintain official oil prices at dlrs a barrel and raise the group s production ceiling to mln barrels per day in the third quarter and to mln barrels in the fourth quarter this agreement helped send prices sharply higher rising from dlrs a barrel in early december several opec members who are price hawks including iran algeria and libya will seek a higher official price and a reduction in output and if u s west texas intermediate crude continues to trade above dlrs a barrel there is a greater chance that opec will raise its official dlrs price said nauman barakat analyst at smith barney harris upham and co but most analysts expect the more moderate producers such as saudi arabia to block any changes in policy the meeting will be a non event with no change in the official prices because opec and in particular the saudis are committed to stabilizing the market said rosario ilacqua analyst with l f rothschild however some analysts said opec may need to hold a meeting in september to re evaluate market conditions overproduction by opec will become a real problem in the fourth quarter when the quota is raised to mln barrels a day and iraq s pipeline through turkey brings another barrels to the market each day said john lichtblau president of petroleum industry ressearch foundation most expect saudi arabia to oppose a price increase at this meeting but many look for an increase by year end to dlrs to offset the decline in the dollar oil prices are denominated throughout the world in dollars so as the currency declines producers receive less money for their oil the only real production restraint in opec is saudi arabia said sanford margoshes analyst at shearson lehman brothers in the second half of the year we expect the saudis not to produce at their mln barrel a day quota and therefore act as a vehicle to stablize the market and pave the way for a two dlrs a barrel price increase at the december meeting he said one uncertain factor is the course of the iran iraq war the wild card is the increased tensions in the persian gulf said frank knuettel analyst with prudential bache securites oil tankers taking oil from iraq and kuwait have been regular targets for iranian planes the reagan administration is planning to put kuwait tankers under the protection of the u s flag with naval escorts extra oil inventories are needed during a time of crisis like this and just general nervousness over an incident that could disrupt oil supplies drives prices up knuettel said reuter
Ohsumed,658,test,"Assessment of platelet antibody by flow cytometric and ELISA techniques: a comparison study.  Two different methods for evaluating platelet antibody were used to study 12 normal subjects and 24 patients consisting primarily of intravenous drug users (IVDUs) who were positive for human immunodeficiency virus (HIV).  Total platelet-associated immunoglobulin G (IgG) and immunoglobulin M (IgM) were measured by enzyme-lined immunosorbent assay on platelet lysate, and platelet surface-associated IgG and IgM were measured by semiquantitative flow cytometry.  IgG and IgM values showed significant correlations between the two measurement methods.  Mean platelet surface IgG and total IgG were 3.6 and 4.3 times greater, respectively, in IVDUs than in controls, and platelet IgM was also significantly higher in IVDUs than in controls as measured by both techniques.  Although mean platelet immunoglobulin levels were higher in the IVDUs with thrombocytopenia than in IVDUs with normal platelet counts, these differences did not achieve significance.  These data show that platelet IgG and IgM levels are increased in IVDU-associated HIV infection and suggest that these increases are not confined to patients manifesting thrombocytopenia.  The herein described platelet surface antibody and total platelet antibody measurements appear to be equally useful in studying this patient population.  Specific details for generating platelet-associated immunofluorescence units are discussed."
IMDb-top_1000,263,test,"A group of friends receive word from a pal who has found gold in an old mind shaft nearby an ancient abandoned western town of Suttersville. Despite warnings by the local sheriff, Murphy(John Phillip Law), Old Man Prichard(Richard Lynch)a bedraggled hick who swindles tourists with supposed collectible Wanted posters, and kooky superstitious Aunt Nelly(Karen Black)to stay out of the mine due to it's notorious legend(..that an evil coal miner who sold his soul to devil and murdered a priest's(Jeff Conaway)daughter will return from the dead to kill those who remove the gold from his shaft), these people only see the green, not the blood red which could potentially ooze from their slain bodies. Finding the gold of Jeremiah Stone intact, they line their pockets and carrying cases, prepared for the bright futures that supposedly lie ahead. But, when you do not heed the warnings of those you consider backwoods loons, the obvious result will be gruesome death. Jeremiah Stone, as we see, is lying merely a skeleton near an alter containing skulls lined next to each other as the candles on top of them light up, the pickax underneath awaiting it's master, with dust particles returning him to a grotesque corpse with demonic exposition, his eyes aglow with wrath. This hapless group, hoping for some fun around the campfire with gold providing them with warm prospects for life ahead, will fall prey to the vengeful ghoul and his mean pickax. Another victim will meet the nasty end of a shovel thrown through the windshield of her vehicle, directing it's path straight into her neck. Another failed attempt to retreat has Stone causing a frightened victim to drive his car into a tree, his body engulfed in flames as he fails to escape without harm. Another, a local girl searching for her new friends, worried about their well being, receives the pickax buried into her stomach. Aunt Nelly informs those still alive about the Forty-Niner and the curse on those who raids his eternal stash..and pays the price for relating such information. Will anybody survive? Or, is the entire group fated to perish at the hands of the zombie miner?<br /><br />Make-up effects artist and monster creator, John Carl Buechler directs this supernatural slasher without worrying about logic or strong story-telling, opting instead to allow his zombie miner to destroy anyone and everyone who happens to be in his path. He provides just enough back story, and this is feeble at best, for the killer allowing special guest star, Karen Black(..oh how her career has sunken into the abyss)to explain to the viewer about him. The story given to us has the miner holding a priest's daughter hostage, threatening to execute her as the Suttersville authorities warn against such an action. Startling enough, Stone plants that pickax right into her back, with the opposition unloading their guns with little effect because he sold his soul to Satan. Retreating to his domain, the mine shaft, Stone sends out a warning against anyone even attempting to take what's his, the loot. Typical of most slashers in general, this bunch of twenty-somethings are your garden variety victims, with little development other than some banter and exchanging of words provides as filler until the undead maniac pops onto the scene to slaughter them. They are the usual group, from the city, trespassing unto unfamiliar territory, resurrecting an evil that should remain dormant. Like many of the later 80's slashers, a good deal of the violence is off-screen. What is on screen, the minimal gore, is rather mundanely presented and happens rather quickly. The ghoul make-up for the killer is only shown occasionally;he's mostly shrouded in darkness, the victims' horrified faces as he catches or chases after them are given more credence than the method of destruction. One thing's for certain, stunt men were set on fire many times. At least three times, a character is burned alive by either a lantern or flaming vehicle. Martin Cove has a minor cameo as Black's former husband, Caleb, now living with a much younger, and dense, honey. Vernon Wells(..of The Road Warrior and Commando fame)has the back story role of Jeremiah Stone as a human, still capturing the same type of menace he specializes in. John Phillip Law seems to be enjoying himself as the rather polite and hospitable sheriff, welcoming the outsiders to his neck of the woods. Buechler has quite an attractive cast of actresses, all wearing tight pants and smallish shirts, showing off their sleek and athletic figures, especially Elina Madison as easy-lay Roxann, always willing to remove her clothes for greedy jerk, Hayden(Rick Majeske). Stephen Wastell(The Ghosts of Edendale) is Axl, a rather clumsy foil, used as a butt of many jokes including his ""dump in the woods"" scene and current unemployment status."
Ohsumed,201,validation,"In vivo nonthrombogenicity of heparin immobilized polymer surfaces.  The authors developed two different methods to immobilize heparin on polymer surfaces.  One method involves in situ heparin immobilization on a segmented polyurethane urea (Biomer) surface via hydrophilic poly(ethylene oxide) (PEO, Mn = 4,000) spacers.  The other method uses PEO/poly(dimethylsiloxane) (PDMS) block co-polymer and heparin covalently linked in a block co-polymer system (PEO-PDMS-Hep).  These surfaces have demonstrated high heparin bioactivity in vitro and excellent blood compatibility in in vitro-ex vivo experiments.  This report evaluates the long-term in vivo blood compatibility of these heparin immobilized surfaces.  Vascular grafts (6 mm ID, 7 cm in length) were fabricated with Biomer, and heparin was immobilized in situ with PEO spacers (B-PEO4K) and coated on their luminal surfaces with PEO-PDMS-Hep.  Biomer and PEO (Mn = 4,000) grafted Biomer (B-PEO4K) were used as controls.  The grafts were implanted in the abdominal aorta of dogs and retrieved at 3 months or when graft occlusion was suspected.  Retrieved grafts were evaluated with scanning electron microscopy (SEM) and transmission electron microscopy (TEM).  TEM measured the thickness of the adsorbed protein layer on the surface and the protein distribution (albumin, fibrinogen, and IgG) visualized by an immunogold method.  All heparin immobilized grafts were patent at 3 months, whereas Biomer and B-PEO4K grafts occluded within 1 month.  SEM pictures of heparin immobilized surfaces after 3 months demonstrated minimal platelet adhesion and activation without detectable fibrin formation.  Heparin immobilized surfaces showed a thin protein layer (300-600 A) even after 3 months, with high concentrations of albumin and IgG and less fibrinogen."
SST-2,783,test,"The film is surprisingly well-directed by Brett Ratner , who keeps things moving well -- at least until the problematic third act ."
