[I 2024-11-29 03:47:57,995] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-29 03:55:23,022] Trial 144 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.920590000766377, 'batch_size': 26, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.48710745390677607, 'global_pooling': 'mean', 'learning_rate': 0.0007739562508316864, 'weight_decay': 5.428311921884808e-06, 'beta_0': 0.8513535384727559, 'beta_1': 0.9824587528009517, 'epsilon': 6.96323730419582e-08, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 56 with value: 0.9151515151515152.
[I 2024-11-29 10:45:38,025] Trial 216 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9021480313180976, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43895234015319645, 'global_pooling': 'mean', 'learning_rate': 0.0010160261113696314, 'weight_decay': 3.3197316855058123e-06, 'beta_0': 0.8553527179849287, 'beta_1': 0.9828349140074967, 'epsilon': 4.404157496024776e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 10:51:16,077] Trial 217 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9022656235359622, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 135, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44431780160342704, 'global_pooling': 'mean', 'learning_rate': 0.0009762844494546252, 'weight_decay': 3.632592006913142e-06, 'beta_0': 0.8506289248371879, 'beta_1': 0.983206065886512, 'epsilon': 3.022311133707549e-08, 'balanced_loss': False, 'epochs': 162, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 10:57:05,120] Trial 218 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9012698315792254, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43894502587431433, 'global_pooling': 'mean', 'learning_rate': 0.0007826944465894466, 'weight_decay': 4.619744277102726e-06, 'beta_0': 0.8552517757208207, 'beta_1': 0.983908417296653, 'epsilon': 4.614014259832185e-08, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:02:44,958] Trial 219 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9001701919323254, 'batch_size': 17, 'attention_heads': 5, 'hidden_dimension': 125, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4340337834059445, 'global_pooling': 'mean', 'learning_rate': 0.0011443675064222352, 'weight_decay': 3.0937938527912864e-06, 'beta_0': 0.8568225102785199, 'beta_1': 0.9829741034996725, 'epsilon': 2.2743984973876257e-08, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:08:38,829] Trial 220 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9031129484634628, 'batch_size': 17, 'attention_heads': 8, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4252988265661408, 'global_pooling': 'mean', 'learning_rate': 0.001045787121856956, 'weight_decay': 3.0383418784102827e-06, 'beta_0': 0.8565465229764551, 'beta_1': 0.9829344348354117, 'epsilon': 1.9515821814765207e-08, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:15:23,128] Trial 221 finished with value: 0.8848484848484849 and parameters: {'left_stride': 128, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9003580404284409, 'batch_size': 16, 'attention_heads': 5, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4437546089183468, 'global_pooling': 'mean', 'learning_rate': 0.0011692822690251542, 'weight_decay': 3.170470747911736e-06, 'beta_0': 0.8546120120351732, 'beta_1': 0.9830611155871982, 'epsilon': 2.5297928839466937e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:21:06,073] Trial 222 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.904363939946586, 'batch_size': 17, 'attention_heads': 5, 'hidden_dimension': 134, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43375309570790044, 'global_pooling': 'mean', 'learning_rate': 0.0009094274719409563, 'weight_decay': 4.334828419952602e-06, 'beta_0': 0.8576783831490071, 'beta_1': 0.983481433071971, 'epsilon': 2.3693631691744817e-08, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:26:39,351] Trial 223 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.902497817327595, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4376454737224963, 'global_pooling': 'mean', 'learning_rate': 0.0007988517054376768, 'weight_decay': 3.7453186731512448e-06, 'beta_0': 0.8608279860550968, 'beta_1': 0.98256998027398, 'epsilon': 3.364529837085072e-08, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:32:16,355] Trial 224 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.905798052772059, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.41494753726629824, 'global_pooling': 'mean', 'learning_rate': 0.0013069060308664728, 'weight_decay': 3.4224876197714348e-06, 'beta_0': 0.8560267734149161, 'beta_1': 0.9832148955471969, 'epsilon': 4.044139166748532e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:37:53,868] Trial 225 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9052745652161516, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 131, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42433322385439026, 'global_pooling': 'mean', 'learning_rate': 0.001159315264738448, 'weight_decay': 2.774139093947158e-06, 'beta_0': 0.8486981232759393, 'beta_1': 0.9834436348051399, 'epsilon': 4.1680471623462175e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:43:24,713] Trial 226 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9084136476050046, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43179861840410183, 'global_pooling': 'mean', 'learning_rate': 0.0013989253953927778, 'weight_decay': 3.7135138553952345e-06, 'beta_0': 0.8522052745949895, 'beta_1': 0.9830301990182101, 'epsilon': 4.772161416266343e-08, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:49:05,291] Trial 227 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9027271593713021, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43884983141356015, 'global_pooling': 'mean', 'learning_rate': 0.0006971190502036087, 'weight_decay': 3.1977467637418253e-06, 'beta_0': 0.8569117423525157, 'beta_1': 0.9842136678604515, 'epsilon': 2.996252117868609e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 11:55:18,013] Trial 228 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9002100192687493, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4151695986558276, 'global_pooling': 'sum', 'learning_rate': 0.0005882624368790687, 'weight_decay': 3.0597253655531516e-06, 'beta_0': 0.8552799383673451, 'beta_1': 0.9843004900144137, 'epsilon': 2.9150849160902192e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:01:02,512] Trial 229 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.901908051162544, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 137, 'number_of_hidden_layers': 0, 'dropout_rate': 0.440276877722001, 'global_pooling': 'mean', 'learning_rate': 0.0007155571045056896, 'weight_decay': 2.2139802529493336e-06, 'beta_0': 0.8569323880061802, 'beta_1': 0.9838251017038335, 'epsilon': 2.1905075809246236e-08, 'balanced_loss': False, 'epochs': 169, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:06:53,554] Trial 230 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9069622416599762, 'batch_size': 19, 'attention_heads': 5, 'hidden_dimension': 131, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4210615538298915, 'global_pooling': 'mean', 'learning_rate': 0.0008993344960382989, 'weight_decay': 2.730238820531574e-06, 'beta_0': 0.853680703174251, 'beta_1': 0.9831818594575069, 'epsilon': 3.622926592245732e-08, 'balanced_loss': False, 'epochs': 164, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:12:13,720] Trial 231 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9036481868854874, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 72, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44804728725120296, 'global_pooling': 'mean', 'learning_rate': 0.0005326015039018435, 'weight_decay': 3.3160206105752663e-06, 'beta_0': 0.8590767087836474, 'beta_1': 0.9827420001672906, 'epsilon': 1.8876299242936354e-08, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:17:51,289] Trial 232 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9048082069896259, 'batch_size': 21, 'attention_heads': 6, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4321046828910929, 'global_pooling': 'mean', 'learning_rate': 0.001093330184315217, 'weight_decay': 4.4197702120769245e-06, 'beta_0': 0.8572684247592258, 'beta_1': 0.9840461407124156, 'epsilon': 2.8411773887007476e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:23:38,597] Trial 233 finished with value: 0.9272727272727272 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.905181127688822, 'batch_size': 21, 'attention_heads': 6, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4297375961113398, 'global_pooling': 'mean', 'learning_rate': 0.0010382170757043264, 'weight_decay': 4.4196224168363925e-06, 'beta_0': 0.8553749658589693, 'beta_1': 0.9843334529841463, 'epsilon': 2.72022743724744e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:29:35,026] Trial 234 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9000119652750945, 'batch_size': 21, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4302530364695163, 'global_pooling': 'mean', 'learning_rate': 0.0010056701472268082, 'weight_decay': 3.988686712756016e-06, 'beta_0': 0.8556612135699654, 'beta_1': 0.9841568000221605, 'epsilon': 2.7019734927208885e-08, 'balanced_loss': False, 'epochs': 155, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:35:18,403] Trial 235 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9025577674646774, 'batch_size': 21, 'attention_heads': 5, 'hidden_dimension': 123, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4381621327124464, 'global_pooling': 'mean', 'learning_rate': 0.0006953324333214578, 'weight_decay': 2.5183772079741865e-06, 'beta_0': 0.8518554055209774, 'beta_1': 0.9837251451338345, 'epsilon': 3.2060514690223295e-08, 'balanced_loss': False, 'epochs': 161, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:40:59,535] Trial 236 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9053314429094866, 'batch_size': 22, 'attention_heads': 5, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44299009373609, 'global_pooling': 'mean', 'learning_rate': 0.0008988239375273601, 'weight_decay': 3.289152569632852e-06, 'beta_0': 0.8577365485046126, 'beta_1': 0.9839667979324201, 'epsilon': 3.922780908108396e-08, 'balanced_loss': False, 'epochs': 156, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 10}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:46:50,446] Trial 237 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9079052782709188, 'batch_size': 20, 'attention_heads': 7, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44039285952634283, 'global_pooling': 'mean', 'learning_rate': 0.0010946068803360206, 'weight_decay': 3.5907765331967775e-06, 'beta_0': 0.8537517012272582, 'beta_1': 0.9845373652853971, 'epsilon': 2.4699481392829975e-08, 'balanced_loss': False, 'epochs': 171, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 12:53:42,063] Trial 238 finished with value: 0.8909090909090909 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9020806104623172, 'batch_size': 19, 'attention_heads': 6, 'hidden_dimension': 116, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4347082350494137, 'global_pooling': 'mean', 'learning_rate': 0.0014348213589411582, 'weight_decay': 0.0004013962234652322, 'beta_0': 0.855564664235818, 'beta_1': 0.9833784205984172, 'epsilon': 3.054508405573662e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:00:16,728] Trial 239 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9045621948801168, 'batch_size': 17, 'attention_heads': 12, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.44923266511226967, 'global_pooling': 'mean', 'learning_rate': 0.000785030239164717, 'weight_decay': 4.373379115243679e-06, 'beta_0': 0.8605014548030253, 'beta_1': 0.9841978306653217, 'epsilon': 2.105023733126439e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:06:46,900] Trial 240 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9044037333592427, 'batch_size': 17, 'attention_heads': 11, 'hidden_dimension': 133, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42803968807317744, 'global_pooling': 'mean', 'learning_rate': 0.0007599891863394462, 'weight_decay': 4.181536542434655e-06, 'beta_0': 0.8614515097717212, 'beta_1': 0.9841286591378113, 'epsilon': 2.198267058740221e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:13:23,536] Trial 241 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9053585323633073, 'batch_size': 17, 'attention_heads': 12, 'hidden_dimension': 133, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42613596579090546, 'global_pooling': 'mean', 'learning_rate': 0.0006198418727137396, 'weight_decay': 4.35944328179712e-06, 'beta_0': 0.8608162208264872, 'beta_1': 0.9836042465850587, 'epsilon': 2.0873258368355227e-08, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:19:59,252] Trial 242 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9058936956997053, 'batch_size': 17, 'attention_heads': 12, 'hidden_dimension': 132, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43018976351009197, 'global_pooling': 'mean', 'learning_rate': 0.0006222988958967386, 'weight_decay': 4.131691065478332e-06, 'beta_0': 0.860804716519747, 'beta_1': 0.983669428112714, 'epsilon': 1.7033620117887587e-08, 'balanced_loss': False, 'epochs': 165, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:26:49,609] Trial 243 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9028034856299904, 'batch_size': 16, 'attention_heads': 13, 'hidden_dimension': 136, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4212589902078719, 'global_pooling': 'mean', 'learning_rate': 0.0007614644290478878, 'weight_decay': 4.439654969759074e-06, 'beta_0': 0.859832701416128, 'beta_1': 0.9841670273019363, 'epsilon': 1.5516569975241622e-08, 'balanced_loss': False, 'epochs': 168, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:33:26,073] Trial 244 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9045915912139539, 'batch_size': 17, 'attention_heads': 12, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42773010767920966, 'global_pooling': 'mean', 'learning_rate': 0.0004728911193701104, 'weight_decay': 4.006564753108259e-06, 'beta_0': 0.8616827306447049, 'beta_1': 0.9832186044139944, 'epsilon': 2.13164740177121e-08, 'balanced_loss': False, 'epochs': 163, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:40:05,293] Trial 245 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.904582984019823, 'batch_size': 17, 'attention_heads': 12, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42938919038589124, 'global_pooling': 'mean', 'learning_rate': 0.00044803831002519236, 'weight_decay': 4.21734432814085e-06, 'beta_0': 0.8620499171113195, 'beta_1': 0.9829830255238957, 'epsilon': 2.2325346884593102e-08, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:46:38,504] Trial 246 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9074189340242391, 'batch_size': 17, 'attention_heads': 12, 'hidden_dimension': 130, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4296760834929526, 'global_pooling': 'mean', 'learning_rate': 0.0004308980444495006, 'weight_decay': 3.4661576232184494e-06, 'beta_0': 0.8579804240036727, 'beta_1': 0.9827469293743186, 'epsilon': 2.0026985713425725e-08, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:53:11,595] Trial 247 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.904592281128908, 'batch_size': 18, 'attention_heads': 11, 'hidden_dimension': 132, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4118935783865485, 'global_pooling': 'mean', 'learning_rate': 0.0005379350858016997, 'weight_decay': 4.485710481594419e-06, 'beta_0': 0.8623704669369692, 'beta_1': 0.9823303446510782, 'epsilon': 3.001417432127334e-06, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 13:59:40,403] Trial 248 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9093989987091937, 'batch_size': 16, 'attention_heads': 12, 'hidden_dimension': 127, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4324548054329113, 'global_pooling': 'mean', 'learning_rate': 0.0006633262480525328, 'weight_decay': 2.197819447279004e-05, 'beta_0': 0.8598266570855502, 'beta_1': 0.9835162335014783, 'epsilon': 2.436120044074412e-08, 'balanced_loss': False, 'epochs': 124, 'early_stopping_patience': 13, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:05:59,320] Trial 249 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9063216393235338, 'batch_size': 18, 'attention_heads': 11, 'hidden_dimension': 137, 'number_of_hidden_layers': 0, 'dropout_rate': 0.41958668448420244, 'global_pooling': 'mean', 'learning_rate': 0.0008178670673693686, 'weight_decay': 4.761427259269551e-06, 'beta_0': 0.8584756759505306, 'beta_1': 0.9830316141249429, 'epsilon': 2.6920782305408224e-08, 'balanced_loss': False, 'epochs': 166, 'early_stopping_patience': 12, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:12:40,931] Trial 250 finished with value: 0.8181818181818182 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9019485992360043, 'batch_size': 19, 'attention_heads': 12, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4363352938527246, 'global_pooling': 'max', 'learning_rate': 0.00038004188004492557, 'weight_decay': 4.181205724565621e-06, 'beta_0': 0.8630049350096253, 'beta_1': 0.9838425399350884, 'epsilon': 1.7151034219802274e-08, 'balanced_loss': False, 'epochs': 129, 'early_stopping_patience': 13, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
[I 2024-11-29 14:19:12,043] Trial 251 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9038164215563012, 'batch_size': 16, 'attention_heads': 12, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4261195999574165, 'global_pooling': 'mean', 'learning_rate': 0.0005774437810121176, 'weight_decay': 2.8176353658805265e-06, 'beta_0': 0.8564778421316506, 'beta_1': 0.9823013617415052, 'epsilon': 2.1495385672453602e-08, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 12, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 214 with value: 0.9272727272727272.
