[I 2024-12-03 05:07:58,032] Using an existing study with name 'IMDb-top_1000-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:17:23,774] Trial 117 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.930286879069627, 'batch_size': 29, 'attention_heads': 6, 'hidden_dimension': 166, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5451948869983394, 'global_pooling': 'mean', 'learning_rate': 0.0039694708835641915, 'weight_decay': 1.1870087422017486e-06, 'beta_0': 0.8307767898251949, 'beta_1': 0.9813072812413489, 'epsilon': 5.522109503341595e-06, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 63 with value: 0.9272727272727272.
CUDA out of memory. Tried to allocate 3.85 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.82 GiB is free. Including non-PyTorch memory, this process has 41.73 GiB memory in use. Of the allocated memory 39.46 GiB is allocated by PyTorch, and 1.13 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 15:58:42,741] Trial 187 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9246477365486734, 'batch_size': 56, 'attention_heads': 9, 'hidden_dimension': 112, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49176425988275146, 'global_pooling': 'mean', 'learning_rate': 0.0055566307726958, 'weight_decay': 0.00011294614131970522, 'beta_0': 0.864397768087641, 'beta_1': 0.9817515971528901, 'epsilon': 3.262494678502982e-05, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 16:08:22,325] Trial 188 finished with value: 0.9212121212121213 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9607054909023379, 'batch_size': 32, 'attention_heads': 5, 'hidden_dimension': 127, 'number_of_hidden_layers': 4, 'dropout_rate': 0.516917368701474, 'global_pooling': 'sum', 'learning_rate': 0.00038090170554940954, 'weight_decay': 5.110520057449275e-05, 'beta_0': 0.8421600172127871, 'beta_1': 0.9835564637055006, 'epsilon': 2.0322452314666475e-06, 'balanced_loss': False, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
CUDA out of memory. Tried to allocate 3.03 GiB. GPU 0 has a total capacity of 44.56 GiB of which 534.69 MiB is free. Including non-PyTorch memory, this process has 44.03 GiB memory in use. Of the allocated memory 41.71 GiB is allocated by PyTorch, and 1.18 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 16:12:35,689] Trial 189 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9290321235809436, 'batch_size': 38, 'attention_heads': 9, 'hidden_dimension': 138, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5672583650628471, 'global_pooling': 'mean', 'learning_rate': 0.0023530044991061094, 'weight_decay': 2.3623087700474415e-06, 'beta_0': 0.8542513275824793, 'beta_1': 0.9831849648751695, 'epsilon': 7.403665612307634e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 16:20:29,132] Trial 190 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9488413149097995, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5272224235944435, 'global_pooling': 'sum', 'learning_rate': 0.0041023047668054535, 'weight_decay': 4.5655878728732034e-05, 'beta_0': 0.8464607042164695, 'beta_1': 0.989018415679073, 'epsilon': 2.9392830724707305e-06, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 16:36:49,595] Trial 191 finished with value: 0.896969696969697 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9398920731286592, 'batch_size': 35, 'attention_heads': 8, 'hidden_dimension': 132, 'number_of_hidden_layers': 3, 'dropout_rate': 0.38758521675378527, 'global_pooling': 'mean', 'learning_rate': 0.007186215440524886, 'weight_decay': 2.529474625987606e-05, 'beta_0': 0.8279266290585339, 'beta_1': 0.9823320025997263, 'epsilon': 1.5267900542173562e-05, 'balanced_loss': True, 'epochs': 65, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 16:48:31,644] Trial 192 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9509174176791769, 'batch_size': 41, 'attention_heads': 9, 'hidden_dimension': 117, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5356865336621291, 'global_pooling': 'sum', 'learning_rate': 0.0006494557925699825, 'weight_decay': 3.6215290700670646e-05, 'beta_0': 0.8653491628236287, 'beta_1': 0.9825761900766911, 'epsilon': 1.8820676119450958e-08, 'balanced_loss': True, 'epochs': 78, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 16:58:49,007] Trial 193 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9522515185352057, 'batch_size': 37, 'attention_heads': 9, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5339333817091655, 'global_pooling': 'sum', 'learning_rate': 0.0018452408924778, 'weight_decay': 1.1155251887685976e-05, 'beta_0': 0.8704200459621363, 'beta_1': 0.9828201060093215, 'epsilon': 3.0009228649616336e-08, 'balanced_loss': True, 'epochs': 53, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 17:14:29,771] Trial 194 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9462378932309256, 'batch_size': 39, 'attention_heads': 10, 'hidden_dimension': 121, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5111335446000954, 'global_pooling': 'sum', 'learning_rate': 0.0009583568466700111, 'weight_decay': 3.989489107958484e-05, 'beta_0': 0.8632554136072752, 'beta_1': 0.9809360496245566, 'epsilon': 1.1328099060642105e-08, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 17:22:42,284] Trial 195 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9731959584400061, 'batch_size': 34, 'attention_heads': 9, 'hidden_dimension': 109, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5287168175730337, 'global_pooling': 'sum', 'learning_rate': 0.0011463801824020492, 'weight_decay': 3.2562382772010056e-05, 'beta_0': 0.8667910143142046, 'beta_1': 0.9839574515823765, 'epsilon': 3.866908682089859e-08, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 17:34:23,424] Trial 196 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.954552498295035, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 156, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5036683145930596, 'global_pooling': 'sum', 'learning_rate': 0.0012209531798539157, 'weight_decay': 5.8347035706411497e-05, 'beta_0': 0.8604094515880939, 'beta_1': 0.9815380913636845, 'epsilon': 6.067683132576869e-08, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 17:44:32,052] Trial 197 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9579548228173473, 'batch_size': 23, 'attention_heads': 9, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5226081370910399, 'global_pooling': 'sum', 'learning_rate': 0.0005084608829896427, 'weight_decay': 6.954842584576046e-05, 'beta_0': 0.8580250787038043, 'beta_1': 0.9820232920591495, 'epsilon': 7.398050693168796e-08, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 17:52:02,228] Trial 198 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.950972201606402, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48498236124692573, 'global_pooling': 'mean', 'learning_rate': 0.0026427661769732875, 'weight_decay': 2.0192777303065617e-06, 'beta_0': 0.838125333502809, 'beta_1': 0.987732844279774, 'epsilon': 2.22978294868416e-05, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 17:57:49,509] Trial 199 finished with value: 0.8787878787878788 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9612840725233698, 'batch_size': 25, 'attention_heads': 4, 'hidden_dimension': 124, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49783161773836826, 'global_pooling': 'max', 'learning_rate': 0.0014047686167168259, 'weight_decay': 4.4192267953810534e-05, 'beta_0': 0.8307408601509733, 'beta_1': 0.9823915768306342, 'epsilon': 4.77948963666066e-06, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 18:08:21,440] Trial 200 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.9441981378141368, 'batch_size': 35, 'attention_heads': 11, 'hidden_dimension': 102, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5146734132936419, 'global_pooling': 'mean', 'learning_rate': 0.0009442339777657816, 'weight_decay': 2.166472288389097e-05, 'beta_0': 0.8617881023123497, 'beta_1': 0.9832808920850428, 'epsilon': 2.9288883040240188e-05, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 18:16:37,428] Trial 201 finished with value: 0.8787878787878788 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.932060211486292, 'batch_size': 40, 'attention_heads': 4, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5029126636630913, 'global_pooling': 'sum', 'learning_rate': 0.0020693076424299667, 'weight_decay': 4.898878223242012e-05, 'beta_0': 0.8657491810043177, 'beta_1': 0.9848373726707756, 'epsilon': 1.1908336863990478e-05, 'balanced_loss': True, 'epochs': 195, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 18:26:59,183] Trial 202 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9648718418678748, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 127, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5229287691616461, 'global_pooling': 'sum', 'learning_rate': 0.0015845166122971052, 'weight_decay': 2.655256297311002e-06, 'beta_0': 0.8581057316649291, 'beta_1': 0.9837700663057991, 'epsilon': 4.667217986610842e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 18:38:57,033] Trial 203 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9638883079017135, 'batch_size': 34, 'attention_heads': 8, 'hidden_dimension': 131, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5309627446071872, 'global_pooling': 'sum', 'learning_rate': 0.0017457936335942106, 'weight_decay': 1.6123590053443143e-06, 'beta_0': 0.8592558567144983, 'beta_1': 0.9830433419149882, 'epsilon': 3.4762966817544283e-06, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 18:55:26,348] Trial 204 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9662359158837006, 'batch_size': 36, 'attention_heads': 13, 'hidden_dimension': 137, 'number_of_hidden_layers': 3, 'dropout_rate': 0.540075228747587, 'global_pooling': 'sum', 'learning_rate': 0.0021954601809456935, 'weight_decay': 3.17104970472199e-06, 'beta_0': 0.8341861875669975, 'beta_1': 0.988307467051749, 'epsilon': 4.838510783972137e-07, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 10}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 19:06:39,621] Trial 205 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9589370371871014, 'batch_size': 37, 'attention_heads': 7, 'hidden_dimension': 115, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5213109624799883, 'global_pooling': 'sum', 'learning_rate': 0.0029832382370115805, 'weight_decay': 3.80752605385995e-05, 'beta_0': 0.8254107591746193, 'beta_1': 0.9968088073559709, 'epsilon': 4.0338633409633317e-07, 'balanced_loss': True, 'epochs': 200, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 19:16:51,566] Trial 206 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9539945322590829, 'batch_size': 33, 'attention_heads': 9, 'hidden_dimension': 127, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5119206263906869, 'global_pooling': 'sum', 'learning_rate': 0.0012917558602071, 'weight_decay': 2.7083124523490113e-06, 'beta_0': 0.8525852190082625, 'beta_1': 0.9842533055632964, 'epsilon': 5.423835393540786e-07, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 19:22:53,974] Trial 207 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9682440676028975, 'batch_size': 36, 'attention_heads': 8, 'hidden_dimension': 84, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5271826546286139, 'global_pooling': 'mean', 'learning_rate': 0.0016807075141148274, 'weight_decay': 2.345758554238491e-06, 'beta_0': 0.8567351220552625, 'beta_1': 0.9827593031942435, 'epsilon': 6.899559420735481e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 19:33:36,773] Trial 208 finished with value: 0.9151515151515152 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9567292096399479, 'batch_size': 35, 'attention_heads': 8, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5072197507104425, 'global_pooling': 'sum', 'learning_rate': 0.0027033762938383056, 'weight_decay': 5.389461285690648e-05, 'beta_0': 0.8639216263676184, 'beta_1': 0.9820404048251011, 'epsilon': 5.791336088098012e-07, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 19:43:22,222] Trial 209 finished with value: 0.9272727272727272 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9473080236109453, 'batch_size': 44, 'attention_heads': 5, 'hidden_dimension': 134, 'number_of_hidden_layers': 3, 'dropout_rate': 0.45996258468746276, 'global_pooling': 'mean', 'learning_rate': 0.0033889005825380922, 'weight_decay': 2.8755885207950372e-05, 'beta_0': 0.8597866382194398, 'beta_1': 0.9835754847280781, 'epsilon': 1.1342343996456168e-06, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 19:50:13,334] Trial 210 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.94800732633431, 'batch_size': 45, 'attention_heads': 5, 'hidden_dimension': 120, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4577465643254973, 'global_pooling': 'mean', 'learning_rate': 0.003784826241919116, 'weight_decay': 3.0227871435514346e-05, 'beta_0': 0.8616043594788967, 'beta_1': 0.9953785462680138, 'epsilon': 1.7003377325696874e-06, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 19:57:29,607] Trial 211 finished with value: 0.9090909090909091 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.952226279671419, 'batch_size': 48, 'attention_heads': 5, 'hidden_dimension': 133, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4653271348506698, 'global_pooling': 'mean', 'learning_rate': 0.004859342323029998, 'weight_decay': 2.4131315050216143e-05, 'beta_0': 0.8364536558405331, 'beta_1': 0.9834867515102251, 'epsilon': 1.0571753870092108e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 20:06:02,945] Trial 212 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9460324175503619, 'batch_size': 24, 'attention_heads': 6, 'hidden_dimension': 137, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44887912188380097, 'global_pooling': 'mean', 'learning_rate': 0.0033898148849077925, 'weight_decay': 3.376451871565943e-05, 'beta_0': 0.8603207218475125, 'beta_1': 0.9837910708646038, 'epsilon': 1.1825976419901105e-06, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 20:14:42,534] Trial 213 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9497823522786516, 'batch_size': 42, 'attention_heads': 5, 'hidden_dimension': 147, 'number_of_hidden_layers': 3, 'dropout_rate': 0.478906973122276, 'global_pooling': 'mean', 'learning_rate': 0.0022557996430897665, 'weight_decay': 1.9229990057984604e-06, 'beta_0': 0.8561600074054686, 'beta_1': 0.9827715420107449, 'epsilon': 1.3917685705495822e-06, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 20:21:12,395] Trial 214 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.955223301615876, 'batch_size': 37, 'attention_heads': 4, 'hidden_dimension': 129, 'number_of_hidden_layers': 3, 'dropout_rate': 0.47358999441596034, 'global_pooling': 'mean', 'learning_rate': 0.002838702573815161, 'weight_decay': 2.623708745711822e-05, 'beta_0': 0.8438387275987314, 'beta_1': 0.9823614596792858, 'epsilon': 1.02000910290336e-07, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 21, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 126 with value: 0.9333333333333333.
CUDA out of memory. Tried to allocate 2.42 GiB. GPU 0 has a total capacity of 44.56 GiB of which 906.69 MiB is free. Including non-PyTorch memory, this process has 43.67 GiB memory in use. Of the allocated memory 41.51 GiB is allocated by PyTorch, and 1.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-03 20:26:41,405] Trial 215 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9427292587123849, 'batch_size': 50, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5185656412112684, 'global_pooling': 'sum', 'learning_rate': 0.0018080108267152582, 'weight_decay': 1.8083342810106195e-05, 'beta_0': 0.8590604361652464, 'beta_1': 0.9959369967391254, 'epsilon': 9.877054186492055e-05, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 20:34:30,969] Trial 216 finished with value: 0.8606060606060606 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9477820989875843, 'batch_size': 26, 'attention_heads': 5, 'hidden_dimension': 108, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4934843868682069, 'global_pooling': 'mean', 'learning_rate': 0.004271679165663743, 'weight_decay': 4.232177226070417e-05, 'beta_0': 0.80529656444096, 'beta_1': 0.9833534998451143, 'epsilon': 2.004199268488088e-06, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 20:42:29,895] Trial 217 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9620363298864428, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 140, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5004670897427023, 'global_pooling': 'sum', 'learning_rate': 0.0010607745954925956, 'weight_decay': 3.376976216406823e-06, 'beta_0': 0.8402288847452335, 'beta_1': 0.9859887155013006, 'epsilon': 2.7018962095647914e-06, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 20:50:37,548] Trial 218 finished with value: 0.9212121212121213 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9382533050356724, 'batch_size': 34, 'attention_heads': 5, 'hidden_dimension': 134, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4614656208253268, 'global_pooling': 'mean', 'learning_rate': 0.006242859118691811, 'weight_decay': 1.374702202727381e-05, 'beta_0': 0.8679214273243008, 'beta_1': 0.9817296165377566, 'epsilon': 1.6480973348244324e-06, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 126 with value: 0.9333333333333333.
[I 2024-12-03 21:03:14,940] Trial 219 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9510322161237938, 'batch_size': 36, 'attention_heads': 9, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.40444565308709185, 'global_pooling': 'mean', 'learning_rate': 0.01095281828412718, 'weight_decay': 3.867017098011924e-05, 'beta_0': 0.8626165165791979, 'beta_1': 0.981332075789448, 'epsilon': 1.9176285198841916e-05, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 126 with value: 0.9333333333333333.
slurmstepd: error: *** JOB 14051921 ON gpu002 CANCELLED AT 2024-12-03T21:08:06 DUE TO TIME LIMIT ***
