[I 2024-11-23 03:14:46,105] Using an existing study with name 'IMDb-top_1000-GAT-google-bert-bert-base-uncased-Grouped-No_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-23 03:21:50,270] Trial 150 finished with value: 0.8727272727272727 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9226759646604559, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 208, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4453193742840852, 'global_pooling': 'sum', 'learning_rate': 0.001272323368716927, 'weight_decay': 0.0003572203663915397, 'beta_0': 0.8698324915964912, 'beta_1': 0.9881141992631104, 'epsilon': 7.545743072208948e-08, 'balanced_loss': True, 'epochs': 158, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 10:55:50,922] Trial 222 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9326517211213647, 'batch_size': 44, 'attention_heads': 6, 'hidden_dimension': 207, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4695246198619798, 'global_pooling': 'mean', 'learning_rate': 0.0008138427028721586, 'weight_decay': 0.0001178667447075379, 'beta_0': 0.8701861265800176, 'beta_1': 0.9918421638408574, 'epsilon': 1.1323052678216547e-05, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:02:12,042] Trial 223 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9288515519711928, 'batch_size': 42, 'attention_heads': 7, 'hidden_dimension': 202, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5063801653650668, 'global_pooling': 'mean', 'learning_rate': 0.0005786622356345374, 'weight_decay': 0.0001690506016709506, 'beta_0': 0.8732568112800807, 'beta_1': 0.9966978039919127, 'epsilon': 4.464364316555278e-08, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:08:34,988] Trial 224 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9267470532692403, 'batch_size': 43, 'attention_heads': 7, 'hidden_dimension': 249, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4949330517774285, 'global_pooling': 'mean', 'learning_rate': 0.0013351426365620469, 'weight_decay': 0.00019424925056697818, 'beta_0': 0.8751278298926742, 'beta_1': 0.9963410544780238, 'epsilon': 1.0034574732738255e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:14:26,075] Trial 225 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9451349602937766, 'batch_size': 45, 'attention_heads': 6, 'hidden_dimension': 186, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5475629280427199, 'global_pooling': 'mean', 'learning_rate': 0.0009534629794577306, 'weight_decay': 6.785335108543408e-05, 'beta_0': 0.8790903160000226, 'beta_1': 0.994824288287966, 'epsilon': 3.6335236005629293e-06, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:20:38,646] Trial 226 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.931124791680691, 'batch_size': 42, 'attention_heads': 6, 'hidden_dimension': 255, 'number_of_hidden_layers': 0, 'dropout_rate': 0.485780867866198, 'global_pooling': 'mean', 'learning_rate': 0.0006707776766632986, 'weight_decay': 0.00012838688659382199, 'beta_0': 0.869410507933871, 'beta_1': 0.9942715379711594, 'epsilon': 4.0527795073739295e-05, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:27:54,963] Trial 227 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9228080610706385, 'batch_size': 47, 'attention_heads': 8, 'hidden_dimension': 215, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5147109569724704, 'global_pooling': 'mean', 'learning_rate': 0.0004154199192885657, 'weight_decay': 0.00029081041869167455, 'beta_0': 0.8729837003736337, 'beta_1': 0.9960448725441637, 'epsilon': 7.672501975538718e-08, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:34:19,026] Trial 228 finished with value: 0.9030303030303031 and parameters: {'left_stride': 128, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9023223894064129, 'batch_size': 16, 'attention_heads': 5, 'hidden_dimension': 199, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4991074528437219, 'global_pooling': 'mean', 'learning_rate': 0.001020390169444625, 'weight_decay': 0.00021166072621159432, 'beta_0': 0.8761366020877107, 'beta_1': 0.9881621023806713, 'epsilon': 5.801458609883781e-06, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:40:16,032] Trial 229 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.924601926910982, 'batch_size': 44, 'attention_heads': 6, 'hidden_dimension': 189, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47970912998430276, 'global_pooling': 'mean', 'learning_rate': 0.0016697503965784342, 'weight_decay': 0.00010268423454285601, 'beta_0': 0.8612059433424857, 'beta_1': 0.9954284074976204, 'epsilon': 5.946089587605012e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:46:26,893] Trial 230 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9213653763401635, 'batch_size': 45, 'attention_heads': 7, 'hidden_dimension': 224, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4888768640062036, 'global_pooling': 'mean', 'learning_rate': 0.0007550366546450111, 'weight_decay': 0.0008538776765399493, 'beta_0': 0.8707587120436382, 'beta_1': 0.9924498922236719, 'epsilon': 1.0967504485661418e-07, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 23, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:52:30,321] Trial 231 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9284448053658821, 'batch_size': 33, 'attention_heads': 5, 'hidden_dimension': 256, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47210091719097147, 'global_pooling': 'mean', 'learning_rate': 0.002206016415542242, 'weight_decay': 0.00015157799996045525, 'beta_0': 0.8649528899617798, 'beta_1': 0.9916830900860323, 'epsilon': 5.209276944204193e-08, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 11:58:29,780] Trial 232 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.929562170876445, 'batch_size': 27, 'attention_heads': 5, 'hidden_dimension': 251, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4732670658207234, 'global_pooling': 'mean', 'learning_rate': 0.0023551706801839137, 'weight_decay': 0.00015658339748799747, 'beta_0': 0.8645341294897894, 'beta_1': 0.9913384881789911, 'epsilon': 5.031771284283682e-08, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:04:24,807] Trial 233 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9273764106515994, 'batch_size': 25, 'attention_heads': 5, 'hidden_dimension': 250, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4660538199315138, 'global_pooling': 'mean', 'learning_rate': 0.002060842795768979, 'weight_decay': 0.0001392956826014362, 'beta_0': 0.8684590654682237, 'beta_1': 0.9919990389998151, 'epsilon': 6.767776955288114e-08, 'balanced_loss': True, 'epochs': 168, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:10:20,475] Trial 234 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.931331568526656, 'batch_size': 33, 'attention_heads': 5, 'hidden_dimension': 256, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45662482155708084, 'global_pooling': 'mean', 'learning_rate': 0.0029021722485055228, 'weight_decay': 0.00025579619223471044, 'beta_0': 0.8659959048572861, 'beta_1': 0.9915569474145522, 'epsilon': 3.7187923905979115e-08, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:16:00,938] Trial 235 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9352485508438995, 'batch_size': 33, 'attention_heads': 4, 'hidden_dimension': 209, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47800116983036134, 'global_pooling': 'mean', 'learning_rate': 0.001259727375422554, 'weight_decay': 0.00017322484237014484, 'beta_0': 0.862592265245321, 'beta_1': 0.9891400936604, 'epsilon': 8.647281984171734e-08, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:23:10,454] Trial 236 finished with value: 0.8848484848484849 and parameters: {'left_stride': 256, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9246602886856783, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 247, 'number_of_hidden_layers': 0, 'dropout_rate': 0.47157100877085145, 'global_pooling': 'mean', 'learning_rate': 0.0017357782604099806, 'weight_decay': 0.0001240390430398404, 'beta_0': 0.8781814482742346, 'beta_1': 0.9926973953537431, 'epsilon': 5.7821500494267626e-08, 'balanced_loss': True, 'epochs': 174, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
CUDA out of memory. Tried to allocate 5.49 GiB. GPU 0 has a total capacity of 44.56 GiB of which 5.31 GiB is free. Including non-PyTorch memory, this process has 39.25 GiB memory in use. Of the allocated memory 31.00 GiB is allocated by PyTorch, and 7.09 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-11-23 12:29:17,754] Trial 237 finished with value: -1.0 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9284873868629713, 'batch_size': 39, 'attention_heads': 13, 'hidden_dimension': 240, 'number_of_hidden_layers': 0, 'dropout_rate': 0.48427438492687763, 'global_pooling': 'mean', 'learning_rate': 0.0039294537362231045, 'weight_decay': 0.00014634212881799364, 'beta_0': 0.8718890559643916, 'beta_1': 0.9908366503112573, 'epsilon': 4.1491421349782854e-08, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 24, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:35:09,337] Trial 238 finished with value: 0.8848484848484849 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9330429083195765, 'batch_size': 28, 'attention_heads': 6, 'hidden_dimension': 256, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5024476669017429, 'global_pooling': 'mean', 'learning_rate': 0.00262666274596423, 'weight_decay': 0.0004824893640071916, 'beta_0': 0.8746572130739197, 'beta_1': 0.9934954546306043, 'epsilon': 2.8540217378946994e-06, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 14, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:43:24,548] Trial 239 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9266503544629802, 'batch_size': 41, 'attention_heads': 7, 'hidden_dimension': 194, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49145712972930744, 'global_pooling': 'mean', 'learning_rate': 0.0002667322292804649, 'weight_decay': 0.00011306118068739329, 'beta_0': 0.8561417769231128, 'beta_1': 0.9917086413445442, 'epsilon': 6.470050704559689e-07, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 25, 'plateau_patience': 10, 'plateau_divider': 3}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:49:28,567] Trial 240 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.9393797833797839, 'batch_size': 35, 'attention_heads': 8, 'hidden_dimension': 183, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45026533814465125, 'global_pooling': 'mean', 'learning_rate': 0.0009391357033380047, 'weight_decay': 8.211210567558326e-05, 'beta_0': 0.865426267990119, 'beta_1': 0.9946635657371442, 'epsilon': 1.5042070764939622e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 25, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 12:55:05,411] Trial 241 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9197812248960222, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.509360600234384, 'global_pooling': 'mean', 'learning_rate': 0.0005323691352253858, 'weight_decay': 0.00021821947169336613, 'beta_0': 0.8591877618631769, 'beta_1': 0.992341205400258, 'epsilon': 1.3552965708362265e-06, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:00:30,534] Trial 242 finished with value: 0.9030303030303031 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9174991526244041, 'batch_size': 29, 'attention_heads': 5, 'hidden_dimension': 51, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5090025807971358, 'global_pooling': 'mean', 'learning_rate': 0.00048785262719609773, 'weight_decay': 0.00027158640501376925, 'beta_0': 0.8578580896088877, 'beta_1': 0.992394519980191, 'epsilon': 7.244544264305385e-08, 'balanced_loss': True, 'epochs': 67, 'early_stopping_patience': 22, 'plateau_patience': 20, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:06:12,877] Trial 243 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9190245519525931, 'batch_size': 28, 'attention_heads': 5, 'hidden_dimension': 134, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5041539054305672, 'global_pooling': 'mean', 'learning_rate': 0.0005849123400284782, 'weight_decay': 0.00020940400472482438, 'beta_0': 0.8613681765541364, 'beta_1': 0.9923818733867519, 'epsilon': 1.1805985498371606e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:12:19,356] Trial 244 finished with value: 0.9272727272727272 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9201938359701798, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 204, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5161688657711188, 'global_pooling': 'mean', 'learning_rate': 0.00035067953693759417, 'weight_decay': 0.000174799742779105, 'beta_0': 0.8588909963374591, 'beta_1': 0.9918871516918647, 'epsilon': 1.3651369158573473e-06, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:18:18,270] Trial 245 finished with value: 0.9272727272727272 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.920965634472515, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 204, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5157558938471426, 'global_pooling': 'mean', 'learning_rate': 0.00038696906503397525, 'weight_decay': 0.00019656091445256665, 'beta_0': 0.8596158933883032, 'beta_1': 0.9917555498762075, 'epsilon': 1.2360303534893997e-06, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:24:13,189] Trial 246 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9208701234926565, 'batch_size': 29, 'attention_heads': 5, 'hidden_dimension': 206, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5177126074420871, 'global_pooling': 'mean', 'learning_rate': 0.0004377681482544189, 'weight_decay': 0.0001827580898403063, 'beta_0': 0.8602926071144058, 'beta_1': 0.9920451166777976, 'epsilon': 1.2796662792164501e-06, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:30:11,148] Trial 247 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9220002488973997, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 203, 'number_of_hidden_layers': 0, 'dropout_rate': 0.50761512558217, 'global_pooling': 'mean', 'learning_rate': 0.00034520247258004646, 'weight_decay': 0.000229641580276749, 'beta_0': 0.8575907765305708, 'beta_1': 0.9913896599354305, 'epsilon': 2.1003081840950266e-06, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:36:45,769] Trial 248 finished with value: 0.8424242424242424 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9194837716295822, 'batch_size': 29, 'attention_heads': 4, 'hidden_dimension': 211, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5207741785745893, 'global_pooling': 'max', 'learning_rate': 0.000332959818616418, 'weight_decay': 0.0001650583444857305, 'beta_0': 0.8594145982904892, 'beta_1': 0.9916364486217523, 'epsilon': 1.8096632317067183e-06, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 21, 'plateau_patience': 23, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:43:27,566] Trial 249 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9159695941555375, 'batch_size': 31, 'attention_heads': 5, 'hidden_dimension': 152, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5107517306373582, 'global_pooling': 'mean', 'learning_rate': 0.00037108527831401956, 'weight_decay': 0.0001855898032998661, 'beta_0': 0.8557284231828981, 'beta_1': 0.9919616657612992, 'epsilon': 1.5868214367067256e-06, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:49:13,767] Trial 250 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9232936527566215, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 204, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5173390194495331, 'global_pooling': 'mean', 'learning_rate': 0.0005047711591147943, 'weight_decay': 0.000152466266084888, 'beta_0': 0.8633182038897654, 'beta_1': 0.9912993565648293, 'epsilon': 9.129740739626054e-07, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 13:55:11,319] Trial 251 finished with value: 0.8909090909090909 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9224987201167592, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 205, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5209612503445936, 'global_pooling': 'mean', 'learning_rate': 0.00029657284159451136, 'weight_decay': 0.00014542260390092528, 'beta_0': 0.8622948218403108, 'beta_1': 0.991201866404012, 'epsilon': 1.0749793607176425e-06, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 14:00:45,770] Trial 252 finished with value: 0.9151515151515152 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9185886894161076, 'batch_size': 32, 'attention_heads': 5, 'hidden_dimension': 126, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5127695641624018, 'global_pooling': 'mean', 'learning_rate': 0.00048546050748393075, 'weight_decay': 0.00015757266539354682, 'beta_0': 0.8585139716016589, 'beta_1': 0.990796163608201, 'epsilon': 1.3286176474302237e-06, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 20, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 14:06:36,466] Trial 253 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9234236294999688, 'batch_size': 30, 'attention_heads': 5, 'hidden_dimension': 215, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5162009334896652, 'global_pooling': 'mean', 'learning_rate': 0.0005257603014604974, 'weight_decay': 0.0002110010138125833, 'beta_0': 0.8630157369025164, 'beta_1': 0.9912087089296311, 'epsilon': 1.3501514779609494e-06, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 14:12:32,920] Trial 254 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9205947418254071, 'batch_size': 31, 'attention_heads': 4, 'hidden_dimension': 209, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5249379451651538, 'global_pooling': 'mean', 'learning_rate': 0.00041324573264654756, 'weight_decay': 0.0001273636131059058, 'beta_0': 0.8596857218851528, 'beta_1': 0.990248635872214, 'epsilon': 7.217595266742193e-07, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 14:18:38,519] Trial 255 finished with value: 0.9212121212121213 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9200459612491475, 'batch_size': 32, 'attention_heads': 4, 'hidden_dimension': 220, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5270874119232162, 'global_pooling': 'mean', 'learning_rate': 0.00045719345283638335, 'weight_decay': 0.0001281222150752497, 'beta_0': 0.8537728394266311, 'beta_1': 0.9903216138603235, 'epsilon': 8.069543710730197e-07, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 14:24:54,966] Trial 256 finished with value: 0.9090909090909091 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9204706741072506, 'batch_size': 32, 'attention_heads': 4, 'hidden_dimension': 210, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5329819336165221, 'global_pooling': 'sum', 'learning_rate': 0.00025212617212606495, 'weight_decay': 0.00012951468528657822, 'beta_0': 0.85991925291049, 'beta_1': 0.9896785480552305, 'epsilon': 8.788570825927468e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 87 with value: 0.9272727272727272.
[I 2024-11-23 14:33:20,659] Trial 257 finished with value: 0.896969696969697 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.9167777189399262, 'batch_size': 31, 'attention_heads': 4, 'hidden_dimension': 208, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5262314801750428, 'global_pooling': 'mean', 'learning_rate': 0.00041726727801561034, 'weight_decay': 0.00013212635063867095, 'beta_0': 0.8551010313902211, 'beta_1': 0.9903665899699158, 'epsilon': 9.79860142433772e-07, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 9}. Best is trial 87 with value: 0.9272727272727272.
