[I 2025-03-31 09:04:49,334] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-31 09:27:57,521] Trial 151 finished with value: 0.5266184571016004 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.8754249836061104, 'batch_size': 59, 'attention_heads': 9, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.43240722222676925, 'global_pooling': 'mean', 'learning_rate': 3.669591461834728e-05, 'weight_decay': 0.0003055769204551954, 'beta_0': 0.8333121524725766, 'beta_1': 0.9911222408032522, 'epsilon': 8.251626469991404e-05, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 22, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 105 with value: 0.5873065616004729.
[I 2025-04-01 03:12:54,893] Trial 223 finished with value: 0.5711091064333005 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8870789746859993, 'batch_size': 52, 'attention_heads': 5, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5034713145324031, 'global_pooling': 'mean', 'learning_rate': 0.000625286374540336, 'weight_decay': 1.1608182573700685e-06, 'beta_0': 0.8473133068146581, 'beta_1': 0.9929687159181098, 'epsilon': 8.825124587687032e-05, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 03:25:17,256] Trial 224 finished with value: 0.5370907451672382 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8889938193859619, 'batch_size': 52, 'attention_heads': 5, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4976447127120241, 'global_pooling': 'mean', 'learning_rate': 0.0006762904190739589, 'weight_decay': 1.3900296618068363e-06, 'beta_0': 0.8479323957497836, 'beta_1': 0.9928220102173103, 'epsilon': 6.267432222044179e-05, 'balanced_loss': True, 'epochs': 154, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 03:37:17,318] Trial 225 finished with value: 0.5275915169067308 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8831709422727658, 'batch_size': 55, 'attention_heads': 5, 'hidden_dimension': 147, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5072749413432337, 'global_pooling': 'mean', 'learning_rate': 0.000596142117138796, 'weight_decay': 1.1721284069778958e-06, 'beta_0': 0.8465438283298068, 'beta_1': 0.9929853319634234, 'epsilon': 9.957062798048574e-05, 'balanced_loss': True, 'epochs': 149, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 03:50:37,375] Trial 226 finished with value: 0.5491386347760533 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8770626181633038, 'batch_size': 51, 'attention_heads': 6, 'hidden_dimension': 153, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5073292985199777, 'global_pooling': 'mean', 'learning_rate': 0.0005129743534857424, 'weight_decay': 1.3573689938030925e-06, 'beta_0': 0.8453492671887447, 'beta_1': 0.9914538870714595, 'epsilon': 7.318204872438495e-05, 'balanced_loss': True, 'epochs': 147, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 04:02:57,790] Trial 227 finished with value: 0.5633751743088719 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8863438680338389, 'batch_size': 53, 'attention_heads': 5, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5188301872646948, 'global_pooling': 'mean', 'learning_rate': 0.0007748204821358777, 'weight_decay': 1.138879351259094e-06, 'beta_0': 0.8432556558107034, 'beta_1': 0.9924855059143576, 'epsilon': 8.659232217111556e-05, 'balanced_loss': True, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 04:17:46,409] Trial 228 finished with value: 0.5500589500431949 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8812666042067236, 'batch_size': 57, 'attention_heads': 8, 'hidden_dimension': 145, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5402835342198008, 'global_pooling': 'mean', 'learning_rate': 0.0006405749813704349, 'weight_decay': 1.3084895702947485e-06, 'beta_0': 0.8068612829933263, 'beta_1': 0.9949241527334542, 'epsilon': 6.940755903789793e-05, 'balanced_loss': True, 'epochs': 142, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 04:29:36,672] Trial 229 finished with value: 0.5351420384641428 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9232338152990431, 'batch_size': 49, 'attention_heads': 6, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5178156259946368, 'global_pooling': 'mean', 'learning_rate': 0.0003986970913375349, 'weight_decay': 6.309705643325545e-06, 'beta_0': 0.8494245139529012, 'beta_1': 0.9934811798988644, 'epsilon': 8.207206110300125e-05, 'balanced_loss': True, 'epochs': 146, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 04:41:50,166] Trial 230 finished with value: 0.5212521006867673 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8911943456371039, 'batch_size': 55, 'attention_heads': 4, 'hidden_dimension': 152, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5269187961430388, 'global_pooling': 'mean', 'learning_rate': 0.0005425650410274722, 'weight_decay': 1.2061819541759954e-06, 'beta_0': 0.8405054316503073, 'beta_1': 0.9930562423462284, 'epsilon': 5.903970277015663e-05, 'balanced_loss': True, 'epochs': 140, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 04:54:03,057] Trial 231 finished with value: 0.5531271892088554 and parameters: {'left_stride': 32, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.87661916384738, 'batch_size': 52, 'attention_heads': 6, 'hidden_dimension': 169, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4859071310419991, 'global_pooling': 'mean', 'learning_rate': 0.0008848582791188968, 'weight_decay': 1.026965007713207e-06, 'beta_0': 0.8446418929554438, 'beta_1': 0.9938056101832132, 'epsilon': 5.313167239269377e-05, 'balanced_loss': True, 'epochs': 159, 'early_stopping_patience': 21, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 159 with value: 0.5933114785827998.
[I 2025-04-01 05:05:30,236] Trial 232 finished with value: 0.4518190780527726 and parameters: {'left_stride': 128, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9314535341679961, 'batch_size': 47, 'attention_heads': 5, 'hidden_dimension': 157, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5580046279205151, 'global_pooling': 'sum', 'learning_rate': 0.0003522259667713675, 'weight_decay': 8.464819678048376e-06, 'beta_0': 0.8471625785169291, 'beta_1': 0.9916005109151597, 'epsilon': 8.509385131209285e-05, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 159 with value: 0.5933114785827998.
