[I 2025-03-08 05:46:56,344] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 05:56:41,623] Trial 205 finished with value: 0.9551208053488776 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.8123894423605966, 'batch_size': 106, 'attention_heads': 4, 'hidden_dimension': 89, 'number_of_hidden_layers': 1, 'dropout_rate': 0.55817699683856, 'global_pooling': 'max', 'learning_rate': 0.0006404848848522196, 'weight_decay': 0.00039818822146132823, 'beta_0': 0.8102388153176246, 'beta_1': 0.989110490436202, 'epsilon': 7.388008239728212e-07, 'balanced_loss': False, 'epochs': 131, 'early_stopping_patience': 15, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 17:17:24,588] Trial 274 finished with value: 0.9593888649969914 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8930117093309015, 'batch_size': 208, 'attention_heads': 16, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.590069767867172, 'global_pooling': 'max', 'learning_rate': 0.0002758497574305767, 'weight_decay': 0.00026312925203735206, 'beta_0': 0.8000100621414936, 'beta_1': 0.98530799280132, 'epsilon': 1.8832553020677038e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 17:30:37,547] Trial 275 finished with value: 0.9556310243553657 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8936564839495457, 'batch_size': 204, 'attention_heads': 16, 'hidden_dimension': 33, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5923691578570207, 'global_pooling': 'max', 'learning_rate': 0.0002458515152924763, 'weight_decay': 0.0002464346856003009, 'beta_0': 0.8009008809205554, 'beta_1': 0.9852708306132363, 'epsilon': 1.7993941453548077e-05, 'balanced_loss': False, 'epochs': 72, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 17:41:47,201] Trial 276 finished with value: 0.9485573728083955 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.895350007742161, 'batch_size': 209, 'attention_heads': 16, 'hidden_dimension': 36, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5907623617247149, 'global_pooling': 'mean', 'learning_rate': 0.0002880328089341081, 'weight_decay': 0.0002818271225657283, 'beta_0': 0.8035035507953624, 'beta_1': 0.9853244688475522, 'epsilon': 2.3215418174134606e-05, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 17:52:42,135] Trial 277 finished with value: 0.957796287888594 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9015482325773104, 'batch_size': 203, 'attention_heads': 16, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5999314876819015, 'global_pooling': 'max', 'learning_rate': 0.00031915081821948574, 'weight_decay': 0.0001700012485859243, 'beta_0': 0.8003413767734806, 'beta_1': 0.9849353616681447, 'epsilon': 2.0001847260584005e-05, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 18:03:36,582] Trial 278 finished with value: 0.9508319395461873 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8995070282737542, 'batch_size': 201, 'attention_heads': 16, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5849858774085952, 'global_pooling': 'max', 'learning_rate': 0.00018506673659925252, 'weight_decay': 0.00021974398125413724, 'beta_0': 0.8000121895714323, 'beta_1': 0.9847646507562378, 'epsilon': 2.3484633611674207e-05, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 18:13:46,052] Trial 279 finished with value: 0.9462671538620473 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8909664529406951, 'batch_size': 203, 'attention_heads': 15, 'hidden_dimension': 39, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5999936744321204, 'global_pooling': 'max', 'learning_rate': 0.00030987385261900904, 'weight_decay': 0.0002632537198359746, 'beta_0': 0.8001126064924031, 'beta_1': 0.9849286473246315, 'epsilon': 3.0299821668163138e-05, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 18:25:34,337] Trial 280 finished with value: 0.9509408632260006 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9042713774556917, 'batch_size': 207, 'attention_heads': 16, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5917444806642486, 'global_pooling': 'max', 'learning_rate': 0.00022126599986659743, 'weight_decay': 0.00017370649817019664, 'beta_0': 0.8043698893717903, 'beta_1': 0.9854420275510086, 'epsilon': 1.849330943841845e-05, 'balanced_loss': False, 'epochs': 67, 'early_stopping_patience': 15, 'plateau_patience': 14, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 18:35:57,207] Trial 281 finished with value: 0.956339474786584 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.907650387402013, 'batch_size': 197, 'attention_heads': 15, 'hidden_dimension': 36, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5825060145163136, 'global_pooling': 'max', 'learning_rate': 0.00027909733012387015, 'weight_decay': 0.00021376478420759312, 'beta_0': 0.8631995525847332, 'beta_1': 0.9851276058667355, 'epsilon': 1.1211070596304491e-05, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 18:47:59,928] Trial 282 finished with value: 0.9645246642579226 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8987126197360364, 'batch_size': 210, 'attention_heads': 16, 'hidden_dimension': 40, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5030171313629411, 'global_pooling': 'max', 'learning_rate': 0.0003441908431440003, 'weight_decay': 0.0002525848908452023, 'beta_0': 0.8037161456197134, 'beta_1': 0.9843497495743941, 'epsilon': 1.3307042673194273e-05, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 18:59:14,653] Trial 283 finished with value: 0.9422565121239921 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8975188802345396, 'batch_size': 212, 'attention_heads': 16, 'hidden_dimension': 39, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49904639371589365, 'global_pooling': 'max', 'learning_rate': 0.00037532084184411867, 'weight_decay': 0.00025849125067860576, 'beta_0': 0.800028184158335, 'beta_1': 0.9842330208783532, 'epsilon': 1.471605646908639e-05, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 19:10:21,481] Trial 284 finished with value: 0.9493051447570604 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8886767985848308, 'batch_size': 208, 'attention_heads': 15, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5924654835414196, 'global_pooling': 'max', 'learning_rate': 0.0003376489686224613, 'weight_decay': 0.0001865010661491164, 'beta_0': 0.8038854673499709, 'beta_1': 0.984688190430978, 'epsilon': 5.538343270427989e-05, 'balanced_loss': False, 'epochs': 75, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 19:21:21,374] Trial 285 finished with value: 0.9404240359490581 and parameters: {'left_stride': 0, 'right_stride': 128, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9047232585301038, 'batch_size': 201, 'attention_heads': 16, 'hidden_dimension': 39, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5087571698324604, 'global_pooling': 'max', 'learning_rate': 0.00021936735846986823, 'weight_decay': 0.0001491997691520759, 'beta_0': 0.8035443448412668, 'beta_1': 0.9855079577521416, 'epsilon': 2.0730693362731684e-05, 'balanced_loss': False, 'epochs': 80, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 19:31:41,268] Trial 286 finished with value: 0.9542898538877929 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8958168653238658, 'batch_size': 204, 'attention_heads': 15, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5256659508002396, 'global_pooling': 'max', 'learning_rate': 0.0002743557818082105, 'weight_decay': 0.0002799762073423442, 'beta_0': 0.8063544693657954, 'beta_1': 0.9843012806205309, 'epsilon': 1.416554845193909e-05, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 19:41:32,517] Trial 287 finished with value: 0.9432200069648378 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9072491076006683, 'batch_size': 198, 'attention_heads': 16, 'hidden_dimension': 35, 'number_of_hidden_layers': 1, 'dropout_rate': 0.490579364969337, 'global_pooling': 'max', 'learning_rate': 0.00036657310755502584, 'weight_decay': 0.00019096098416109512, 'beta_0': 0.8032949343520212, 'beta_1': 0.9849181913959285, 'epsilon': 3.920692602314302e-05, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 19:54:25,914] Trial 288 finished with value: 0.953339638428397 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8891521041262418, 'batch_size': 215, 'attention_heads': 15, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.599697657192967, 'global_pooling': 'max', 'learning_rate': 0.00032455847511218106, 'weight_decay': 0.00023482856258516595, 'beta_0': 0.8050916367282602, 'beta_1': 0.9838713090222306, 'epsilon': 1.091490363258221e-05, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 20:08:27,498] Trial 289 finished with value: 0.9559321253375479 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8990224548017335, 'batch_size': 219, 'attention_heads': 16, 'hidden_dimension': 41, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5871469410052516, 'global_pooling': 'max', 'learning_rate': 0.00017043840809725932, 'weight_decay': 0.00030226145557144104, 'beta_0': 0.8019541540996151, 'beta_1': 0.9857145426573201, 'epsilon': 1.2964383802439347e-05, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 20:21:09,332] Trial 290 finished with value: 0.9510243681569199 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9092119368841215, 'batch_size': 201, 'attention_heads': 15, 'hidden_dimension': 36, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5800045818750074, 'global_pooling': 'max', 'learning_rate': 0.00012777701788089786, 'weight_decay': 0.00024880345719485047, 'beta_0': 0.8017920335480428, 'beta_1': 0.9852048058284524, 'epsilon': 2.117081529201919e-05, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.
[I 2025-03-08 20:33:04,295] Trial 291 finished with value: 0.9578569393496733 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8823935057182977, 'batch_size': 210, 'attention_heads': 16, 'hidden_dimension': 37, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5152389376421642, 'global_pooling': 'max', 'learning_rate': 0.00024731675708195586, 'weight_decay': 0.00030457264077426776, 'beta_0': 0.8000202727727552, 'beta_1': 0.9848895226287612, 'epsilon': 1.6336555878522768e-05, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 15, 'plateau_patience': 16, 'plateau_divider': 10}. Best is trial 75 with value: 0.9678401438557276.

[TRIAL] 75 [VALIDATION PERFORMANCE] 0.9678401438557276 [TRAINING LOSS] 0.05163518662090626 [VALIDATION LOSS] 0.08761666653056939 

number                                      75
value                                  0.96784
params_threshold                      0.867926
params_attention_heads                       5
params_balanced_loss                     False
params_embedding_pooling_operation         min
params_attention_pooling_operation         min
params_batch_size                           77
params_dropout_rate                   0.575805
params_early_stopping_patience              20
params_epochs                              143
params_global_pooling                      max
params_hidden_dimension                     69
params_learning_rate                   0.00147
params_number_of_hidden_layers               1
params_plateau_divider                      10
params_plateau_patience                     19
params_weight_decay                     0.0006
params_beta_0                         0.800979
params_beta_1                         0.984416
params_epsilon                             0.0
user_attrs_epoch                          11.0
user_attrs_training_loss              0.051635
user_attrs_validation_loss            0.087617
params_left_stride                          64
params_right_stride                         32
Name: 75, dtype: object
37 Val: 0.9565998669618386 Test: 0.93983714828835
38 Val: 0.9353815305769252 Test: 0.9465240153428479
39 Val: 0.956941727887675 Test: 0.9452297584214109
40 Val: 0.9464839338661026 Test: 0.9561030180799108
41 Val: 0.9567713093709843 Test: 0.9381273293945152
42 Val: 0.947972931295515 Test: 0.9437963729273224
43 Val: 0.9477197948999142 Test: 0.9297364803376083
slurmstepd: error: *** JOB 15119851 ON gpu004 CANCELLED AT 2025-03-08T21:46:50 DUE TO TIME LIMIT ***
