[I 2025-03-27 23:45:19,473] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (639 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-27 23:54:50,243] Trial 53 finished with value: 0.9338759873450622 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8054046887506502, 'batch_size': 84, 'attention_heads': 6, 'hidden_dimension': 122, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4955871320392273, 'global_pooling': 'mean', 'learning_rate': 0.001542100756152561, 'weight_decay': 1.9943186517847257e-05, 'beta_0': 0.8687819896324543, 'beta_1': 0.9866507380166897, 'epsilon': 3.3178865230070793e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 33 with value: 0.9452885420275031.
[I 2025-03-28 09:56:43,008] Trial 125 finished with value: 0.9311450564668808 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6909610017710921, 'batch_size': 96, 'attention_heads': 7, 'hidden_dimension': 127, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4732877658314368, 'global_pooling': 'mean', 'learning_rate': 0.0013561988977370816, 'weight_decay': 2.5897613178426674e-05, 'beta_0': 0.87843819775171, 'beta_1': 0.9859320800728203, 'epsilon': 2.927650888026182e-08, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 10:04:47,759] Trial 126 finished with value: 0.9321679180651179 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8039652902699144, 'batch_size': 88, 'attention_heads': 6, 'hidden_dimension': 85, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4850019371398889, 'global_pooling': 'mean', 'learning_rate': 0.0022555781377804193, 'weight_decay': 1.574843026352354e-05, 'beta_0': 0.8000662584616856, 'beta_1': 0.9989740026536036, 'epsilon': 1.7855297527084825e-08, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 20, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 10:13:28,220] Trial 127 finished with value: 0.9340433941580312 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8309432153415475, 'batch_size': 32, 'attention_heads': 7, 'hidden_dimension': 110, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37510880533096974, 'global_pooling': 'mean', 'learning_rate': 0.0007338694674271864, 'weight_decay': 9.580991476747962e-06, 'beta_0': 0.8827419132060949, 'beta_1': 0.987224699178944, 'epsilon': 4.585309110025883e-08, 'balanced_loss': False, 'epochs': 77, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 10:23:50,585] Trial 128 finished with value: 0.924514356192474 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7905901902267345, 'batch_size': 63, 'attention_heads': 8, 'hidden_dimension': 118, 'number_of_hidden_layers': 2, 'dropout_rate': 0.344231522718035, 'global_pooling': 'mean', 'learning_rate': 0.00011475873888939708, 'weight_decay': 6.9105483041049525e-06, 'beta_0': 0.8897316016444959, 'beta_1': 0.9856447710946605, 'epsilon': 3.5085692455891524e-08, 'balanced_loss': False, 'epochs': 120, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 10:31:41,164] Trial 129 finished with value: 0.9230930009421395 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8787631189017366, 'batch_size': 75, 'attention_heads': 5, 'hidden_dimension': 93, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44208623417778625, 'global_pooling': 'mean', 'learning_rate': 0.0008737173348675245, 'weight_decay': 1.799416542184574e-05, 'beta_0': 0.8540555271648228, 'beta_1': 0.9852193622082951, 'epsilon': 1.22095971371325e-08, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 17, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 10:39:17,996] Trial 130 finished with value: 0.9309049597697303 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8094055597820697, 'batch_size': 85, 'attention_heads': 4, 'hidden_dimension': 70, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4128220068936811, 'global_pooling': 'mean', 'learning_rate': 0.0004175898314995536, 'weight_decay': 2.9500959623900192e-05, 'beta_0': 0.8491366208882897, 'beta_1': 0.9840194744071504, 'epsilon': 8.622075738739338e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 20, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 10:47:42,469] Trial 131 finished with value: 0.9331616778638372 and parameters: {'left_stride': 128, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.8245832402847557, 'batch_size': 44, 'attention_heads': 5, 'hidden_dimension': 106, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48046226644635204, 'global_pooling': 'mean', 'learning_rate': 0.0005169905314664631, 'weight_decay': 1.1597807574720371e-05, 'beta_0': 0.8863235166070881, 'beta_1': 0.986400776794857, 'epsilon': 2.4234179392545992e-08, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 19, 'plateau_patience': 21, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 10:57:02,636] Trial 132 finished with value: 0.9235654315396213 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.721681084905217, 'batch_size': 80, 'attention_heads': 6, 'hidden_dimension': 99, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4947018633167804, 'global_pooling': 'max', 'learning_rate': 0.0018439129887016258, 'weight_decay': 4.864886511680677e-06, 'beta_0': 0.89252747136105, 'beta_1': 0.9832091670281675, 'epsilon': 1.8440870350453782e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 11:06:04,574] Trial 133 finished with value: 0.9280848910242246 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7937931174281436, 'batch_size': 67, 'attention_heads': 6, 'hidden_dimension': 114, 'number_of_hidden_layers': 2, 'dropout_rate': 0.481383087484571, 'global_pooling': 'mean', 'learning_rate': 0.0010718753371760403, 'weight_decay': 2.3474711927849764e-05, 'beta_0': 0.8773509470781684, 'beta_1': 0.9860150554470438, 'epsilon': 2.5542129571946338e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 11:12:53,903] Trial 134 finished with value: 0.25954998203332347 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.998714225318664, 'batch_size': 59, 'attention_heads': 5, 'hidden_dimension': 123, 'number_of_hidden_layers': 2, 'dropout_rate': 0.474941715421146, 'global_pooling': 'mean', 'learning_rate': 0.0009231961901364523, 'weight_decay': 3.633964967833238e-05, 'beta_0': 0.8762100213413624, 'beta_1': 0.9876121898603208, 'epsilon': 3.9172009441577547e-08, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 11:21:22,139] Trial 135 finished with value: 0.9245624880994829 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7118609419184677, 'batch_size': 72, 'attention_heads': 5, 'hidden_dimension': 89, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4004124266954638, 'global_pooling': 'mean', 'learning_rate': 0.001415758343714731, 'weight_decay': 2.8946452978636636e-05, 'beta_0': 0.8812112404631193, 'beta_1': 0.9866827759148551, 'epsilon': 5.49747671911075e-08, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 11:29:39,328] Trial 136 finished with value: 0.937807607651842 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8550634687340221, 'batch_size': 65, 'attention_heads': 6, 'hidden_dimension': 104, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3892600695468634, 'global_pooling': 'mean', 'learning_rate': 0.0006449472913929905, 'weight_decay': 1.38255386612029e-05, 'beta_0': 0.8963740040524008, 'beta_1': 0.9845622862864646, 'epsilon': 2.0171157727925324e-08, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-28 11:37:41,930] Trial 137 finished with value: 0.9382438334042351 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8909347475687981, 'batch_size': 52, 'attention_heads': 8, 'hidden_dimension': 110, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4657259913637782, 'global_pooling': 'mean', 'learning_rate': 0.001067180909319849, 'weight_decay': 4.6445369520417594e-05, 'beta_0': 0.8731577514512561, 'beta_1': 0.9858216271406423, 'epsilon': 1.4158333700805466e-08, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
slurmstepd: error: *** JOB 15544595 ON gpu041 CANCELLED AT 2025-03-28T11:45:26 DUE TO TIME LIMIT ***
