[I 2025-03-28 19:53:26,081] Using an existing study with name 'R8-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-No_Ablation-1.0-0.25' instead of creating a new one.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-28 19:53:27,077] Trial 139 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7990021578109946, 'batch_size': 38, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49884054429170144, 'global_pooling': 'mean', 'learning_rate': 0.0015631002456989547, 'weight_decay': 1.9964715753745763e-05, 'beta_0': 0.8700692367995946, 'beta_1': 0.9861867996806907, 'epsilon': 2.870196664926035e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:44:32,819] Trial 211 finished with value: 0.9142014006418748 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8212007230954724, 'batch_size': 79, 'attention_heads': 8, 'hidden_dimension': 71, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5007117392295073, 'global_pooling': 'max', 'learning_rate': 0.0004880548768263814, 'weight_decay': 1.8908646596923437e-05, 'beta_0': 0.8775852594626501, 'beta_1': 0.986832480414972, 'epsilon': 1.4663060994832005e-08, 'balanced_loss': False, 'epochs': 71, 'early_stopping_patience': 18, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:51:17,880] Trial 212 finished with value: 0.9290791195127243 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8361749365247393, 'batch_size': 85, 'attention_heads': 4, 'hidden_dimension': 118, 'number_of_hidden_layers': 1, 'dropout_rate': 0.49475536716702545, 'global_pooling': 'max', 'learning_rate': 0.00016240158152530917, 'weight_decay': 1.4214418125300139e-05, 'beta_0': 0.8337034635136865, 'beta_1': 0.9859148871042002, 'epsilon': 7.699797694843848e-07, 'balanced_loss': True, 'epochs': 77, 'early_stopping_patience': 17, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 04:59:45,114] Trial 213 finished with value: 0.944062738969315 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7968828130165534, 'batch_size': 90, 'attention_heads': 5, 'hidden_dimension': 130, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5109138970233181, 'global_pooling': 'max', 'learning_rate': 0.00018661084494105807, 'weight_decay': 1.621047285012149e-05, 'beta_0': 0.8721588388099555, 'beta_1': 0.9885146658392281, 'epsilon': 1.8346644204085903e-08, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 05:08:33,825] Trial 214 finished with value: 0.9497288645041877 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7950816929314025, 'batch_size': 91, 'attention_heads': 5, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.51463631006584, 'global_pooling': 'max', 'learning_rate': 0.00020225189171520414, 'weight_decay': 1.5543005763782504e-05, 'beta_0': 0.8731349430574644, 'beta_1': 0.9884579116654015, 'epsilon': 1.7881224937268864e-08, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 05:18:33,361] Trial 215 finished with value: 0.9229836794619954 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7748218854898273, 'batch_size': 91, 'attention_heads': 5, 'hidden_dimension': 129, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5111734450929487, 'global_pooling': 'max', 'learning_rate': 0.00019207697150138236, 'weight_decay': 1.682171937017579e-05, 'beta_0': 0.873707565581097, 'beta_1': 0.9885930921617974, 'epsilon': 1.7603106018254225e-08, 'balanced_loss': False, 'epochs': 89, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 05:27:08,878] Trial 216 finished with value: 0.9304696491306096 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7939526110939865, 'batch_size': 96, 'attention_heads': 5, 'hidden_dimension': 134, 'number_of_hidden_layers': 2, 'dropout_rate': 0.521667892447858, 'global_pooling': 'max', 'learning_rate': 0.00022424954520673906, 'weight_decay': 1.9578125665307842e-05, 'beta_0': 0.8675103040792762, 'beta_1': 0.9894481290907345, 'epsilon': 1.3955176662989901e-08, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 05:39:13,930] Trial 217 finished with value: 0.9248389201095046 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8024603736790555, 'batch_size': 91, 'attention_heads': 5, 'hidden_dimension': 127, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5169656569472464, 'global_pooling': 'max', 'learning_rate': 0.00021251684095529186, 'weight_decay': 2.2422104112734147e-05, 'beta_0': 0.8703084415285843, 'beta_1': 0.9889893090313507, 'epsilon': 2.0598859680125415e-08, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 05:47:13,461] Trial 218 finished with value: 0.9426422619102541 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7828291257812381, 'batch_size': 88, 'attention_heads': 4, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5086355643111171, 'global_pooling': 'max', 'learning_rate': 0.00018428081591845958, 'weight_decay': 1.1991710602129278e-05, 'beta_0': 0.872584054440908, 'beta_1': 0.9884024104257724, 'epsilon': 1.6571815817865432e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 05:55:20,837] Trial 219 finished with value: 0.9397263398890102 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7811169428439819, 'batch_size': 89, 'attention_heads': 4, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5239496197405517, 'global_pooling': 'max', 'learning_rate': 0.00012993637789789113, 'weight_decay': 1.1665290268380664e-05, 'beta_0': 0.8727005313526155, 'beta_1': 0.9882594261563051, 'epsilon': 1.2742611446876285e-08, 'balanced_loss': False, 'epochs': 93, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:02:15,632] Trial 220 finished with value: 0.9318053034235074 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7864986890922294, 'batch_size': 97, 'attention_heads': 4, 'hidden_dimension': 132, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5091701253019694, 'global_pooling': 'max', 'learning_rate': 0.00018035411866192675, 'weight_decay': 1.358524557362737e-05, 'beta_0': 0.8713259666656527, 'beta_1': 0.9893401438594487, 'epsilon': 1.6827649375754894e-08, 'balanced_loss': False, 'epochs': 90, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:10:08,372] Trial 221 finished with value: 0.9131216641969211 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.7935663585475007, 'batch_size': 83, 'attention_heads': 4, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.512924554224094, 'global_pooling': 'max', 'learning_rate': 0.00016088999180183591, 'weight_decay': 8.920012439819048e-06, 'beta_0': 0.868234306806415, 'beta_1': 0.9887191950217388, 'epsilon': 1.8863745031699848e-08, 'balanced_loss': False, 'epochs': 86, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:16:30,520] Trial 222 finished with value: 0.9267776619140065 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9575839458095874, 'batch_size': 89, 'attention_heads': 4, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.528800914260263, 'global_pooling': 'max', 'learning_rate': 0.00023391436125639087, 'weight_decay': 1.5534079547694743e-05, 'beta_0': 0.8765631375487033, 'beta_1': 0.9880764143125784, 'epsilon': 2.2894087232695043e-08, 'balanced_loss': False, 'epochs': 82, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:24:53,051] Trial 223 finished with value: 0.9369711728335575 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8000710003167282, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 138, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5041447182876353, 'global_pooling': 'max', 'learning_rate': 0.00011226647362280997, 'weight_decay': 1.0990598316277314e-05, 'beta_0': 0.8747163122573687, 'beta_1': 0.9874817729063263, 'epsilon': 1.6205279978646146e-08, 'balanced_loss': False, 'epochs': 85, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:32:29,379] Trial 224 finished with value: 0.942682179479581 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7867059751764237, 'batch_size': 79, 'attention_heads': 5, 'hidden_dimension': 84, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5013627824825005, 'global_pooling': 'max', 'learning_rate': 0.00031185411257948043, 'weight_decay': 1.7543399406168296e-05, 'beta_0': 0.8729274379512773, 'beta_1': 0.9885552873623565, 'epsilon': 2.7585372471404313e-08, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:40:06,030] Trial 225 finished with value: 0.9369025107307575 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.768270672983262, 'batch_size': 79, 'attention_heads': 5, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5196568805397894, 'global_pooling': 'max', 'learning_rate': 0.00023438432336506625, 'weight_decay': 1.6610477872958058e-05, 'beta_0': 0.8655850852911267, 'beta_1': 0.9883663634417584, 'epsilon': 2.9599626978975607e-08, 'balanced_loss': False, 'epochs': 79, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:47:36,687] Trial 226 finished with value: 0.9396923456736765 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.782477470780406, 'batch_size': 94, 'attention_heads': 5, 'hidden_dimension': 79, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5070845946189846, 'global_pooling': 'max', 'learning_rate': 0.0002999839111553644, 'weight_decay': 1.2853179192159236e-05, 'beta_0': 0.8754708820200467, 'beta_1': 0.9888702370981934, 'epsilon': 2.3235797399847347e-08, 'balanced_loss': False, 'epochs': 70, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 06:55:10,105] Trial 227 finished with value: 0.9375498591330739 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7930419512930142, 'batch_size': 86, 'attention_heads': 5, 'hidden_dimension': 87, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49867388156704523, 'global_pooling': 'max', 'learning_rate': 0.00032961137723455316, 'weight_decay': 1.5021750676353735e-05, 'beta_0': 0.8721835428480755, 'beta_1': 0.9883888769792356, 'epsilon': 3.362153475545345e-08, 'balanced_loss': False, 'epochs': 78, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 07:02:39,123] Trial 228 finished with value: 0.9329015038210278 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.7871985380891596, 'batch_size': 80, 'attention_heads': 4, 'hidden_dimension': 75, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4997437461220946, 'global_pooling': 'max', 'learning_rate': 0.00019614969057109386, 'weight_decay': 1.8001528045337002e-05, 'beta_0': 0.8708912420603376, 'beta_1': 0.988945239890768, 'epsilon': 2.8558991099345955e-08, 'balanced_loss': False, 'epochs': 73, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 9}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 07:13:41,455] Trial 229 finished with value: 0.935266523865742 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.77528871183774, 'batch_size': 77, 'attention_heads': 11, 'hidden_dimension': 119, 'number_of_hidden_layers': 2, 'dropout_rate': 0.510607295985936, 'global_pooling': 'max', 'learning_rate': 0.00025901880067993925, 'weight_decay': 1.4129931641478017e-05, 'beta_0': 0.8737830284867697, 'beta_1': 0.9880208976729545, 'epsilon': 2.0545586919384504e-08, 'balanced_loss': False, 'epochs': 84, 'early_stopping_patience': 17, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 07:21:14,581] Trial 230 finished with value: 0.9332320691683977 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8039360351060318, 'batch_size': 101, 'attention_heads': 5, 'hidden_dimension': 67, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5038126906791991, 'global_pooling': 'max', 'learning_rate': 0.0003759733123852128, 'weight_decay': 1.2267823497281418e-05, 'beta_0': 0.8399595355027314, 'beta_1': 0.9885080795275959, 'epsilon': 1.0164864835184771e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 07:29:15,201] Trial 231 finished with value: 0.9406936739478258 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.7960042630271437, 'batch_size': 92, 'attention_heads': 4, 'hidden_dimension': 90, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36666559587739384, 'global_pooling': 'max', 'learning_rate': 0.00013767716758046714, 'weight_decay': 9.726995058885668e-06, 'beta_0': 0.8697847773617835, 'beta_1': 0.9876829848624686, 'epsilon': 4.078827743486179e-08, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 18, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 07:37:20,749] Trial 232 finished with value: 0.9315375148301969 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.808319817981814, 'batch_size': 135, 'attention_heads': 5, 'hidden_dimension': 83, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5162410593031245, 'global_pooling': 'max', 'learning_rate': 0.0002931503336590483, 'weight_decay': 2.2720257427722144e-05, 'beta_0': 0.8755444259283951, 'beta_1': 0.9986593852223941, 'epsilon': 1.512268750756552e-08, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
[I 2025-03-29 07:45:56,007] Trial 233 finished with value: 0.9165866743637006 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.7315338351700781, 'batch_size': 84, 'attention_heads': 5, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.527794696634703, 'global_pooling': 'max', 'learning_rate': 0.00018747105659655593, 'weight_decay': 1.7231711447299732e-05, 'beta_0': 0.8979446261547028, 'beta_1': 0.9899826663800508, 'epsilon': 2.6091715823628485e-08, 'balanced_loss': True, 'epochs': 80, 'early_stopping_patience': 18, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 102 with value: 0.9508712460719986.
slurmstepd: error: *** JOB 15555181 ON gpu005 CANCELLED AT 2025-03-29T07:53:29 DUE TO TIME LIMIT ***
