Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-large and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2025-01-08 09:47:52,035] A new study created in RDB with name: RTSP-GATv2-FacebookAI-roberta-large-Surrogate-No_Aggregation
[I 2025-01-08 09:57:40,374] Trial 0 finished with value: 0.869198312236287 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4319459866925097, 'batch_size': 226, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5909729556485983, 'global_pooling': 'mean', 'learning_rate': 5.415244119402538e-05, 'weight_decay': 8.179499475211674e-06, 'beta_0': 0.8510059609290175, 'beta_1': 0.9881622148267181, 'epsilon': 1.4618962793704927e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 15, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 0 with value: 0.869198312236287.
[I 2025-01-08 20:28:01,703] Trial 76 finished with value: 0.8790436005625879 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.7519217965039935, 'batch_size': 130, 'attention_heads': 10, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3263703653591013, 'global_pooling': 'max', 'learning_rate': 0.00031555745867013134, 'weight_decay': 8.81143937817084e-06, 'beta_0': 0.838842745693302, 'beta_1': 0.9876734188805135, 'epsilon': 6.916762642464077e-07, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 20:36:00,406] Trial 77 finished with value: 0.8248945147679325 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.9470751880453478, 'batch_size': 221, 'attention_heads': 7, 'hidden_dimension': 234, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4396290062768916, 'global_pooling': 'sum', 'learning_rate': 0.00011436539002771867, 'weight_decay': 0.00020557397578926766, 'beta_0': 0.8877905766252591, 'beta_1': 0.983939033586761, 'epsilon': 4.550273077698095e-06, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 17, 'plateau_patience': 11, 'plateau_divider': 9}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 20:42:06,303] Trial 78 finished with value: 0.8804500703234881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6879993504394765, 'batch_size': 209, 'attention_heads': 6, 'hidden_dimension': 90, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3017068458928387, 'global_pooling': 'max', 'learning_rate': 0.000725879869021322, 'weight_decay': 4.429990091355424e-06, 'beta_0': 0.8992849014177154, 'beta_1': 0.9888843183248619, 'epsilon': 1.3044958211845838e-05, 'balanced_loss': True, 'epochs': 126, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 20:57:36,764] Trial 79 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.4364902306445624, 'batch_size': 76, 'attention_heads': 15, 'hidden_dimension': 250, 'number_of_hidden_layers': 3, 'dropout_rate': 0.456324687925034, 'global_pooling': 'mean', 'learning_rate': 0.0015721227926888206, 'weight_decay': 1.0841936947653567e-06, 'beta_0': 0.8773494742589603, 'beta_1': 0.9858186748441804, 'epsilon': 1.8370985255201357e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 15, 'plateau_patience': 12, 'plateau_divider': 2}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:04:56,863] Trial 80 finished with value: 0.8846694796061885 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5805777267389919, 'batch_size': 233, 'attention_heads': 9, 'hidden_dimension': 119, 'number_of_hidden_layers': 1, 'dropout_rate': 0.384033526623067, 'global_pooling': 'max', 'learning_rate': 0.0009031786923822464, 'weight_decay': 0.0001104978273883919, 'beta_0': 0.8429276440531035, 'beta_1': 0.9871576906375811, 'epsilon': 3.8923883936599286e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:12:03,509] Trial 81 finished with value: 0.8762306610407876 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5816298423884297, 'batch_size': 233, 'attention_heads': 9, 'hidden_dimension': 113, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3695051127670076, 'global_pooling': 'max', 'learning_rate': 0.0009245284801464261, 'weight_decay': 1.5121937982340914e-06, 'beta_0': 0.8435404470371926, 'beta_1': 0.9871754138664892, 'epsilon': 2.2505252326462872e-07, 'balanced_loss': False, 'epochs': 146, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:19:12,947] Trial 82 finished with value: 0.8846694796061885 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5627841490743044, 'batch_size': 249, 'attention_heads': 8, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.38609392389694497, 'global_pooling': 'max', 'learning_rate': 0.0030646461935004707, 'weight_decay': 0.0001220307089936599, 'beta_0': 0.8485940179707465, 'beta_1': 0.9866434587831807, 'epsilon': 1.4215744930847713e-07, 'balanced_loss': False, 'epochs': 138, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:26:18,428] Trial 83 finished with value: 0.8832630098452883 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.59898613114153, 'batch_size': 249, 'attention_heads': 8, 'hidden_dimension': 120, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3804482349600405, 'global_pooling': 'max', 'learning_rate': 0.003261894675640424, 'weight_decay': 0.00010938958083646365, 'beta_0': 0.8415379489781509, 'beta_1': 0.9883063965618251, 'epsilon': 1.0148036342971408e-07, 'balanced_loss': False, 'epochs': 139, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:33:45,792] Trial 84 finished with value: 0.8755274261603375 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6253176306603455, 'batch_size': 237, 'attention_heads': 8, 'hidden_dimension': 133, 'number_of_hidden_layers': 1, 'dropout_rate': 0.39753205800651936, 'global_pooling': 'max', 'learning_rate': 0.00043817562366192187, 'weight_decay': 2.1501037094158925e-06, 'beta_0': 0.8466678713596534, 'beta_1': 0.9874806207914905, 'epsilon': 3.811550756125264e-08, 'balanced_loss': False, 'epochs': 132, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:41:19,936] Trial 85 finished with value: 0.8741209563994374 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5664973739751322, 'batch_size': 244, 'attention_heads': 9, 'hidden_dimension': 125, 'number_of_hidden_layers': 1, 'dropout_rate': 0.40640932407679337, 'global_pooling': 'max', 'learning_rate': 0.00021998933868788847, 'weight_decay': 0.00013514901448940847, 'beta_0': 0.8360927007327987, 'beta_1': 0.9984476336679705, 'epsilon': 3.3912225856963116e-07, 'balanced_loss': False, 'epochs': 157, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:51:11,908] Trial 86 finished with value: 0.8839662447257384 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5459508136135881, 'batch_size': 228, 'attention_heads': 9, 'hidden_dimension': 176, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4196659199810938, 'global_pooling': 'max', 'learning_rate': 0.0006650304830351632, 'weight_decay': 7.039731532387782e-05, 'beta_0': 0.8507213449470158, 'beta_1': 0.9867808174879116, 'epsilon': 1.5850616825951115e-07, 'balanced_loss': False, 'epochs': 144, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 5}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 21:58:30,504] Trial 87 finished with value: 0.8509142053445851 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5334763817581716, 'batch_size': 254, 'attention_heads': 7, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4122913632199699, 'global_pooling': 'max', 'learning_rate': 0.026734350968233282, 'weight_decay': 4.3938549085453536e-05, 'beta_0': 0.8097252415682552, 'beta_1': 0.9900317994390182, 'epsilon': 1.0735090553208054e-06, 'balanced_loss': False, 'epochs': 137, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 4}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 22:06:16,802] Trial 88 finished with value: 0.8769338959212377 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6486106902185846, 'batch_size': 235, 'attention_heads': 8, 'hidden_dimension': 101, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3841972660243117, 'global_pooling': 'mean', 'learning_rate': 0.001164393876562739, 'weight_decay': 0.00010801928550774589, 'beta_0': 0.8666200627286077, 'beta_1': 0.9890990543619093, 'epsilon': 5.072452314460768e-07, 'balanced_loss': False, 'epochs': 123, 'early_stopping_patience': 21, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
[I 2025-01-08 22:13:58,789] Trial 89 finished with value: 0.8832630098452883 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5891945667935412, 'batch_size': 221, 'attention_heads': 10, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4252826421431712, 'global_pooling': 'sum', 'learning_rate': 0.009127594844979374, 'weight_decay': 8.875098089356618e-05, 'beta_0': 0.8318419677336958, 'beta_1': 0.9862371194755871, 'epsilon': 1.2488821319835577e-07, 'balanced_loss': True, 'epochs': 152, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 6}. Best is trial 1 with value: 0.8888888888888888.
