[I 2025-03-06 18:45:32,835] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
[I 2025-03-06 18:54:14,484] Trial 71 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.4744626709387133, 'batch_size': 103, 'attention_heads': 16, 'hidden_dimension': 205, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4358562046694647, 'global_pooling': 'max', 'learning_rate': 0.0001765175778200187, 'weight_decay': 0.0006084591488841319, 'beta_0': 0.8710296346215669, 'beta_1': 0.9897197388969209, 'epsilon': 1.4755497674806805e-07, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 06:38:38,989] Trial 148 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5006312828733773, 'batch_size': 43, 'attention_heads': 15, 'hidden_dimension': 181, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44246114116047824, 'global_pooling': 'max', 'learning_rate': 0.0004028347888806064, 'weight_decay': 0.0003040754753827514, 'beta_0': 0.8955444671101259, 'beta_1': 0.9915399360493026, 'epsilon': 5.968252804058421e-05, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 20, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 06:49:52,255] Trial 149 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.4389380899086325, 'batch_size': 61, 'attention_heads': 16, 'hidden_dimension': 210, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5452850186253925, 'global_pooling': 'max', 'learning_rate': 0.0026248200739568853, 'weight_decay': 0.00021755705515993172, 'beta_0': 0.8650532830635309, 'beta_1': 0.9862608134540846, 'epsilon': 3.782331109030386e-06, 'balanced_loss': True, 'epochs': 81, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 8}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 06:57:51,390] Trial 150 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.487290990650243, 'batch_size': 32, 'attention_heads': 14, 'hidden_dimension': 216, 'number_of_hidden_layers': 2, 'dropout_rate': 0.42412961049646497, 'global_pooling': 'max', 'learning_rate': 0.00030110465990128277, 'weight_decay': 1.4675524053888556e-06, 'beta_0': 0.8921303977480436, 'beta_1': 0.9892304862790617, 'epsilon': 2.8481261998389037e-06, 'balanced_loss': False, 'epochs': 182, 'early_stopping_patience': 16, 'plateau_patience': 21, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 07:07:48,710] Trial 151 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'min', 'threshold': 0.5289191088021556, 'batch_size': 68, 'attention_heads': 13, 'hidden_dimension': 233, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4304196813003593, 'global_pooling': 'max', 'learning_rate': 0.0009197365068487771, 'weight_decay': 0.0004404654720302801, 'beta_0': 0.8695328717117681, 'beta_1': 0.9872804130232186, 'epsilon': 4.3248530042595945e-05, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 07:20:07,697] Trial 152 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.44280270356191714, 'batch_size': 39, 'attention_heads': 14, 'hidden_dimension': 224, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40385860232962734, 'global_pooling': 'max', 'learning_rate': 0.0005100938961181671, 'weight_decay': 2.8014925561645298e-05, 'beta_0': 0.8724398547751613, 'beta_1': 0.9933536654561164, 'epsilon': 2.62619720821091e-07, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 07:31:06,676] Trial 153 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4503178286150568, 'batch_size': 37, 'attention_heads': 14, 'hidden_dimension': 222, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5243058267775628, 'global_pooling': 'max', 'learning_rate': 0.00044323674572372746, 'weight_decay': 3.332201597345925e-05, 'beta_0': 0.8748352479112679, 'beta_1': 0.9910929468628452, 'epsilon': 2.6797999150061274e-07, 'balanced_loss': True, 'epochs': 194, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 07:41:57,593] Trial 154 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4324503787786751, 'batch_size': 55, 'attention_heads': 14, 'hidden_dimension': 207, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40155946958741534, 'global_pooling': 'max', 'learning_rate': 0.0007105882713809698, 'weight_decay': 1.7809041164992596e-05, 'beta_0': 0.8808233015039063, 'beta_1': 0.9886502181737669, 'epsilon': 2.049062912685271e-05, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 07:48:11,718] Trial 155 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.419087641985725, 'batch_size': 54, 'attention_heads': 14, 'hidden_dimension': 80, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40102637822602955, 'global_pooling': 'max', 'learning_rate': 0.0006821566883870924, 'weight_decay': 2.622424841583243e-05, 'beta_0': 0.8812531838180069, 'beta_1': 0.9887858569841741, 'epsilon': 2.791239263840486e-05, 'balanced_loss': True, 'epochs': 196, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 07:55:45,188] Trial 156 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.45715112123811247, 'batch_size': 43, 'attention_heads': 12, 'hidden_dimension': 206, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40451942973967847, 'global_pooling': 'max', 'learning_rate': 0.000530265204638449, 'weight_decay': 1.4778429278362008e-05, 'beta_0': 0.8786491825856043, 'beta_1': 0.9904909196902112, 'epsilon': 1.9938189767557338e-05, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:04:08,925] Trial 157 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.469448796776565, 'batch_size': 49, 'attention_heads': 11, 'hidden_dimension': 193, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3786542535600674, 'global_pooling': 'max', 'learning_rate': 0.0008044538466472827, 'weight_decay': 1.8397228847285414e-05, 'beta_0': 0.8725186429156215, 'beta_1': 0.9918686139170192, 'epsilon': 1.4716647735738643e-05, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 24, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:12:15,743] Trial 158 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4326700006292706, 'batch_size': 48, 'attention_heads': 11, 'hidden_dimension': 190, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3802682830298277, 'global_pooling': 'max', 'learning_rate': 0.0006840745539991245, 'weight_decay': 1.8768976841248722e-05, 'beta_0': 0.872694115949519, 'beta_1': 0.9921192492185164, 'epsilon': 1.4650349069814158e-05, 'balanced_loss': True, 'epochs': 197, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:19:33,694] Trial 159 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4673611656325321, 'batch_size': 40, 'attention_heads': 11, 'hidden_dimension': 156, 'number_of_hidden_layers': 3, 'dropout_rate': 0.38899257473458015, 'global_pooling': 'mean', 'learning_rate': 0.0005131278068593287, 'weight_decay': 2.3633183593853975e-05, 'beta_0': 0.8757086024004727, 'beta_1': 0.9919876023754971, 'epsilon': 6.461026885546963e-07, 'balanced_loss': True, 'epochs': 192, 'early_stopping_patience': 23, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:27:25,360] Trial 160 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4406499204078853, 'batch_size': 58, 'attention_heads': 10, 'hidden_dimension': 198, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3715029899054685, 'global_pooling': 'max', 'learning_rate': 0.0008629963263594603, 'weight_decay': 4.413985827915545e-05, 'beta_0': 0.8701870651570476, 'beta_1': 0.9916228405501497, 'epsilon': 2.3189965635849315e-05, 'balanced_loss': True, 'epochs': 198, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:35:16,675] Trial 161 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4887463336751988, 'batch_size': 37, 'attention_heads': 12, 'hidden_dimension': 193, 'number_of_hidden_layers': 3, 'dropout_rate': 0.36151248118250384, 'global_pooling': 'max', 'learning_rate': 0.0003546690285792804, 'weight_decay': 2.914551160383756e-05, 'beta_0': 0.8807520125694582, 'beta_1': 0.9931986675451923, 'epsilon': 1.7159000087916707e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:43:24,983] Trial 162 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4773081447495163, 'batch_size': 35, 'attention_heads': 12, 'hidden_dimension': 194, 'number_of_hidden_layers': 3, 'dropout_rate': 0.39413243866762115, 'global_pooling': 'max', 'learning_rate': 0.00037424414268163276, 'weight_decay': 3.035558899443874e-05, 'beta_0': 0.8774982475835341, 'beta_1': 0.9932981127622281, 'epsilon': 1.514271722620686e-05, 'balanced_loss': False, 'epochs': 187, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:51:28,726] Trial 163 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4914418348352549, 'batch_size': 35, 'attention_heads': 12, 'hidden_dimension': 193, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3592633865865402, 'global_pooling': 'max', 'learning_rate': 0.00032403697804468125, 'weight_decay': 3.163264535810224e-05, 'beta_0': 0.8797499941656098, 'beta_1': 0.993708130128036, 'epsilon': 1.6020787474796138e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 08:58:53,974] Trial 164 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.47186485706265563, 'batch_size': 32, 'attention_heads': 12, 'hidden_dimension': 182, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3946717614114621, 'global_pooling': 'max', 'learning_rate': 0.000378827702536843, 'weight_decay': 2.8378335510311457e-05, 'beta_0': 0.8776693000709825, 'beta_1': 0.992772048799177, 'epsilon': 1.724316619132224e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 09:06:43,253] Trial 165 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.476347339422948, 'batch_size': 41, 'attention_heads': 12, 'hidden_dimension': 195, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3765616200651756, 'global_pooling': 'max', 'learning_rate': 0.0004845866100508366, 'weight_decay': 1.6652447381813533e-05, 'beta_0': 0.8774151197368435, 'beta_1': 0.9932114562116902, 'epsilon': 1.10334212553836e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 18, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 09:14:42,473] Trial 166 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4805396118620943, 'batch_size': 32, 'attention_heads': 12, 'hidden_dimension': 187, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3952783368736429, 'global_pooling': 'max', 'learning_rate': 0.0003844262333683812, 'weight_decay': 3.8167652596631827e-05, 'beta_0': 0.8815311006421062, 'beta_1': 0.9932874126055318, 'epsilon': 2.0638220529954115e-05, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 09:23:00,613] Trial 167 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4805635998085375, 'batch_size': 32, 'attention_heads': 12, 'hidden_dimension': 184, 'number_of_hidden_layers': 3, 'dropout_rate': 0.39251215941411255, 'global_pooling': 'max', 'learning_rate': 0.0002451870282583031, 'weight_decay': 3.6006680811289425e-05, 'beta_0': 0.8820818297829238, 'beta_1': 0.9926439293457976, 'epsilon': 1.8640434371764636e-05, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 09:29:59,679] Trial 168 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4724019240690879, 'batch_size': 37, 'attention_heads': 11, 'hidden_dimension': 179, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3949376917690233, 'global_pooling': 'max', 'learning_rate': 0.0006132599025967646, 'weight_decay': 2.838202574657609e-05, 'beta_0': 0.8773067751177863, 'beta_1': 0.9945149790321909, 'epsilon': 1.3693155625174498e-05, 'balanced_loss': False, 'epochs': 188, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 09:37:41,782] Trial 169 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4624455761863978, 'batch_size': 46, 'attention_heads': 12, 'hidden_dimension': 185, 'number_of_hidden_layers': 3, 'dropout_rate': 0.38129020820642173, 'global_pooling': 'sum', 'learning_rate': 0.0003558556950187742, 'weight_decay': 2.2597820977525952e-05, 'beta_0': 0.8746108380314361, 'beta_1': 0.9925090243147227, 'epsilon': 2.078427913410769e-05, 'balanced_loss': False, 'epochs': 193, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 09:44:43,942] Trial 170 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.49205510413319137, 'batch_size': 40, 'attention_heads': 12, 'hidden_dimension': 187, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3655002796371826, 'global_pooling': 'max', 'learning_rate': 0.00044460513375697624, 'weight_decay': 3.0327040865304175e-05, 'beta_0': 0.8804057825028436, 'beta_1': 0.9930930113665599, 'epsilon': 9.142274940185487e-06, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 17, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 09:52:31,791] Trial 171 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.40001192313083767, 'batch_size': 32, 'attention_heads': 12, 'hidden_dimension': 171, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40052341247042933, 'global_pooling': 'max', 'learning_rate': 0.0007820966471910707, 'weight_decay': 3.7535743185883364e-05, 'beta_0': 0.8846518894706241, 'beta_1': 0.9942630605488307, 'epsilon': 1.2336340673718117e-05, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 19, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 10:00:12,927] Trial 172 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.502857235760897, 'batch_size': 44, 'attention_heads': 11, 'hidden_dimension': 191, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3854440070324483, 'global_pooling': 'max', 'learning_rate': 0.00038718144502279553, 'weight_decay': 4.458571921288857e-05, 'beta_0': 0.8719879401871227, 'beta_1': 0.9935994260579961, 'epsilon': 1.6117594842084435e-05, 'balanced_loss': False, 'epochs': 180, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 10:06:52,229] Trial 173 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.502591449450063, 'batch_size': 44, 'attention_heads': 11, 'hidden_dimension': 179, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3849448228077007, 'global_pooling': 'max', 'learning_rate': 0.0005500455733752533, 'weight_decay': 2.679524060684533e-05, 'beta_0': 0.8727953982649206, 'beta_1': 0.99347306082975, 'epsilon': 1.6129455664296843e-05, 'balanced_loss': False, 'epochs': 183, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 10:14:35,047] Trial 174 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4537511040921517, 'batch_size': 49, 'attention_heads': 11, 'hidden_dimension': 192, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3526831113345706, 'global_pooling': 'max', 'learning_rate': 0.00039618570826858643, 'weight_decay': 1.889802029410157e-05, 'beta_0': 0.8786012047604292, 'beta_1': 0.9939224672209478, 'epsilon': 2.1732644269092816e-05, 'balanced_loss': False, 'epochs': 179, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 10:21:33,530] Trial 175 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4827974615994503, 'batch_size': 37, 'attention_heads': 10, 'hidden_dimension': 189, 'number_of_hidden_layers': 3, 'dropout_rate': 0.37492797083080803, 'global_pooling': 'max', 'learning_rate': 0.0011034732357984357, 'weight_decay': 5.6590218104358296e-05, 'beta_0': 0.8751213044718058, 'beta_1': 0.9942208264113189, 'epsilon': 1.7698976603298745e-05, 'balanced_loss': False, 'epochs': 191, 'early_stopping_patience': 19, 'plateau_patience': 19, 'plateau_divider': 2}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 10:29:42,355] Trial 176 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4642015671410593, 'batch_size': 41, 'attention_heads': 12, 'hidden_dimension': 196, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3932384917535493, 'global_pooling': 'max', 'learning_rate': 0.00028121767098478103, 'weight_decay': 2.507540869697913e-05, 'beta_0': 0.8712580464951915, 'beta_1': 0.9934613297643783, 'epsilon': 2.6045163509564682e-05, 'balanced_loss': False, 'epochs': 186, 'early_stopping_patience': 20, 'plateau_patience': 20, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 10:37:17,363] Trial 177 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4936601653696423, 'batch_size': 45, 'attention_heads': 12, 'hidden_dimension': 181, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41234000646455676, 'global_pooling': 'max', 'learning_rate': 0.0006821280406634189, 'weight_decay': 2.1158739620857577e-05, 'beta_0': 0.8835601485368153, 'beta_1': 0.9949311255602733, 'epsilon': 1.4289509187864256e-05, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 4}. Best is trial 45 with value: 0.911697247706422.
[I 2025-03-07 10:44:14,200] Trial 178 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5116719675771353, 'batch_size': 51, 'attention_heads': 11, 'hidden_dimension': 201, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3843378191475905, 'global_pooling': 'max', 'learning_rate': 0.0002222424204424553, 'weight_decay': 4.05406373883633e-05, 'beta_0': 0.8803362226251947, 'beta_1': 0.9929491445241677, 'epsilon': 1.1170714938729998e-05, 'balanced_loss': False, 'epochs': 189, 'early_stopping_patience': 17, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 45 with value: 0.911697247706422.
slurmstepd: error: *** JOB 15106638 ON gpu035 CANCELLED AT 2025-03-07T10:45:16 DUE TO TIME LIMIT ***
