[I 2025-03-21 00:56:21,201] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Weights-0.0-0.0' instead of creating a new one.
[I 2025-03-21 01:05:01,986] Trial 103 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6849204404719833, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 227, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5621877147322808, 'global_pooling': 'max', 'learning_rate': 0.00038454256899817977, 'weight_decay': 0.0005012631587081072, 'beta_0': 0.8968061524877028, 'beta_1': 0.9839437143098397, 'epsilon': 1.9098673886438716e-05, 'balanced_loss': False, 'epochs': 160, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 48 with value: 0.908256880733945.
[I 2025-03-21 10:50:59,307] Trial 180 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5250088758169152, 'batch_size': 134, 'attention_heads': 12, 'hidden_dimension': 159, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48651925718802264, 'global_pooling': 'mean', 'learning_rate': 0.0012713734970530531, 'weight_decay': 0.0002376289071615511, 'beta_0': 0.8906208067993974, 'beta_1': 0.9955681922639095, 'epsilon': 3.917514297577448e-07, 'balanced_loss': False, 'epochs': 172, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 10:57:17,899] Trial 181 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6607965532530702, 'batch_size': 140, 'attention_heads': 11, 'hidden_dimension': 175, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5669907163964352, 'global_pooling': 'mean', 'learning_rate': 0.0016267878416670338, 'weight_decay': 0.000294110878987135, 'beta_0': 0.8938067555271739, 'beta_1': 0.9903158499620209, 'epsilon': 3.782331109030386e-06, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:03:11,402] Trial 182 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6700133177649578, 'batch_size': 150, 'attention_heads': 11, 'hidden_dimension': 176, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5527701247600031, 'global_pooling': 'mean', 'learning_rate': 0.0018554998320426095, 'weight_decay': 0.00031459146747205946, 'beta_0': 0.8939174507513643, 'beta_1': 0.9927847413934103, 'epsilon': 3.0959604159585115e-07, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:09:24,999] Trial 183 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6532774973858392, 'batch_size': 142, 'attention_heads': 11, 'hidden_dimension': 172, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5684979179357834, 'global_pooling': 'mean', 'learning_rate': 0.0013822011056045856, 'weight_decay': 0.0002788214985316852, 'beta_0': 0.8972545461569592, 'beta_1': 0.9930486679753051, 'epsilon': 2.561473264765575e-06, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:15:14,986] Trial 184 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6287287500017233, 'batch_size': 147, 'attention_heads': 11, 'hidden_dimension': 164, 'number_of_hidden_layers': 2, 'dropout_rate': 0.47644807415055035, 'global_pooling': 'mean', 'learning_rate': 0.0017161680638455507, 'weight_decay': 0.0002052365653331735, 'beta_0': 0.8732167875751758, 'beta_1': 0.9903755081307716, 'epsilon': 4.319828367275753e-06, 'balanced_loss': False, 'epochs': 128, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:22:19,425] Trial 185 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5013310035591629, 'batch_size': 131, 'attention_heads': 12, 'hidden_dimension': 181, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5736356501951814, 'global_pooling': 'mean', 'learning_rate': 0.0006740408942146442, 'weight_decay': 0.0004968639486977404, 'beta_0': 0.8860552005856942, 'beta_1': 0.9908582652727443, 'epsilon': 1.6017982847907943e-07, 'balanced_loss': False, 'epochs': 167, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:29:20,167] Trial 186 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5409573388755253, 'batch_size': 140, 'attention_heads': 12, 'hidden_dimension': 187, 'number_of_hidden_layers': 2, 'dropout_rate': 0.565179842630283, 'global_pooling': 'mean', 'learning_rate': 0.0010611076778146299, 'weight_decay': 0.0003182947799796745, 'beta_0': 0.892389095343053, 'beta_1': 0.9965116986082525, 'epsilon': 3.546033173572355e-06, 'balanced_loss': False, 'epochs': 69, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:35:57,382] Trial 187 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.70935144693893, 'batch_size': 154, 'attention_heads': 12, 'hidden_dimension': 225, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4340325639138382, 'global_pooling': 'mean', 'learning_rate': 0.0015241470308465345, 'weight_decay': 0.0002344698205747866, 'beta_0': 0.8887147217395994, 'beta_1': 0.9925794501093771, 'epsilon': 5.712297850638771e-06, 'balanced_loss': False, 'epochs': 159, 'early_stopping_patience': 25, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:42:09,428] Trial 188 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6456543396670048, 'batch_size': 138, 'attention_heads': 12, 'hidden_dimension': 179, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45497680308193883, 'global_pooling': 'mean', 'learning_rate': 0.0004365590601264425, 'weight_decay': 0.000278916048009626, 'beta_0': 0.8761063893444185, 'beta_1': 0.9939553032202282, 'epsilon': 7.065698016667901e-06, 'balanced_loss': False, 'epochs': 60, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:47:56,671] Trial 189 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6599474481260024, 'batch_size': 144, 'attention_heads': 11, 'hidden_dimension': 170, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4947922246862982, 'global_pooling': 'mean', 'learning_rate': 0.0007895102421733208, 'weight_decay': 0.00018564092429921834, 'beta_0': 0.8316222925909944, 'beta_1': 0.9919040256009211, 'epsilon': 2.5892123006102317e-07, 'balanced_loss': False, 'epochs': 150, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 11:56:04,402] Trial 190 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5099222136137459, 'batch_size': 131, 'attention_heads': 12, 'hidden_dimension': 220, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5576861214390557, 'global_pooling': 'mean', 'learning_rate': 0.0011736614369248274, 'weight_decay': 0.0003613560310762402, 'beta_0': 0.8061230739174108, 'beta_1': 0.9896424476647746, 'epsilon': 4.3614692677424075e-06, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 12:05:41,695] Trial 191 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.511153314129406, 'batch_size': 146, 'attention_heads': 12, 'hidden_dimension': 235, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5817499812286401, 'global_pooling': 'mean', 'learning_rate': 0.0024115092028451045, 'weight_decay': 0.00033995879415493887, 'beta_0': 0.8079143033508979, 'beta_1': 0.9900757604195407, 'epsilon': 4.692378375763696e-06, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 12:14:57,259] Trial 192 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5303018595626405, 'batch_size': 209, 'attention_heads': 11, 'hidden_dimension': 216, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5553464637986082, 'global_pooling': 'mean', 'learning_rate': 0.0010689558062687361, 'weight_decay': 0.0003798015600697437, 'beta_0': 0.8021790494587262, 'beta_1': 0.9888509138978051, 'epsilon': 3.0761481785333137e-06, 'balanced_loss': False, 'epochs': 54, 'early_stopping_patience': 25, 'plateau_patience': 14, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 12:22:21,698] Trial 193 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6772259925893861, 'batch_size': 128, 'attention_heads': 14, 'hidden_dimension': 221, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44452487971036425, 'global_pooling': 'mean', 'learning_rate': 0.001231730692441444, 'weight_decay': 0.00044197866261497574, 'beta_0': 0.8042639716172751, 'beta_1': 0.9895058809296312, 'epsilon': 9.221369153588691e-06, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 12:28:52,970] Trial 194 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5592235514677282, 'batch_size': 133, 'attention_heads': 12, 'hidden_dimension': 184, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5599824010478457, 'global_pooling': 'mean', 'learning_rate': 0.0005786288843893594, 'weight_decay': 1.0458100097968723e-06, 'beta_0': 0.8075980043454396, 'beta_1': 0.9915928058426431, 'epsilon': 3.7694065238700446e-06, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 12:35:37,852] Trial 195 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5173203903573523, 'batch_size': 136, 'attention_heads': 12, 'hidden_dimension': 190, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5476478881341522, 'global_pooling': 'mean', 'learning_rate': 0.0008745637498181042, 'weight_decay': 0.0005642858054462361, 'beta_0': 0.8111863181331251, 'beta_1': 0.9858681966260067, 'epsilon': 5.409957632097133e-07, 'balanced_loss': False, 'epochs': 74, 'early_stopping_patience': 25, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 12:43:17,205] Trial 196 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6142369380882877, 'batch_size': 142, 'attention_heads': 12, 'hidden_dimension': 228, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5730173914063639, 'global_pooling': 'sum', 'learning_rate': 0.0015709110888920059, 'weight_decay': 0.0006768135846034882, 'beta_0': 0.8458278089220816, 'beta_1': 0.9906787570150346, 'epsilon': 4.080482028946484e-06, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 25, 'plateau_patience': 25, 'plateau_divider': 7}. Best is trial 119 with value: 0.9151376146788991.
[I 2025-03-21 12:50:43,262] Trial 197 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.48667296754336226, 'batch_size': 127, 'attention_heads': 13, 'hidden_dimension': 157, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5772896772845635, 'global_pooling': 'max', 'learning_rate': 0.0012039210872475449, 'weight_decay': 0.00020904888507988672, 'beta_0': 0.8107408744840255, 'beta_1': 0.9897145860802978, 'epsilon': 6.725006266354205e-05, 'balanced_loss': False, 'epochs': 57, 'early_stopping_patience': 24, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 119 with value: 0.9151376146788991.
slurmstepd: error: *** JOB 15372857 ON gpu041 CANCELLED AT 2025-03-21T12:56:28 DUE TO TIME LIMIT ***
