[I 2025-02-19 06:31:36,104] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Single_Unitary_Weight-0.0-0.0' instead of creating a new one.
[I 2025-02-19 06:38:08,877] Trial 152 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.40078707383840806, 'batch_size': 81, 'attention_heads': 9, 'hidden_dimension': 131, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5010586476361087, 'global_pooling': 'mean', 'learning_rate': 0.0023039299524780284, 'weight_decay': 2.201133589023736e-05, 'beta_0': 0.8559734559936043, 'beta_1': 0.9856624722636111, 'epsilon': 2.576303039897108e-07, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 15, 'plateau_divider': 3}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:20:23,908] Trial 228 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5061470168441914, 'batch_size': 62, 'attention_heads': 12, 'hidden_dimension': 127, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5792603221386747, 'global_pooling': 'mean', 'learning_rate': 0.0003605779417814792, 'weight_decay': 0.00034297172608090945, 'beta_0': 0.851043457821137, 'beta_1': 0.990803379882918, 'epsilon': 4.378996532246648e-06, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:25:54,104] Trial 229 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4643998406260291, 'batch_size': 66, 'attention_heads': 11, 'hidden_dimension': 132, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5455591669615188, 'global_pooling': 'max', 'learning_rate': 0.0005244510274184271, 'weight_decay': 0.00019351123377828622, 'beta_0': 0.8439463851647749, 'beta_1': 0.989915021803375, 'epsilon': 1.3191261806757738e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 23, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:32:35,996] Trial 230 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.47657724193976997, 'batch_size': 51, 'attention_heads': 12, 'hidden_dimension': 149, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5310651942289786, 'global_pooling': 'max', 'learning_rate': 0.0008287410112707945, 'weight_decay': 0.0001392272203790441, 'beta_0': 0.8449737994510317, 'beta_1': 0.9905679142082815, 'epsilon': 3.614263357483752e-06, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:38:38,579] Trial 231 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49261622654237147, 'batch_size': 59, 'attention_heads': 13, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.538986320721881, 'global_pooling': 'max', 'learning_rate': 0.0006709910924448302, 'weight_decay': 0.0001790273536158295, 'beta_0': 0.84711959530669, 'beta_1': 0.9910830185716863, 'epsilon': 2.1365321087827264e-06, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:44:18,316] Trial 232 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5205034394469898, 'batch_size': 193, 'attention_heads': 12, 'hidden_dimension': 154, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5183020725430845, 'global_pooling': 'mean', 'learning_rate': 0.0005033152472838471, 'weight_decay': 0.00027425058770289066, 'beta_0': 0.8490248659226505, 'beta_1': 0.9902211148070078, 'epsilon': 6.333433026552262e-06, 'balanced_loss': False, 'epochs': 109, 'early_stopping_patience': 22, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:50:23,949] Trial 233 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.48078776816517704, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 158, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4394503202375602, 'global_pooling': 'mean', 'learning_rate': 0.0002906064592470205, 'weight_decay': 0.00019453954263162388, 'beta_0': 0.8746472463639978, 'beta_1': 0.9915290931332331, 'epsilon': 1.56941040921075e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 21, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 15:56:30,624] Trial 234 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4674320723955583, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 137, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5000963803522542, 'global_pooling': 'mean', 'learning_rate': 0.0009029068409975688, 'weight_decay': 0.00020700101592103338, 'beta_0': 0.8436994567635699, 'beta_1': 0.9894964563076317, 'epsilon': 2.9065402026892163e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:01:56,887] Trial 235 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.45738193768114577, 'batch_size': 53, 'attention_heads': 13, 'hidden_dimension': 139, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4931532070182095, 'global_pooling': 'mean', 'learning_rate': 0.0008955492097804662, 'weight_decay': 0.0002203124705191342, 'beta_0': 0.8432902791195191, 'beta_1': 0.9905199901621441, 'epsilon': 3.4381804660568664e-06, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:07:17,404] Trial 236 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4695695623034066, 'batch_size': 58, 'attention_heads': 13, 'hidden_dimension': 132, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5007645888251075, 'global_pooling': 'mean', 'learning_rate': 0.000610888050864379, 'weight_decay': 0.00016712210519185465, 'beta_0': 0.8417280204598659, 'beta_1': 0.9901458043642823, 'epsilon': 2.351759257984725e-06, 'balanced_loss': False, 'epochs': 151, 'early_stopping_patience': 19, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:13:13,412] Trial 237 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49594398378297067, 'batch_size': 47, 'attention_heads': 12, 'hidden_dimension': 136, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5275260013908344, 'global_pooling': 'mean', 'learning_rate': 0.000744438079668827, 'weight_decay': 0.00024486158915231545, 'beta_0': 0.8460756126911155, 'beta_1': 0.9898160700589654, 'epsilon': 2.7998391350502867e-06, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:19:00,100] Trial 238 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4818262959397581, 'batch_size': 63, 'attention_heads': 13, 'hidden_dimension': 148, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34689156608550564, 'global_pooling': 'mean', 'learning_rate': 0.0009253167157482382, 'weight_decay': 0.00021044443512771428, 'beta_0': 0.8439560156333752, 'beta_1': 0.9907847798435876, 'epsilon': 4.924525467544887e-06, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 21, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:23:10,190] Trial 239 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.45850075104572574, 'batch_size': 67, 'attention_heads': 4, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5199444468304741, 'global_pooling': 'sum', 'learning_rate': 0.0007494731940208918, 'weight_decay': 0.00029596746591715225, 'beta_0': 0.8481367339001741, 'beta_1': 0.9896682415585702, 'epsilon': 1.8912392127399834e-06, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 18, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:28:34,718] Trial 240 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5060451776596299, 'batch_size': 56, 'attention_heads': 9, 'hidden_dimension': 151, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5325408654877253, 'global_pooling': 'mean', 'learning_rate': 0.0010240776876121705, 'weight_decay': 0.0001610610819125398, 'beta_0': 0.8502910713068789, 'beta_1': 0.991193235951697, 'epsilon': 3.062277862491377e-06, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 22, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:34:12,786] Trial 241 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4694649338072648, 'batch_size': 51, 'attention_heads': 12, 'hidden_dimension': 126, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4985287517676167, 'global_pooling': 'mean', 'learning_rate': 0.0005521201007845475, 'weight_decay': 0.0002150620536178092, 'beta_0': 0.8804548448172738, 'beta_1': 0.9923159557400395, 'epsilon': 1.7633743732078653e-06, 'balanced_loss': False, 'epochs': 119, 'early_stopping_patience': 23, 'plateau_patience': 24, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:39:23,559] Trial 242 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4910048726891997, 'batch_size': 60, 'attention_heads': 11, 'hidden_dimension': 117, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5120481737616027, 'global_pooling': 'mean', 'learning_rate': 0.00044917715578187523, 'weight_decay': 0.00017770652212321808, 'beta_0': 0.8528099609576365, 'beta_1': 0.989566887272543, 'epsilon': 1.259701772512629e-06, 'balanced_loss': False, 'epochs': 143, 'early_stopping_patience': 17, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:45:05,692] Trial 243 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5928688551175979, 'batch_size': 69, 'attention_heads': 13, 'hidden_dimension': 161, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5048481785107675, 'global_pooling': 'mean', 'learning_rate': 0.000849840006765416, 'weight_decay': 0.0002634749145148086, 'beta_0': 0.8465755919040157, 'beta_1': 0.9888751709840737, 'epsilon': 2.098380412496764e-06, 'balanced_loss': False, 'epochs': 115, 'early_stopping_patience': 20, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:51:33,637] Trial 244 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.46883793113590144, 'batch_size': 42, 'attention_heads': 13, 'hidden_dimension': 155, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5095605050129283, 'global_pooling': 'mean', 'learning_rate': 0.0009405196007642447, 'weight_decay': 0.00013612438306756614, 'beta_0': 0.8853237700600592, 'beta_1': 0.9894244051829929, 'epsilon': 2.6743091810832215e-06, 'balanced_loss': False, 'epochs': 76, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 16:58:17,159] Trial 245 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.47596935472180885, 'batch_size': 47, 'attention_heads': 13, 'hidden_dimension': 137, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5222980726769686, 'global_pooling': 'mean', 'learning_rate': 0.0006288498785631512, 'weight_decay': 0.00019547239886699643, 'beta_0': 0.8836091947332724, 'beta_1': 0.9907332473051288, 'epsilon': 7.866972046846844e-06, 'balanced_loss': False, 'epochs': 102, 'early_stopping_patience': 23, 'plateau_patience': 23, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 17:05:10,831] Trial 246 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.44957683190372705, 'batch_size': 37, 'attention_heads': 13, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5042016997845256, 'global_pooling': 'mean', 'learning_rate': 0.001079659373799945, 'weight_decay': 0.00011422771401209743, 'beta_0': 0.8419220499568308, 'beta_1': 0.9901688576228252, 'epsilon': 1.0893824052349357e-06, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 23, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 17:11:17,946] Trial 247 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4535081180068993, 'batch_size': 53, 'attention_heads': 13, 'hidden_dimension': 140, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4988666387610082, 'global_pooling': 'mean', 'learning_rate': 0.0009962684380951047, 'weight_decay': 0.0001617694807554215, 'beta_0': 0.8408041325768183, 'beta_1': 0.9905468773830145, 'epsilon': 1.459681297864473e-06, 'balanced_loss': False, 'epochs': 116, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 17:18:09,313] Trial 248 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.450994830275057, 'batch_size': 35, 'attention_heads': 13, 'hidden_dimension': 142, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49691197897570466, 'global_pooling': 'mean', 'learning_rate': 0.0011277411258838101, 'weight_decay': 0.00010870594317400225, 'beta_0': 0.8406791971500518, 'beta_1': 0.9904671361528605, 'epsilon': 1.2286336115598026e-06, 'balanced_loss': False, 'epochs': 118, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 17:25:02,295] Trial 249 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.44800179959719705, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 141, 'number_of_hidden_layers': 2, 'dropout_rate': 0.48973793095460355, 'global_pooling': 'mean', 'learning_rate': 0.0010698242616830414, 'weight_decay': 0.00011423834293999566, 'beta_0': 0.8416774258156778, 'beta_1': 0.9903723029296172, 'epsilon': 1.1809603828212307e-06, 'balanced_loss': False, 'epochs': 117, 'early_stopping_patience': 22, 'plateau_patience': 25, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 17:31:14,321] Trial 250 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.460732784845779, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49623366866720187, 'global_pooling': 'mean', 'learning_rate': 0.0011467283122885883, 'weight_decay': 9.813285303050004e-05, 'beta_0': 0.8409593447979611, 'beta_1': 0.9901082941866096, 'epsilon': 1.4725927787842078e-06, 'balanced_loss': False, 'epochs': 121, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 17:37:38,739] Trial 251 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4626224289888155, 'batch_size': 32, 'attention_heads': 13, 'hidden_dimension': 146, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4949583964582001, 'global_pooling': 'mean', 'learning_rate': 0.0011266228906948014, 'weight_decay': 0.00011392452965628415, 'beta_0': 0.8406100766425086, 'beta_1': 0.9902307909420132, 'epsilon': 1.4132145044051333e-06, 'balanced_loss': False, 'epochs': 122, 'early_stopping_patience': 22, 'plateau_patience': 21, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.
[I 2025-02-19 17:43:39,441] Trial 252 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4520068978178694, 'batch_size': 32, 'attention_heads': 12, 'hidden_dimension': 144, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5042619867143424, 'global_pooling': 'mean', 'learning_rate': 0.0012117513852487832, 'weight_decay': 8.507823631430452e-05, 'beta_0': 0.8400940847004361, 'beta_1': 0.9913060513321161, 'epsilon': 1.4553757642528125e-06, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 22, 'plateau_patience': 22, 'plateau_divider': 2}. Best is trial 39 with value: 0.9105504587155964.

[TRIAL] 39 [VALIDATION PERFORMANCE] 0.9105504587155964 [TRAINING LOSS] 0.07390049090680048 [VALIDATION LOSS] 0.5065680823754519 

number                                      39
value                                  0.91055
params_threshold                      0.593845
params_attention_heads                       9
params_balanced_loss                      True
params_embedding_pooling_operation        mean
params_attention_pooling_operation         max
params_batch_size                           53
params_dropout_rate                   0.430709
params_early_stopping_patience              21
params_epochs                              135
params_global_pooling                     mean
params_hidden_dimension                    186
params_learning_rate                  0.001179
params_number_of_hidden_layers               3
params_plateau_divider                       7
params_plateau_patience                     24
params_weight_decay                   0.000042
params_beta_0                         0.884861
params_beta_1                         0.983909
params_epsilon                        0.000021
user_attrs_epoch                          18.0
user_attrs_training_loss                0.0739
user_attrs_validation_loss            0.506568
Name: 39, dtype: object
37 Val: 0.9025229357798165 Test: 0.8978583196046128
38 Val: 0.8956422018348624 Test: 0.8923668314113125
39 Val: 0.8967889908256881 Test: 0.8973091707852828
40 Val: 0.9036697247706422 Test: 0.8802855573860516
41 Val: 0.8979357798165137 Test: 0.8967600219659527
42 Val: 0.9059633027522935 Test: 0.8989566172432729
43 Val: 0.9048165137614679 Test: 0.886326194398682
slurmstepd: error: *** JOB 14938996 ON gpu030 CANCELLED AT 2025-02-19T18:31:08 DUE TO TIME LIMIT ***
