[I 2025-03-08 09:47:42,326] Using an existing study with name 'IMDb-top_1000-GATv2-google-bert-bert-base-uncased-Surrogate-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (1147 > 512). Running this sequence through the model will result in indexing errors
[I 2025-03-08 10:02:30,500] Trial 204 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9627746528591149, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 117, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5771675205960727, 'global_pooling': 'mean', 'learning_rate': 0.0007075976117791731, 'weight_decay': 1.455372902170249e-06, 'beta_0': 0.8618855481570443, 'beta_1': 0.9835759787803888, 'epsilon': 3.1373393510833834e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 05:11:33,550] Trial 272 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9574041518419074, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 206, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5906052336471853, 'global_pooling': 'mean', 'learning_rate': 0.0005050024672383993, 'weight_decay': 1.789418746893701e-05, 'beta_0': 0.854976419490248, 'beta_1': 0.9821645091659758, 'epsilon': 3.076043950178231e-06, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 05:29:10,178] Trial 273 finished with value: 0.9030303030303031 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9714880361346008, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5254546844713344, 'global_pooling': 'mean', 'learning_rate': 0.0007516651276440404, 'weight_decay': 1.6117408360456412e-06, 'beta_0': 0.8630674901460683, 'beta_1': 0.9830103702899292, 'epsilon': 6.604870690647794e-06, 'balanced_loss': True, 'epochs': 174, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 05:44:59,694] Trial 274 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9643029601006575, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 136, 'number_of_hidden_layers': 0, 'dropout_rate': 0.46460969273558284, 'global_pooling': 'mean', 'learning_rate': 0.00040864102230493357, 'weight_decay': 1.3471768162586262e-06, 'beta_0': 0.8961532321257895, 'beta_1': 0.9835179280948535, 'epsilon': 4.626274131544992e-06, 'balanced_loss': True, 'epochs': 162, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 05:59:33,035] Trial 275 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9663184186549905, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 118, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4422936327560387, 'global_pooling': 'mean', 'learning_rate': 0.0005734616241920588, 'weight_decay': 1.9502464813340773e-06, 'beta_0': 0.8282353544521925, 'beta_1': 0.9813871903200138, 'epsilon': 2.790205672405958e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 15, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 44.56 GiB of which 998.69 MiB is free. Including non-PyTorch memory, this process has 43.58 GiB memory in use. Of the allocated memory 38.70 GiB is allocated by PyTorch, and 3.73 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-09 06:14:08,103] Trial 276 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9693533186826959, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 247, 'number_of_hidden_layers': 2, 'dropout_rate': 0.49478040337067974, 'global_pooling': 'mean', 'learning_rate': 0.0002722845963703036, 'weight_decay': 1.134181261515704e-06, 'beta_0': 0.8137639789428738, 'beta_1': 0.982448516778759, 'epsilon': 5.4265521666811155e-06, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 19, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-09 06:14:09,566] Trial 277 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.965383764115792, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 104, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5786715768180423, 'global_pooling': 'mean', 'learning_rate': 0.000996654999542086, 'weight_decay': 1.5215228278246728e-06, 'beta_0': 0.8612837037672024, 'beta_1': 0.9803629119392627, 'epsilon': 1.2956886278976003e-06, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 3.70 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.58 GiB is free. Including non-PyTorch memory, this process has 40.97 GiB memory in use. Of the allocated memory 37.13 GiB is allocated by PyTorch, and 2.69 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-09 06:27:44,905] Trial 278 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9627292474603878, 'batch_size': 19, 'attention_heads': 16, 'hidden_dimension': 114, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5684556839106449, 'global_pooling': 'mean', 'learning_rate': 0.0004676379680454557, 'weight_decay': 1.7475744792848928e-06, 'beta_0': 0.8671912007394514, 'beta_1': 0.9810616746569443, 'epsilon': 3.859061000521337e-06, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 598.00 MiB. GPU 0 has a total capacity of 44.56 GiB of which 34.69 MiB is free. Including non-PyTorch memory, this process has 44.52 GiB memory in use. Of the allocated memory 40.43 GiB is allocated by PyTorch, and 2.94 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-09 06:41:06,693] Trial 279 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9058994788619632, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 109, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5950863893063011, 'global_pooling': 'sum', 'learning_rate': 0.0003401186878506907, 'weight_decay': 1.0179070817251447e-06, 'beta_0': 0.8594055676474703, 'beta_1': 0.984165972598922, 'epsilon': 9.989858345118696e-06, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 06:59:18,986] Trial 280 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9678640127022626, 'batch_size': 20, 'attention_heads': 5, 'hidden_dimension': 122, 'number_of_hidden_layers': 0, 'dropout_rate': 0.58587745684575, 'global_pooling': 'mean', 'learning_rate': 0.0007113498235051813, 'weight_decay': 1.2866670911393723e-06, 'beta_0': 0.8521536146348604, 'beta_1': 0.9818722826822621, 'epsilon': 7.612011541237462e-06, 'balanced_loss': True, 'epochs': 186, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 07:10:43,388] Trial 281 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.952954779886098, 'batch_size': 18, 'attention_heads': 9, 'hidden_dimension': 95, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5999597334638106, 'global_pooling': 'mean', 'learning_rate': 0.0005555872393887892, 'weight_decay': 2.4938798881090426e-06, 'beta_0': 0.8384812144618294, 'beta_1': 0.983262990837914, 'epsilon': 4.5514857203419123e-07, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 13, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 3.27 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.09 GiB is free. Including non-PyTorch memory, this process has 42.46 GiB memory in use. Of the allocated memory 39.38 GiB is allocated by PyTorch, and 1.94 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-09 07:24:19,091] Trial 282 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9608125418948531, 'batch_size': 21, 'attention_heads': 14, 'hidden_dimension': 114, 'number_of_hidden_layers': 4, 'dropout_rate': 0.48645364207468417, 'global_pooling': 'mean', 'learning_rate': 0.0008520012858289915, 'weight_decay': 1.4662024214969062e-06, 'beta_0': 0.8642120435644899, 'beta_1': 0.9807040025888288, 'epsilon': 9.70233788621142e-07, 'balanced_loss': True, 'epochs': 167, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 07:38:43,218] Trial 283 finished with value: 0.896969696969697 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9732960177335505, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 100, 'number_of_hidden_layers': 0, 'dropout_rate': 0.574202294311048, 'global_pooling': 'mean', 'learning_rate': 0.0003940061444592653, 'weight_decay': 0.000535141631020011, 'beta_0': 0.8571146545731683, 'beta_1': 0.9829398497787071, 'epsilon': 3.367505729865847e-07, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 16, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 07:56:30,442] Trial 284 finished with value: 0.9090909090909091 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9663388216609985, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 105, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5890635639854787, 'global_pooling': 'mean', 'learning_rate': 0.0012412330025210968, 'weight_decay': 1.9884196667169535e-06, 'beta_0': 0.8623999295551397, 'beta_1': 0.9824204769576566, 'epsilon': 5.89955135863742e-06, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 08:11:10,347] Trial 285 finished with value: 0.9090909090909091 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9628067809848267, 'batch_size': 17, 'attention_heads': 4, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5811267126561325, 'global_pooling': 'mean', 'learning_rate': 0.0006737231641112222, 'weight_decay': 1.7068605784094518e-06, 'beta_0': 0.866059572146514, 'beta_1': 0.9815733263504933, 'epsilon': 4.609820489486389e-06, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 18, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 08:26:31,246] Trial 286 finished with value: 0.9151515151515152 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9708976897070581, 'batch_size': 51, 'attention_heads': 4, 'hidden_dimension': 129, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45111607735576564, 'global_pooling': 'mean', 'learning_rate': 0.0004638981507791458, 'weight_decay': 1.3052229645099836e-06, 'beta_0': 0.8698062399554002, 'beta_1': 0.9838255569918711, 'epsilon': 6.053505648512723e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 18, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 08:42:07,950] Trial 287 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9710994306560541, 'batch_size': 61, 'attention_heads': 4, 'hidden_dimension': 133, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43314573338128176, 'global_pooling': 'mean', 'learning_rate': 0.0004840785092375222, 'weight_decay': 1.4763136080506252e-06, 'beta_0': 0.8689470017627363, 'beta_1': 0.9838753585264761, 'epsilon': 5.062090500161938e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 18, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 08:57:23,370] Trial 288 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9695257001742305, 'batch_size': 52, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5949992494301348, 'global_pooling': 'mean', 'learning_rate': 0.0004149606593582863, 'weight_decay': 4.2951931830925975e-05, 'beta_0': 0.8708162378423935, 'beta_1': 0.9844537395599855, 'epsilon': 7.186783885671788e-07, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 09:15:56,730] Trial 289 finished with value: 0.8909090909090909 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9746238078768802, 'batch_size': 47, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.45232296159663066, 'global_pooling': 'mean', 'learning_rate': 0.00030245162115070343, 'weight_decay': 1.7602082520987534e-06, 'beta_0': 0.8699547784648035, 'beta_1': 0.9832690821551068, 'epsilon': 5.407840377444305e-07, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 3.57 GiB. GPU 0 has a total capacity of 44.56 GiB of which 3.33 GiB is free. Including non-PyTorch memory, this process has 41.23 GiB memory in use. Of the allocated memory 35.30 GiB is allocated by PyTorch, and 4.78 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-09 09:29:41,347] Trial 290 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9680904588185553, 'batch_size': 58, 'attention_heads': 5, 'hidden_dimension': 143, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4210800023421238, 'global_pooling': 'mean', 'learning_rate': 0.0005788216769194622, 'weight_decay': 1.3093224413588312e-06, 'beta_0': 0.8618704483912142, 'beta_1': 0.9836986716793553, 'epsilon': 6.462211576139243e-07, 'balanced_loss': True, 'epochs': 179, 'early_stopping_patience': 19, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 09:43:16,359] Trial 291 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 0, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9645351787257063, 'batch_size': 22, 'attention_heads': 4, 'hidden_dimension': 124, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4457363252766616, 'global_pooling': 'mean', 'learning_rate': 0.0004919537355508337, 'weight_decay': 1.5582805286422704e-06, 'beta_0': 0.8645388254150077, 'beta_1': 0.9828939571952088, 'epsilon': 8.055029277282302e-07, 'balanced_loss': True, 'epochs': 182, 'early_stopping_patience': 16, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 09:59:00,822] Trial 292 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9717132517161017, 'batch_size': 55, 'attention_heads': 4, 'hidden_dimension': 135, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5854673332938627, 'global_pooling': 'mean', 'learning_rate': 0.0003532523198540321, 'weight_decay': 2.111149009722542e-06, 'beta_0': 0.8673373361609186, 'beta_1': 0.9840721334383455, 'epsilon': 4.0790184439316973e-07, 'balanced_loss': True, 'epochs': 75, 'early_stopping_patience': 15, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
The selected strides are greater or equal to the total chunk size.
[I 2025-03-09 09:59:02,307] Trial 293 finished with value: -1.0 and parameters: {'left_stride': 256, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9769674263228713, 'batch_size': 22, 'attention_heads': 5, 'hidden_dimension': 90, 'number_of_hidden_layers': 0, 'dropout_rate': 0.558313295179204, 'global_pooling': 'mean', 'learning_rate': 0.0008002398509358222, 'weight_decay': 1.1570742967132924e-06, 'beta_0': 0.8721468901067513, 'beta_1': 0.9835869796734127, 'epsilon': 2.1017222999226415e-07, 'balanced_loss': True, 'epochs': 170, 'early_stopping_patience': 17, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 10:14:21,983] Trial 294 finished with value: 0.8787878787878788 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9591437037770149, 'batch_size': 53, 'attention_heads': 4, 'hidden_dimension': 111, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5931197736410482, 'global_pooling': 'max', 'learning_rate': 0.0006051838073383215, 'weight_decay': 1.3853305660454834e-06, 'beta_0': 0.8603620462848687, 'beta_1': 0.9826619512119485, 'epsilon': 2.552653684564413e-07, 'balanced_loss': True, 'epochs': 165, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 10:29:09,032] Trial 295 finished with value: 0.9090909090909091 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9615671113676258, 'batch_size': 20, 'attention_heads': 4, 'hidden_dimension': 119, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5788156689490781, 'global_pooling': 'mean', 'learning_rate': 0.00044994806707748363, 'weight_decay': 1.850166256442786e-06, 'beta_0': 0.8569816511763084, 'beta_1': 0.9821590789844522, 'epsilon': 5.855097444252428e-07, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 18, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 10:46:38,174] Trial 296 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.966763897893624, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 107, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5733471561028323, 'global_pooling': 'mean', 'learning_rate': 0.0010804068927005696, 'weight_decay': 8.838024937040789e-05, 'beta_0': 0.8589953963319984, 'beta_1': 0.983345926579156, 'epsilon': 4.2689946546826566e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 11:00:59,893] Trial 297 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9644798080701155, 'batch_size': 21, 'attention_heads': 4, 'hidden_dimension': 115, 'number_of_hidden_layers': 0, 'dropout_rate': 0.42824453229904624, 'global_pooling': 'mean', 'learning_rate': 0.000656063812201383, 'weight_decay': 2.4201681084309655e-05, 'beta_0': 0.8632299012984097, 'beta_1': 0.9828698629626043, 'epsilon': 2.939144065674064e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 11:15:09,285] Trial 298 finished with value: 0.8848484848484849 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9699503650405624, 'batch_size': 16, 'attention_heads': 4, 'hidden_dimension': 131, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5889799759764066, 'global_pooling': 'mean', 'learning_rate': 0.0003926516861840112, 'weight_decay': 0.0004013962234652322, 'beta_0': 0.8655097582536709, 'beta_1': 0.9851492741393757, 'epsilon': 3.421051283633677e-07, 'balanced_loss': True, 'epochs': 172, 'early_stopping_patience': 18, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
CUDA out of memory. Tried to allocate 2.71 GiB. GPU 0 has a total capacity of 44.56 GiB of which 2.67 GiB is free. Including non-PyTorch memory, this process has 41.88 GiB memory in use. Of the allocated memory 35.06 GiB is allocated by PyTorch, and 5.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2025-03-09 11:29:19,255] Trial 299 finished with value: -1.0 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.9563598422767663, 'batch_size': 49, 'attention_heads': 4, 'hidden_dimension': 125, 'number_of_hidden_layers': 0, 'dropout_rate': 0.43912651246867734, 'global_pooling': 'mean', 'learning_rate': 0.0005319078358573689, 'weight_decay': 1.6481905516325118e-06, 'beta_0': 0.8615225896564713, 'beta_1': 0.9839118037785135, 'epsilon': 9.072129983913216e-07, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 16, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 11:45:45,248] Trial 300 finished with value: 0.8606060606060606 and parameters: {'left_stride': 32, 'right_stride': 128, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9724586407714221, 'batch_size': 18, 'attention_heads': 5, 'hidden_dimension': 112, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5833092521382927, 'global_pooling': 'sum', 'learning_rate': 0.0007980755962072578, 'weight_decay': 2.3569993119521444e-06, 'beta_0': 0.8586990395024969, 'beta_1': 0.9833959570048535, 'epsilon': 8.837501719425847e-08, 'balanced_loss': True, 'epochs': 176, 'early_stopping_patience': 13, 'plateau_patience': 18, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 12:03:44,933] Trial 301 finished with value: 0.896969696969697 and parameters: {'left_stride': 256, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9629244269457713, 'batch_size': 19, 'attention_heads': 4, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5931530850030968, 'global_pooling': 'mean', 'learning_rate': 0.0003005046346230702, 'weight_decay': 1.4295955475118348e-06, 'beta_0': 0.8556271882696753, 'beta_1': 0.9843486324371735, 'epsilon': 4.794932182483273e-07, 'balanced_loss': True, 'epochs': 183, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 12:19:27,544] Trial 302 finished with value: 0.9030303030303031 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9504225792746998, 'batch_size': 18, 'attention_heads': 4, 'hidden_dimension': 118, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5660863699072802, 'global_pooling': 'mean', 'learning_rate': 0.0004642855195421644, 'weight_decay': 1.252653279672392e-06, 'beta_0': 0.8639522286121697, 'beta_1': 0.982435492474067, 'epsilon': 3.624907408755622e-06, 'balanced_loss': True, 'epochs': 168, 'early_stopping_patience': 23, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 151 with value: 0.9212121212121213.
[I 2025-03-09 12:33:48,155] Trial 303 finished with value: 0.8909090909090909 and parameters: {'left_stride': 32, 'right_stride': 64, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.9679050674134904, 'batch_size': 23, 'attention_heads': 4, 'hidden_dimension': 108, 'number_of_hidden_layers': 0, 'dropout_rate': 0.5860004009680453, 'global_pooling': 'mean', 'learning_rate': 0.0009378010224448159, 'weight_decay': 1.920925225045854e-06, 'beta_0': 0.8674835928019963, 'beta_1': 0.9830138339480845, 'epsilon': 6.278718026803691e-07, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 17, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 151 with value: 0.9212121212121213.
