[I 2024-12-04 10:48:56,416] Using an existing study with name 'Ohsumed-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-04 11:07:47,541] Trial 177 finished with value: 0.5594853693070184 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8162888424088105, 'batch_size': 89, 'attention_heads': 5, 'hidden_dimension': 179, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35826118309941773, 'global_pooling': 'mean', 'learning_rate': 0.00128300482062285, 'weight_decay': 9.652624869215323e-06, 'beta_0': 0.8286363772962065, 'beta_1': 0.9887392118364018, 'epsilon': 2.7529179122633776e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 09:05:36,339] Trial 252 finished with value: 0.6098179788023349 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.817270686375264, 'batch_size': 82, 'attention_heads': 4, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.350290174960638, 'global_pooling': 'mean', 'learning_rate': 0.0014380566164433188, 'weight_decay': 0.00018866344012256664, 'beta_0': 0.887947059737681, 'beta_1': 0.9891491883991888, 'epsilon': 2.3810540393845217e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 09:22:53,134] Trial 253 finished with value: 0.5714034826673055 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8100668502372629, 'batch_size': 83, 'attention_heads': 4, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.365515834470186, 'global_pooling': 'mean', 'learning_rate': 0.0021358957220792476, 'weight_decay': 0.0001915559765575721, 'beta_0': 0.8893778530010343, 'beta_1': 0.9893839006714203, 'epsilon': 2.300172738165312e-08, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 09:38:21,601] Trial 254 finished with value: 0.5802006737616668 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8973583327543909, 'batch_size': 81, 'attention_heads': 4, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3500730909559198, 'global_pooling': 'mean', 'learning_rate': 0.0014477583885613697, 'weight_decay': 0.00015341988647571593, 'beta_0': 0.8872967011228113, 'beta_1': 0.9856848960149167, 'epsilon': 6.055029918955448e-08, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 09:53:37,071] Trial 255 finished with value: 0.046943061803638955 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8159587912487765, 'batch_size': 93, 'attention_heads': 4, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.36013423915612075, 'global_pooling': 'mean', 'learning_rate': 0.07066497681701205, 'weight_decay': 0.00013038355903973397, 'beta_0': 0.8354135830205424, 'beta_1': 0.9903158499620209, 'epsilon': 8.018105091836943e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 10:11:24,619] Trial 256 finished with value: 0.5827285802993017 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8222266367318917, 'batch_size': 90, 'attention_heads': 5, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.35195205964496074, 'global_pooling': 'mean', 'learning_rate': 0.0018543459021398278, 'weight_decay': 2.0415629001066806e-06, 'beta_0': 0.8281151170320914, 'beta_1': 0.9852259540965612, 'epsilon': 4.7182306953849615e-08, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 10:28:43,327] Trial 257 finished with value: 0.5878831651238147 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8113670763520233, 'batch_size': 87, 'attention_heads': 4, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34515226752328904, 'global_pooling': 'mean', 'learning_rate': 0.001490931361348686, 'weight_decay': 1.3218853837947917e-05, 'beta_0': 0.8907809049147078, 'beta_1': 0.9889747110075581, 'epsilon': 3.503276950016757e-08, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 10:46:51,309] Trial 258 finished with value: 0.5459939059055645 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8031091437851691, 'batch_size': 84, 'attention_heads': 4, 'hidden_dimension': 137, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3550763533493177, 'global_pooling': 'mean', 'learning_rate': 0.0008005469058557299, 'weight_decay': 0.00021949820725447497, 'beta_0': 0.8370382385730956, 'beta_1': 0.9859960193976796, 'epsilon': 2.3347831627818975e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 5}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 11:02:02,953] Trial 259 finished with value: 0.5661039053478529 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.917418525782356, 'batch_size': 98, 'attention_heads': 4, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3674134506856579, 'global_pooling': 'mean', 'learning_rate': 0.0010126464964197797, 'weight_decay': 7.97416223029397e-06, 'beta_0': 0.8320142415673756, 'beta_1': 0.9936313728531893, 'epsilon': 5.611662541583436e-08, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 9}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 11:19:16,064] Trial 260 finished with value: 0.5643164450739286 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8185395865383412, 'batch_size': 95, 'attention_heads': 4, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.34360422902101795, 'global_pooling': 'mean', 'learning_rate': 0.0005693552413440151, 'weight_decay': 1.595042705724949e-05, 'beta_0': 0.8343811424650118, 'beta_1': 0.9866985653483645, 'epsilon': 4.171740790553859e-08, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 11:39:14,863] Trial 261 finished with value: 0.5623800014084864 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8072277129200511, 'batch_size': 80, 'attention_heads': 4, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3599590910510409, 'global_pooling': 'max', 'learning_rate': 0.001284095620185711, 'weight_decay': 8.275223300304483e-05, 'beta_0': 0.8929812463724741, 'beta_1': 0.9846508330615111, 'epsilon': 6.703652782615972e-08, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 11:55:20,572] Trial 262 finished with value: 0.36453956439342755 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8133696757300001, 'batch_size': 82, 'attention_heads': 5, 'hidden_dimension': 174, 'number_of_hidden_layers': 1, 'dropout_rate': 0.497440362713505, 'global_pooling': 'mean', 'learning_rate': 0.0016580937803423613, 'weight_decay': 0.00018121417980783327, 'beta_0': 0.8421825212031684, 'beta_1': 0.9854503199367494, 'epsilon': 3.158031069951029e-08, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 9}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 12:12:12,480] Trial 263 finished with value: 0.5910841651129012 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8210076082100851, 'batch_size': 48, 'attention_heads': 4, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.33475680149207465, 'global_pooling': 'mean', 'learning_rate': 0.0010994018904322356, 'weight_decay': 0.00014682188582109876, 'beta_0': 0.8297990642387842, 'beta_1': 0.9883557595868853, 'epsilon': 2.055645900270181e-08, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 22, 'plateau_patience': 16, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 12:28:32,734] Trial 264 finished with value: 0.546923667992055 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8000406529600167, 'batch_size': 92, 'attention_heads': 4, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3500795900011367, 'global_pooling': 'mean', 'learning_rate': 0.0022802462198887948, 'weight_decay': 0.00011168163889802943, 'beta_0': 0.8313558108407424, 'beta_1': 0.9864037336640832, 'epsilon': 2.5874299497735714e-08, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 17, 'plateau_divider': 10}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 12:41:50,469] Trial 265 finished with value: 0.5296585341339118 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9871596350564519, 'batch_size': 88, 'attention_heads': 4, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3427995141287026, 'global_pooling': 'mean', 'learning_rate': 0.0008426905794641276, 'weight_decay': 5.989014983888206e-05, 'beta_0': 0.8378218054583807, 'beta_1': 0.9896524380493296, 'epsilon': 1.509286144585793e-08, 'balanced_loss': True, 'epochs': 84, 'early_stopping_patience': 23, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 12:58:35,858] Trial 266 finished with value: 0.5623563217946327 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8403217434348191, 'batch_size': 99, 'attention_heads': 5, 'hidden_dimension': 133, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3728221320598962, 'global_pooling': 'mean', 'learning_rate': 0.0012648886285788524, 'weight_decay': 1.7976731930627467e-05, 'beta_0': 0.8270338342684053, 'beta_1': 0.9849581447049535, 'epsilon': 4.7216463396759586e-08, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 9}. Best is trial 146 with value: 0.6231222973387793.
[I 2024-12-05 13:12:13,100] Trial 267 finished with value: 0.569464409498769 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.9684330338995887, 'batch_size': 102, 'attention_heads': 4, 'hidden_dimension': 179, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3077624182183458, 'global_pooling': 'mean', 'learning_rate': 0.0014930978224722378, 'weight_decay': 2.1786113954799143e-05, 'beta_0': 0.8338735571580339, 'beta_1': 0.9857672948553597, 'epsilon': 3.7210748716913725e-08, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 22, 'plateau_patience': 18, 'plateau_divider': 3}. Best is trial 146 with value: 0.6231222973387793.

[TRIAL] 146 [VALIDATION PERFORMANCE] 0.6231222973387793 [TRAINING LOSS] 0.012355506139132997 [VALIDATION LOSS] 2.866036519408226 

number                                     146
value                                 0.623122
params_threshold                      0.816495
params_attention_heads                       5
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation         max
params_batch_size                           94
params_dropout_rate                   0.350983
params_early_stopping_patience              22
params_epochs                              100
params_global_pooling                     mean
params_hidden_dimension                    162
params_learning_rate                  0.001237
params_number_of_hidden_layers               1
params_plateau_divider                      10
params_plateau_patience                     17
params_weight_decay                   0.000072
params_beta_0                         0.841119
params_beta_1                          0.98596
params_epsilon                             0.0
user_attrs_epoch                          51.0
user_attrs_training_loss              0.012356
user_attrs_validation_loss            2.866037
Name: 146, dtype: object
37 Val: 0.5913215724025694 Test: 0.6054081514194475
38 Val: 0.5669264740388791 Test: 0.5696047260786559
39 Val: 0.3929916589744241 Test: 0.3880260486770619
40 Val: 0.5920737582456056 Test: 0.6074319864229907
41 Val: 0.4968409371440509 Test: 0.5159718178708804
42 Val: 0.579742578450395 Test: 0.5917159340567403
43 Val: 0.5675473231531736 Test: 0.58203816857641
44 Val: 0.5738145923057083 Test: 0.5733469321790304
45 Val: 0.5749769231430565 Test: 0.586828276294627
46 Val: 0.5541699046426283 Test: 0.6000391893467981
Validation performance: 39.3 & 54.9 ± 6.11 & 59.21
Testing performance: 38.8 & 56.2 ± 6.66 & 60.74

[TRIAL] 225 [VALIDATION PERFORMANCE] 0.6187094042472235 [TRAINING LOSS] 0.025177754860903536 [VALIDATION LOSS] 2.495670352663313 

number                                     225
value                                 0.618709
params_threshold                      0.833912
params_attention_heads                       4
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation        mean
params_batch_size                           99
params_dropout_rate                   0.360466
params_early_stopping_patience              22
params_epochs                              106
params_global_pooling                     mean
params_hidden_dimension                    175
params_learning_rate                  0.001001
params_number_of_hidden_layers               1
params_plateau_divider                       4
params_plateau_patience                     17
params_weight_decay                   0.000033
params_beta_0                         0.836608
params_beta_1                         0.987879
params_epsilon                             0.0
user_attrs_epoch                          45.0
user_attrs_training_loss              0.025178
user_attrs_validation_loss             2.49567
Name: 225, dtype: object
37 Val: 0.5818594107360312 Test: 0.5955018481688773
38 Val: 0.6061534730416919 Test: 0.576926400617618
39 Val: 0.554065881090261 Test: 0.5861681525116689
40 Val: 0.5853245477628206 Test: 0.6012037144916954
41 Val: 0.522559340352851 Test: 0.5512967177489376
42 Val: 0.5744622323251565 Test: 0.5618114809600948
43 Val: 0.5933875653519801 Test: 0.5753414207444232
44 Val: 0.5713034774641089 Test: 0.5890348830827733
45 Val: 0.583633613359605 Test: 0.589812877814618
46 Val: 0.6116746045211571 Test: 0.5968718226748482
Validation performance: 52.26 & 57.84 ± 2.57 & 61.17
Testing performance: 55.13 & 58.24 ± 1.61 & 60.12

[TRIAL] 136 [VALIDATION PERFORMANCE] 0.6141245511194311 [TRAINING LOSS] 0.03653685131575912 [VALIDATION LOSS] 2.9498846977949142 

number                                     136
value                                 0.614125
params_threshold                      0.817819
params_attention_heads                       4
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation         max
params_batch_size                           86
params_dropout_rate                   0.356041
params_early_stopping_patience              22
params_epochs                              107
params_global_pooling                     mean
params_hidden_dimension                    150
params_learning_rate                  0.001932
params_number_of_hidden_layers               1
params_plateau_divider                       9
params_plateau_patience                     17
params_weight_decay                   0.000156
params_beta_0                         0.835457
params_beta_1                         0.984955
params_epsilon                             0.0
user_attrs_epoch                          48.0
user_attrs_training_loss              0.036537
user_attrs_validation_loss            2.949885
Name: 136, dtype: object
37 Val: 0.5384116252596899 Test: 0.5517875291871467
38 Val: 0.5703252714160331 Test: 0.5781582778281116
39 Val: 0.5660854071203396 Test: 0.6016500987017838
40 Val: 0.5605749049292472 Test: 0.5686396559314846
41 Val: 0.5685028144584542 Test: 0.5871389826928393
42 Val: 0.5493076699912866 Test: 0.5436092971487684
43 Val: 0.5945756148308442 Test: 0.593323071402607
44 Val: 0.5622739609677041 Test: 0.5869048971252045
45 Val: 0.5928251379261785 Test: 0.6088808852728284
46 Val: 0.5540805528806684 Test: 0.5836815236283451
Validation performance: 53.84 & 56.57 ± 1.76 & 59.46
Testing performance: 54.36 & 58.04 ± 2.07 & 60.89

[TRIAL] 155 [VALIDATION PERFORMANCE] 0.6128630738407067 [TRAINING LOSS] 0.016033729338752373 [VALIDATION LOSS] 2.678467563220433 

number                                     155
value                                 0.612863
params_threshold                      0.808874
params_attention_heads                       4
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation         max
params_batch_size                           99
params_dropout_rate                   0.334353
params_early_stopping_patience              22
params_epochs                               92
params_global_pooling                     mean
params_hidden_dimension                    182
params_learning_rate                  0.001273
params_number_of_hidden_layers               1
params_plateau_divider                       3
params_plateau_patience                     18
params_weight_decay                   0.000024
params_beta_0                         0.828328
params_beta_1                          0.98485
params_epsilon                             0.0
user_attrs_epoch                          48.0
user_attrs_training_loss              0.016034
user_attrs_validation_loss            2.678468
Name: 155, dtype: object
37 Val: 0.5321256583864159 Test: 0.5526598228668651
38 Val: 0.5965965089958413 Test: 0.586487476027508
39 Val: 0.5784452895446127 Test: 0.5450744976976956
40 Val: 0.5708464349444106 Test: 0.5884312287390162
41 Val: 0.5567835279158438 Test: 0.5919194959352574
42 Val: 0.5879370689913532 Test: 0.5810161547674362
43 Val: 0.5987691499498667 Test: 0.5644111489037558
44 Val: 0.6073059436146364 Test: 0.6157901223872981
45 Val: 0.5538301416446564 Test: 0.5585828671566363
46 Val: 0.5841217721583468 Test: 0.525456918119145
Validation performance: 53.21 & 57.67 ± 2.34 & 60.73
Testing performance: 52.55 & 57.1 ± 2.66 & 61.58

[TRIAL] 215 [VALIDATION PERFORMANCE] 0.6111238870394415 [TRAINING LOSS] 0.011253705768467626 [VALIDATION LOSS] 2.9400212466716766 

number                                     215
value                                 0.611124
params_threshold                      0.841506
params_attention_heads                       4
params_balanced_loss                      True
params_embedding_pooling_operation         max
params_attention_pooling_operation        mean
params_batch_size                           84
params_dropout_rate                   0.336325
params_early_stopping_patience              22
params_epochs                               94
params_global_pooling                     mean
params_hidden_dimension                    168
params_learning_rate                  0.001112
params_number_of_hidden_layers               1
params_plateau_divider                       3
params_plateau_patience                     17
params_weight_decay                   0.000027
params_beta_0                         0.832077
params_beta_1                         0.987374
params_epsilon                             0.0
user_attrs_epoch                          49.0
user_attrs_training_loss              0.011254
user_attrs_validation_loss            2.940021
Name: 215, dtype: object
37 Val: 0.5991922265766068 Test: 0.5917635057874906
38 Val: 0.5797352381766564 Test: 0.5988799092044284
39 Val: 0.6042427740510642 Test: 0.605312024465581
40 Val: 0.6227381889822012 Test: 0.6054314158289158
41 Val: 0.5859905411212062 Test: 0.6028613765319646
42 Val: 0.6078769596472499 Test: 0.6044091692529584
43 Val: 0.5468674433965178 Test: 0.5607169079130232
44 Val: 0.5961071240986069 Test: 0.6022147675091978
45 Val: 0.56845580204552 Test: 0.5933276101295483
46 Val: 0.6143115427007458 Test: 0.5792319507656699
Validation performance: 54.69 & 59.26 ± 2.28 & 62.27
Testing performance: 56.07 & 59.44 ± 1.44 & 60.54

[Ohsumed] Elapsed time: 2462.196778098742 minutes.
