[I 2024-11-30 06:30:22,122] Using an existing study with name 'Ohsumed-GATv2-google-bert-bert-base-uncased-Grouped-Global_Aggregation' instead of creating a new one.
Token indices sequence length is longer than the specified maximum sequence length for this model (611 > 512). Running this sequence through the model will result in indexing errors
[I 2024-11-30 06:51:38,409] Trial 157 finished with value: 0.6134342704237122 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8631043782446879, 'batch_size': 61, 'attention_heads': 9, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.34998559553728703, 'global_pooling': 'max', 'learning_rate': 9.646769676645043e-05, 'weight_decay': 3.782985071063212e-06, 'beta_0': 0.8665279012455017, 'beta_1': 0.9867009454996012, 'epsilon': 1.1875098185159952e-06, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 13:03:51,607] Trial 229 finished with value: 0.6163600848249388 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8754592529979796, 'batch_size': 57, 'attention_heads': 16, 'hidden_dimension': 249, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4343532496619038, 'global_pooling': 'mean', 'learning_rate': 0.00016400184971271454, 'weight_decay': 1.3235896744126278e-05, 'beta_0': 0.8681819895993589, 'beta_1': 0.985704976204456, 'epsilon': 5.115276219423179e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 13:30:30,317] Trial 230 finished with value: 0.6003995135573418 and parameters: {'left_stride': 128, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8694354821536228, 'batch_size': 62, 'attention_heads': 15, 'hidden_dimension': 243, 'number_of_hidden_layers': 2, 'dropout_rate': 0.45924413101130257, 'global_pooling': 'mean', 'learning_rate': 0.0002928521547568501, 'weight_decay': 1.1983846505058966e-05, 'beta_0': 0.8645393632153472, 'beta_1': 0.9844492507361994, 'epsilon': 8.256447864788693e-07, 'balanced_loss': False, 'epochs': 113, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 13:59:56,277] Trial 231 finished with value: 0.5983738707542808 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.8652623311869571, 'batch_size': 64, 'attention_heads': 15, 'hidden_dimension': 240, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4902295232414361, 'global_pooling': 'mean', 'learning_rate': 0.00011933462970937344, 'weight_decay': 5.436182340548941e-06, 'beta_0': 0.8716194999441585, 'beta_1': 0.9863412535639833, 'epsilon': 3.1660814939824565e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 14:21:38,786] Trial 232 finished with value: 0.6313686616201347 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8743503051114574, 'batch_size': 59, 'attention_heads': 11, 'hidden_dimension': 233, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4812722208490812, 'global_pooling': 'mean', 'learning_rate': 0.0001356440262240986, 'weight_decay': 8.998447561000845e-06, 'beta_0': 0.875285455985746, 'beta_1': 0.9874076085262827, 'epsilon': 8.785053967728558e-07, 'balanced_loss': False, 'epochs': 197, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 14:44:04,118] Trial 233 finished with value: 0.6259750785779208 and parameters: {'left_stride': 64, 'right_stride': 128, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8809777172864588, 'batch_size': 61, 'attention_heads': 11, 'hidden_dimension': 237, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4438137461440041, 'global_pooling': 'mean', 'learning_rate': 0.00015005642651378076, 'weight_decay': 7.506333378054655e-06, 'beta_0': 0.8704783506266074, 'beta_1': 0.9870506954856931, 'epsilon': 5.993280173260864e-07, 'balanced_loss': False, 'epochs': 194, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 15:09:09,396] Trial 234 finished with value: 0.6273620815838548 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8707803266773215, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 246, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3651274063390259, 'global_pooling': 'max', 'learning_rate': 0.0001973127833527921, 'weight_decay': 1.0111665667430422e-05, 'beta_0': 0.8729871049856202, 'beta_1': 0.9850796409195924, 'epsilon': 9.836061199095578e-07, 'balanced_loss': False, 'epochs': 110, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 15:34:56,681] Trial 235 finished with value: 0.6390318356728865 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.886537448971784, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 228, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3855385519157379, 'global_pooling': 'max', 'learning_rate': 0.00010441156341491027, 'weight_decay': 4.632431059391231e-06, 'beta_0': 0.8663110193478443, 'beta_1': 0.9866538746650043, 'epsilon': 4.5102102356396177e-07, 'balanced_loss': False, 'epochs': 104, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 16:00:01,647] Trial 236 finished with value: 0.5632536408720863 and parameters: {'left_stride': 64, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8896477542839166, 'batch_size': 54, 'attention_heads': 15, 'hidden_dimension': 229, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3778539188767, 'global_pooling': 'sum', 'learning_rate': 0.00010095861581034833, 'weight_decay': 4.2004906342141955e-06, 'beta_0': 0.8666592170896986, 'beta_1': 0.9866027361445534, 'epsilon': 4.6978224937657557e-07, 'balanced_loss': False, 'epochs': 105, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 16:28:54,689] Trial 237 finished with value: 0.6212482908318152 and parameters: {'left_stride': 64, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8857232987011459, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 223, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39575735864889144, 'global_pooling': 'max', 'learning_rate': 7.403095138781587e-05, 'weight_decay': 4.686612039759564e-06, 'beta_0': 0.8640199357317795, 'beta_1': 0.9861260395484786, 'epsilon': 1.2742611446876285e-08, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 16:54:57,497] Trial 238 finished with value: 0.5228671952214619 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.8791402792362573, 'batch_size': 52, 'attention_heads': 15, 'hidden_dimension': 220, 'number_of_hidden_layers': 2, 'dropout_rate': 0.44859340350016247, 'global_pooling': 'max', 'learning_rate': 0.00011365036872583457, 'weight_decay': 5.93321327607114e-06, 'beta_0': 0.8621623199592708, 'beta_1': 0.9856571331757916, 'epsilon': 4.3550772030572257e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 25, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 17:24:25,541] Trial 239 finished with value: 0.6326012229585402 and parameters: {'left_stride': 64, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8834415366541422, 'batch_size': 69, 'attention_heads': 16, 'hidden_dimension': 232, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38582140493680156, 'global_pooling': 'mean', 'learning_rate': 8.455360905790212e-05, 'weight_decay': 6.935595922668951e-06, 'beta_0': 0.8473923135145561, 'beta_1': 0.9867897382630841, 'epsilon': 6.556761403078155e-07, 'balanced_loss': False, 'epochs': 108, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 125 with value: 0.6536439010367193.
[I 2024-12-01 17:49:01,545] Trial 240 finished with value: 0.6538786258024639 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8946155188455043, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 240, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3657417682090881, 'global_pooling': 'max', 'learning_rate': 0.00017736214446425244, 'weight_decay': 3.882247367024715e-06, 'beta_0': 0.8682984240666892, 'beta_1': 0.9859603827022971, 'epsilon': 3.539344549218814e-07, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 18:13:11,455] Trial 241 finished with value: 0.6090192280061051 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9053451553734797, 'batch_size': 55, 'attention_heads': 15, 'hidden_dimension': 226, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5400878193325078, 'global_pooling': 'max', 'learning_rate': 0.00017816796070765196, 'weight_decay': 3.874240364197157e-06, 'beta_0': 0.868387413021681, 'beta_1': 0.9862130930999299, 'epsilon': 3.4447476797064125e-07, 'balanced_loss': False, 'epochs': 95, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 18:36:55,871] Trial 242 finished with value: 0.6389270324027034 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8908817764701413, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 241, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35945160957723443, 'global_pooling': 'max', 'learning_rate': 0.00013459746553268887, 'weight_decay': 3.430585386698629e-06, 'beta_0': 0.8665452467123989, 'beta_1': 0.9853208628852556, 'epsilon': 2.692616448323303e-07, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 19:00:17,074] Trial 243 finished with value: 0.6288957818319657 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8926226906230253, 'batch_size': 53, 'attention_heads': 15, 'hidden_dimension': 240, 'number_of_hidden_layers': 2, 'dropout_rate': 0.35633326321507736, 'global_pooling': 'max', 'learning_rate': 0.00015117607809235847, 'weight_decay': 3.4432978360374375e-06, 'beta_0': 0.8664238776571962, 'beta_1': 0.98513678748108, 'epsilon': 2.7270550956268317e-07, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 19:24:07,473] Trial 244 finished with value: 0.6167028188303929 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8960204489576753, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 236, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36280716452525275, 'global_pooling': 'max', 'learning_rate': 0.00023507982996977419, 'weight_decay': 4.886040381927888e-06, 'beta_0': 0.8693019417391056, 'beta_1': 0.9855088887545388, 'epsilon': 3.034048652708815e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 19:46:47,388] Trial 245 finished with value: 0.6322696075471 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8997378249833043, 'batch_size': 58, 'attention_heads': 14, 'hidden_dimension': 242, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3708051375100236, 'global_pooling': 'max', 'learning_rate': 0.00017958472583407995, 'weight_decay': 2.9528231117579073e-06, 'beta_0': 0.8650270500618941, 'beta_1': 0.9860056728259952, 'epsilon': 1.9580260407791564e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
CUDA out of memory. Tried to allocate 3.28 GiB. GPU 0 has a total capacity of 44.56 GiB of which 1.57 GiB is free. Including non-PyTorch memory, this process has 42.98 GiB memory in use. Of the allocated memory 41.40 GiB is allocated by PyTorch, and 444.35 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)
[I 2024-12-01 19:54:49,576] Trial 246 finished with value: -1.0 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8845947953588861, 'batch_size': 110, 'attention_heads': 15, 'hidden_dimension': 248, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36621197895143653, 'global_pooling': 'max', 'learning_rate': 0.00013380880710050372, 'weight_decay': 3.987425637382884e-06, 'beta_0': 0.8673417906840319, 'beta_1': 0.9848305579979252, 'epsilon': 2.3329571657485548e-07, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 20:19:20,602] Trial 247 finished with value: 0.6299101927910248 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8927376989598181, 'batch_size': 50, 'attention_heads': 15, 'hidden_dimension': 233, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3526395665249924, 'global_pooling': 'max', 'learning_rate': 0.00020597901726100416, 'weight_decay': 3.355869060080336e-06, 'beta_0': 0.8604702952605189, 'beta_1': 0.9853870118384913, 'epsilon': 3.9389533878860724e-07, 'balanced_loss': False, 'epochs': 96, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 20:46:26,720] Trial 248 finished with value: 0.6249056079457008 and parameters: {'left_stride': 0, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8888043800766263, 'batch_size': 66, 'attention_heads': 15, 'hidden_dimension': 253, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36137600848349194, 'global_pooling': 'max', 'learning_rate': 0.000163710263294023, 'weight_decay': 5.605349265355688e-06, 'beta_0': 0.863489937952518, 'beta_1': 0.9865229532124173, 'epsilon': 5.551300882273862e-07, 'balanced_loss': False, 'epochs': 92, 'early_stopping_patience': 25, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 21:13:34,217] Trial 249 finished with value: 0.637424548837961 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8944961440129765, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 244, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37430030062435665, 'global_pooling': 'max', 'learning_rate': 0.00012292044520674603, 'weight_decay': 4.269557012068737e-06, 'beta_0': 0.8692356406338939, 'beta_1': 0.9858335954589108, 'epsilon': 3.9707456420667554e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 21:39:30,086] Trial 250 finished with value: 0.6261186637745721 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.898780049992826, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 237, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37882858999068514, 'global_pooling': 'max', 'learning_rate': 0.00010072889297939697, 'weight_decay': 2.5723066052092693e-06, 'beta_0': 0.8697367072460271, 'beta_1': 0.985862708197139, 'epsilon': 2.6376423271253145e-07, 'balanced_loss': False, 'epochs': 98, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 22:03:57,388] Trial 251 finished with value: 0.6253881051599799 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8938510284489528, 'batch_size': 57, 'attention_heads': 15, 'hidden_dimension': 230, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3747109733078104, 'global_pooling': 'mean', 'learning_rate': 0.00012244635300207867, 'weight_decay': 4.229348241426982e-06, 'beta_0': 0.8714775442245872, 'beta_1': 0.9869906900253544, 'epsilon': 3.653721707025906e-07, 'balanced_loss': False, 'epochs': 106, 'early_stopping_patience': 24, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 22:31:41,941] Trial 252 finished with value: 0.6215014378308775 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8921430276209001, 'batch_size': 54, 'attention_heads': 16, 'hidden_dimension': 249, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5025396264052306, 'global_pooling': 'max', 'learning_rate': 0.00013890222460604643, 'weight_decay': 4.557321994689811e-06, 'beta_0': 0.868163767004587, 'beta_1': 0.9863316175272662, 'epsilon': 7.556772203721974e-07, 'balanced_loss': False, 'epochs': 112, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 22:50:33,014] Trial 253 finished with value: 0.6274604556553558 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.886002267017641, 'batch_size': 59, 'attention_heads': 15, 'hidden_dimension': 143, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3728103343936338, 'global_pooling': 'max', 'learning_rate': 0.00010184079819213038, 'weight_decay': 3.534987579448577e-06, 'beta_0': 0.8661777196987235, 'beta_1': 0.9867611156419542, 'epsilon': 4.2450874617742454e-07, 'balanced_loss': False, 'epochs': 103, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 23:16:59,747] Trial 254 finished with value: 0.5876179707928094 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.8876289565461469, 'batch_size': 62, 'attention_heads': 15, 'hidden_dimension': 241, 'number_of_hidden_layers': 2, 'dropout_rate': 0.39113269528709294, 'global_pooling': 'max', 'learning_rate': 0.00011856313941082907, 'weight_decay': 8.219570026638837e-06, 'beta_0': 0.874770462214942, 'beta_1': 0.9858432913153323, 'epsilon': 1.3841755103622657e-07, 'balanced_loss': False, 'epochs': 94, 'early_stopping_patience': 23, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-01 23:41:17,974] Trial 255 finished with value: 0.6188420712243962 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8988579020456364, 'batch_size': 56, 'attention_heads': 15, 'hidden_dimension': 246, 'number_of_hidden_layers': 2, 'dropout_rate': 0.36621311050351807, 'global_pooling': 'mean', 'learning_rate': 0.00014872927014860502, 'weight_decay': 3.046035700410041e-06, 'beta_0': 0.8705166848228881, 'beta_1': 0.9873395653313379, 'epsilon': 3.2024303139026296e-07, 'balanced_loss': False, 'epochs': 101, 'early_stopping_patience': 25, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-02 00:08:40,923] Trial 256 finished with value: 0.6528646841377832 and parameters: {'left_stride': 0, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8956352725323681, 'batch_size': 60, 'attention_heads': 15, 'hidden_dimension': 239, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3800309288169127, 'global_pooling': 'max', 'learning_rate': 8.06591315970836e-05, 'weight_decay': 1.2323037564150343e-05, 'beta_0': 0.80529656444096, 'beta_1': 0.9844186639250674, 'epsilon': 5.292589562254272e-07, 'balanced_loss': False, 'epochs': 200, 'early_stopping_patience': 25, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-02 00:37:41,111] Trial 257 finished with value: 0.634949163246051 and parameters: {'left_stride': 0, 'right_stride': 32, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8905999945377222, 'batch_size': 61, 'attention_heads': 16, 'hidden_dimension': 241, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3846982583150595, 'global_pooling': 'max', 'learning_rate': 6.419516150416657e-05, 'weight_decay': 1.1862784085058851e-05, 'beta_0': 0.8671470570704816, 'beta_1': 0.9839658454760715, 'epsilon': 5.378561912544548e-07, 'balanced_loss': False, 'epochs': 198, 'early_stopping_patience': 24, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-02 01:03:43,886] Trial 258 finished with value: 0.6197097454638189 and parameters: {'left_stride': 256, 'right_stride': 0, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9013094888530518, 'batch_size': 52, 'attention_heads': 15, 'hidden_dimension': 255, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37953404179224715, 'global_pooling': 'max', 'learning_rate': 7.429464032271006e-05, 'weight_decay': 1.4818654428140755e-05, 'beta_0': 0.8033518833611868, 'beta_1': 0.986324930573164, 'epsilon': 3.918147565115139e-07, 'balanced_loss': False, 'epochs': 100, 'early_stopping_patience': 21, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-02 01:27:02,510] Trial 259 finished with value: 0.6158378854697398 and parameters: {'left_stride': 0, 'right_stride': 64, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.8962247420247044, 'batch_size': 59, 'attention_heads': 15, 'hidden_dimension': 238, 'number_of_hidden_layers': 2, 'dropout_rate': 0.37213507453594524, 'global_pooling': 'max', 'learning_rate': 9.351156664991196e-05, 'weight_decay': 9.947935285967301e-05, 'beta_0': 0.8119753125275005, 'beta_1': 0.9844885524034392, 'epsilon': 2.1462508295637557e-07, 'balanced_loss': False, 'epochs': 97, 'early_stopping_patience': 17, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.
[I 2024-12-02 01:52:20,124] Trial 260 finished with value: 0.6202304636536529 and parameters: {'left_stride': 64, 'right_stride': 256, 'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.8943880598613548, 'batch_size': 63, 'attention_heads': 15, 'hidden_dimension': 245, 'number_of_hidden_layers': 2, 'dropout_rate': 0.38729098243717014, 'global_pooling': 'max', 'learning_rate': 8.344871718824174e-05, 'weight_decay': 3.5634897496594334e-05, 'beta_0': 0.8650931481852686, 'beta_1': 0.9871468460571985, 'epsilon': 2.935342483715608e-07, 'balanced_loss': False, 'epochs': 195, 'early_stopping_patience': 15, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 240 with value: 0.6538786258024639.

[TRIAL] 240 [VALIDATION PERFORMANCE] 0.6538786258024639 [TRAINING LOSS] 0.012260074193667 [VALIDATION LOSS] 1.764312411348025 

number                                     240
value                                 0.653879
params_threshold                      0.894616
params_attention_heads                      15
params_balanced_loss                     False
params_embedding_pooling_operation        mean
params_attention_pooling_operation         max
params_batch_size                           56
params_dropout_rate                   0.365742
params_early_stopping_patience              24
params_epochs                               97
params_global_pooling                      max
params_hidden_dimension                    240
params_learning_rate                  0.000177
params_number_of_hidden_layers               2
params_plateau_divider                       7
params_plateau_patience                     21
params_weight_decay                   0.000004
params_beta_0                         0.868298
params_beta_1                          0.98596
params_epsilon                             0.0
user_attrs_epoch                          35.0
user_attrs_training_loss               0.01226
user_attrs_validation_loss            1.764312
params_left_stride                           0
params_right_stride                        256
Name: 240, dtype: object
37 Val: 0.6368237072702381 Test: 0.6040734481451573
38 Val: 0.6451746561683682 Test: 0.6088523150914927
39 Val: 0.6147385918747669 Test: 0.6188032128782757
40 Val: 0.6244963751513458 Test: 0.5986029626288482
41 Val: 0.6275909182180477 Test: 0.6106746740987572
42 Val: 0.6409113819400559 Test: 0.6221769876877056
43 Val: 0.6252906925990532 Test: 0.6205081720887674
44 Val: 0.6409846619562268 Test: 0.6221636089977973
45 Val: 0.6385533207328264 Test: 0.6087943640190343
46 Val: 0.62693908095291 Test: 0.6208462159739964
Validation performance: 61.47 & 63.22 ± 0.97 & 64.52
Testing performance: 59.86 & 61.35 ± 0.85 & 62.22

[TRIAL] 125 [VALIDATION PERFORMANCE] 0.6536439010367193 [TRAINING LOSS] 0.04395465067743013 [VALIDATION LOSS] 1.4827987452348073 

number                                     125
value                                 0.653644
params_threshold                      0.854181
params_attention_heads                      11
params_balanced_loss                     False
params_embedding_pooling_operation        mean
params_attention_pooling_operation         max
params_batch_size                           56
params_dropout_rate                   0.381909
params_early_stopping_patience              25
params_epochs                              189
params_global_pooling                      max
params_hidden_dimension                    235
params_learning_rate                  0.000132
params_number_of_hidden_layers               2
params_plateau_divider                       8
params_plateau_patience                     19
params_weight_decay                   0.000452
params_beta_0                         0.870247
params_beta_1                         0.987566
params_epsilon                        0.000001
user_attrs_epoch                          34.0
user_attrs_training_loss              0.043955
user_attrs_validation_loss            1.482799
params_left_stride                          64
params_right_stride                        256
Name: 125, dtype: object
37 Val: 0.6507092121791678 Test: 0.6023199015582206
slurmstepd: error: *** JOB 14029791 ON gpu048 CANCELLED AT 2024-12-02T06:30:29 DUE TO TIME LIMIT ***
